Lotto
Archivio estrazioni Lotto anno 1922 aggiornato al 30/12/1922
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	30/12/1922	78 8 88 66 4 	     	54 64 80 18 88 	     	71 44 27 10 57 	74 65 53 3 83 	20 51 71 9 66 	47 86 71 22 38 	76 83 42 50 28 	84 44 42 88 45 	     	
51	23/12/1922	87 60 7 33 41 	87 60 7 33 41 	39 12 85 20 2 	39 12 85 20 2 	4 11 16 40 77 	90 77 37 65 87 	31 52 41 27 20 	73 36 72 80 81 	19 41 65 20 52 	61 1 9 17 16 	61 1 9 17 16 	
50	16/12/1922	42 1 85 32 6 	42 1 85 32 6 	15 9 35 50 19 	15 9 35 50 19 	74 27 15 28 48 	31 80 25 51 44 	22 58 14 66 34 	51 75 64 62 68 	21 86 6 73 38 	44 43 18 23 19 	44 43 18 23 19 	
49	09/12/1922	74 11 60 42 62 	74 11 60 42 62 	62 5 83 86 65 	62 5 83 86 65 	52 51 61 31 7 	75 87 43 64 79 	84 81 5 41 19 	62 20 90 21 79 	38 19 67 18 47 	18 29 70 50 48 	18 29 70 50 48 	
48	02/12/1922	20 81 90 14 48 	20 81 90 14 48 	58 47 8 2 22 	58 47 8 2 22 	21 34 10 73 72 	75 4 41 54 86 	57 2 7 56 31 	60 82 7 50 61 	59 70 55 51 5 	26 51 70 19 58 	26 51 70 19 58 	
47	25/11/1922	80 27 2 73 3 	80 27 2 73 3 	20 41 28 49 36 	20 41 28 49 36 	22 59 51 39 4 	77 24 68 16 43 	17 57 46 59 72 	43 66 60 48 75 	74 46 43 81 63 	9 58 72 71 24 	9 58 72 71 24 	
46	18/11/1922	70 82 88 22 38 	70 82 88 22 38 	57 9 30 80 74 	57 9 30 80 74 	88 40 60 80 19 	55 85 21 74 81 	28 2 23 33 36 	21 11 54 64 35 	42 40 78 12 71 	19 60 86 81 46 	19 60 86 81 46 	
45	11/11/1922	1 86 25 43 46 	1 86 25 43 46 	46 24 43 63 77 	46 24 43 63 77 	84 88 67 50 76 	28 89 57 51 88 	89 70 87 5 82 	21 25 43 7 70 	25 54 9 79 57 	52 78 68 33 82 	52 78 68 33 82 	
44	04/11/1922	69 30 41 76 21 	69 30 41 76 21 	66 32 71 84 54 	66 32 71 84 54 	58 48 12 81 46 	45 32 90 72 16 	2 78 33 65 48 	54 45 29 86 81 	28 5 80 29 59 	42 4 22 63 1 	42 4 22 63 1 	
43	28/10/1922	47 4 72 26 18 	47 4 72 26 18 	54 40 27 57 89 	54 40 27 57 89 	24 10 40 82 19 	16 59 50 64 11 	7 42 63 11 51 	24 23 58 16 46 	28 38 29 1 59 	90 83 40 80 77 	90 83 40 80 77 	
42	21/10/1922	26 79 80 9 28 	26 79 80 9 28 	57 78 5 4 45 	57 78 5 4 45 	40 64 32 84 85 	4 59 65 9 32 	50 8 19 53 49 	52 21 32 69 31 	19 11 75 64 65 	46 80 38 54 44 	46 80 38 54 44 	
