Lotto
Archivio estrazioni Lotto anno 1951 aggiornato al 28/12/1951
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	28/12/1951	70 61 35 45 50 	87 83 66 35 62 	6 74 85 72 4 	68 40 58 45 55 	82 57 33 56 9 	16 29 46 48 31 	5 63 21 83 56 	85 19 77 70 71 	54 56 58 70 82 	35 75 19 17 38 	     	
51	22/12/1951	50 43 35 88 82 	23 7 13 41 59 	38 15 16 17 84 	47 4 15 81 56 	84 16 27 13 22 	31 26 7 65 32 	29 42 73 18 17 	12 24 67 32 40 	6 48 83 9 3 	74 41 68 15 35 	74 41 68 15 35 	
50	15/12/1951	74 78 46 47 32 	16 55 32 8 60 	38 8 89 86 61 	37 11 70 10 33 	22 9 73 54 83 	51 65 58 30 49 	48 36 78 10 35 	62 59 54 35 17 	45 83 39 70 42 	15 77 25 14 7 	15 77 25 14 7 	
49	10/12/1951	16 72 63 54 34 	44 55 52 12 33 	43 10 19 89 33 	13 89 9 5 77 	1 67 32 4 71 	17 74 13 56 11 	15 36 27 4 13 	83 12 86 32 63 	57 19 48 66 58 	15 25 26 78 59 	15 25 26 78 59 	
48	01/12/1951	4 31 1 57 35 	54 51 16 56 45 	75 58 9 2 15 	14 22 51 87 56 	51 9 71 88 81 	85 88 60 43 48 	25 11 70 7 36 	40 56 32 65 88 	27 48 58 78 24 	12 7 54 70 50 	12 7 54 70 50 	
47	24/11/1951	8 88 87 82 51 	79 58 50 16 13 	3 16 88 14 12 	6 66 81 32 65 	35 50 46 8 34 	90 56 3 81 23 	71 58 57 85 43 	60 62 73 7 55 	86 24 84 39 88 	71 26 20 58 65 	71 26 20 58 65 	
46	17/11/1951	52 90 75 53 46 	45 31 35 61 82 	83 50 44 77 70 	11 69 52 65 60 	55 13 63 76 1 	58 39 66 33 55 	36 31 51 7 26 	19 59 38 50 41 	11 77 34 12 62 	25 45 32 80 21 	25 45 32 80 21 	
45	10/11/1951	12 50 84 18 47 	39 9 54 80 1 	69 61 81 52 1 	55 72 42 37 39 	44 49 60 75 70 	72 83 79 62 11 	16 26 75 62 14 	50 12 55 23 41 	11 42 18 51 77 	44 14 49 10 60 	44 14 49 10 60 	
44	03/11/1951	89 68 69 59 22 	17 25 55 89 65 	75 47 80 74 30 	53 77 38 60 17 	90 76 87 52 44 	90 58 67 72 48 	33 34 17 8 55 	80 50 51 44 60 	35 25 20 14 43 	25 32 52 5 88 	25 32 52 5 88 	
43	27/10/1951	6 72 54 69 75 	67 22 33 16 35 	39 69 55 79 17 	66 81 29 3 63 	70 14 27 26 80 	81 29 80 5 87 	82 81 38 49 37 	84 90 34 36 27 	70 45 9 44 4 	5 79 69 47 84 	5 79 69 47 84 	
42	20/10/1951	50 82 77 46 89 	69 55 36 28 14 	19 47 13 14 15 	59 4 13 65 63 	65 28 11 82 61 	75 26 65 48 24 	72 58 53 42 40 	66 27 79 72 53 	7 40 16 39 21 	87 61 10 88 59 	87 61 10 88 59 	
