Lotto
Archivio estrazioni Lotto anno 1958 aggiornato al 27/12/1958
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	27/12/1958	61 58 54 44 15 	1 62 33 90 87 	46 73 80 10 36 	75 34 38 55 71 	54 48 68 10 58 	73 41 18 66 46 	9 37 88 62 49 	77 19 7 67 15 	21 5 78 47 75 	86 53 3 43 14 	     	
51	20/12/1958	44 33 36 20 45 	54 32 72 81 20 	23 40 63 9 74 	70 17 19 61 44 	52 56 26 86 67 	2 73 8 57 75 	2 47 12 85 56 	66 35 39 15 90 	23 37 67 79 55 	11 80 71 65 83 	11 80 71 65 83 	
50	13/12/1958	4 80 10 24 17 	69 14 22 48 13 	74 90 87 13 6 	32 1 9 21 40 	23 83 18 51 15 	88 79 15 30 26 	18 24 67 43 66 	36 23 75 24 65 	50 30 2 86 40 	61 13 7 82 69 	61 13 7 82 69 	
49	06/12/1958	33 24 85 18 69 	51 66 39 25 28 	79 2 82 65 81 	25 71 8 36 84 	4 12 49 26 45 	45 78 56 51 14 	64 71 87 70 33 	71 6 61 10 38 	39 7 21 63 79 	58 22 7 3 82 	58 22 7 3 82 	
48	29/11/1958	10 31 60 68 59 	48 35 86 25 47 	70 28 6 55 45 	73 49 16 88 67 	55 45 23 22 8 	52 5 16 54 43 	12 28 70 67 88 	50 47 64 27 79 	59 67 42 73 68 	82 84 60 7 57 	82 84 60 7 57 	
47	22/11/1958	72 34 25 86 66 	61 75 18 27 30 	8 90 1 53 63 	43 47 68 9 34 	1 39 43 30 45 	68 51 63 25 76 	64 6 88 70 29 	5 8 86 82 68 	17 90 15 35 78 	2 80 37 18 90 	2 80 37 18 90 	
46	15/11/1958	17 36 1 88 78 	83 69 65 35 76 	80 88 54 57 3 	32 33 83 3 73 	79 15 56 78 24 	14 40 19 78 10 	49 82 81 69 63 	89 43 36 33 59 	51 5 77 43 31 	66 49 62 21 42 	66 49 62 21 42 	
45	08/11/1958	32 6 83 16 11 	10 35 39 24 44 	38 28 15 74 36 	49 32 51 34 8 	64 83 88 52 18 	38 64 84 22 87 	25 2 35 84 68 	35 23 40 71 19 	31 41 48 22 33 	14 54 76 53 49 	14 54 76 53 49 	
44	01/11/1958	1 8 37 31 29 	73 67 1 90 61 	23 41 75 82 45 	74 7 22 67 53 	33 89 16 90 61 	66 67 34 62 42 	70 26 56 82 30 	62 89 83 77 31 	15 33 41 67 66 	34 31 76 86 38 	34 31 76 86 38 	
43	25/10/1958	68 88 62 70 76 	3 45 83 77 30 	17 44 41 76 81 	80 30 24 7 22 	6 72 31 80 56 	80 55 60 1 29 	6 5 46 87 61 	5 78 40 18 88 	56 28 1 44 59 	10 22 59 64 73 	10 22 59 64 73 	
42	18/10/1958	41 40 30 25 38 	50 64 62 87 24 	52 26 32 50 29 	31 39 19 49 6 	25 31 35 34 70 	2 87 11 64 47 	72 12 31 36 90 	29 2 49 61 1 	2 47 37 3 89 	59 5 2 65 57 	59 5 2 65 57 	
41	11/10/1958	3 5 34 38 62 	4 73 30 11 74 	89 37 40 87 68 	62 61 29 73 88 	43 72 70 10 59 	8 27 82 71 52 	33 31 63 6 75 	20 24 3 18 52 	30 84 72 35 49 	86 13 7 83 3 	86 13 7 83 3 	
40	04/10/1958	75 16 60 35 25 	86 64 53 42 3 	17 55 29 16 23 	34 7 80 78 68 	81 23 28 7 54 	1 71 21 24 34 	34 3 32 46 86 	52 48 83 50 49 	74 48 49 5 56 	82 24 78 29 54 	82 24 78 29 54 	
39	27/09/1958	63 59 26 37 81 	30 42 28 50 65 	77 3 18 12 86 	2 43 22 24 71 	65 61 74 14 13 	21 37 67 46 54 	50 41 89 4 84 	74 48 82 17 78 	85 90 76 89 39 	39 34 84 32 5 	39 34 84 32 5 	
38	20/09/1958	38 79 63 58 69 	29 65 19 90 80 	81 6 7 40 31 	31 26 77 51 5 	5 64 21 60 10 	22 63 19 17 48 	20 73 60 58 14 	76 37 18 32 26 	21 27 26 19 70 	45 3 57 72 20 	45 3 57 72 20 	
37	13/09/1958	9 20 72 13 29 	14 1 44 57 15 	51 49 80 54 90 	37 77 24 41 65 	15 70 30 90 81 	84 51 76 57 48 	55 41 7 78 65 	3 39 17 31 88 	7 32 12 21 18 	82 67 63 86 61 	82 67 63 86 61 	
36	06/09/1958	54 82 33 53 3 	48 11 17 79 82 	75 35 24 39 55 	43 18 16 14 23 	39 72 26 54 89 	79 65 83 18 87 	74 30 54 67 7 	27 22 3 19 37 	13 60 17 3 16 	56 24 50 83 79 	56 24 50 83 79 	
35	30/08/1958	44 89 79 25 47 	56 15 40 63 4 	20 10 83 8 39 	14 67 68 64 21 	11 52 50 30 22 	21 56 27 16 58 	10 62 65 4 70 	49 68 37 67 89 	36 17 26 75 66 	58 82 36 5 90 	58 82 36 5 90 	
34	23/08/1958	35 58 87 44 82 	76 28 65 18 41 	33 43 24 78 10 	39 72 27 60 75 	79 16 34 39 6 	39 60 29 64 33 	36 19 1 23 65 	17 30 21 90 16 	82 72 34 6 50 	84 71 23 76 34 	84 71 23 76 34 	
33	16/08/1958	64 37 82 3 86 	15 59 31 16 73 	19 13 86 41 15 	59 6 27 49 69 	82 66 22 42 83 	38 32 42 11 23 	72 12 39 64 14 	19 90 15 59 87 	31 70 88 87 56 	80 5 51 39 65 	80 5 51 39 65 	
32	09/08/1958	16 80 63 70 89 	20 10 54 43 74 	51 55 16 44 15 	29 42 11 55 1 	27 85 19 84 15 	37 52 59 51 29 	29 62 51 39 6 	87 26 8 39 77 	72 42 16 31 17 	2 25 52 59 81 	2 25 52 59 81 	
31	02/08/1958	42 85 70 8 59 	67 46 4 77 59 	31 30 61 47 3 	87 55 54 43 2 	5 87 25 29 79 	42 49 51 58 71 	40 1 60 65 20 	66 90 50 72 76 	35 49 9 52 85 	80 24 21 82 23 	80 24 21 82 23 	
30	26/07/1958	5 10 18 38 47 	37 50 31 88 42 	51 40 25 42 39 	51 59 44 8 52 	65 89 13 6 77 	86 6 71 13 28 	53 29 81 9 11 	32 69 54 26 87 	56 12 46 32 75 	90 80 46 59 3 	90 80 46 59 3 	
29	19/07/1958	62 77 16 46 52 	5 76 29 12 68 	25 82 68 87 72 	12 65 4 78 10 	21 57 87 77 1 	16 89 32 45 60 	9 57 37 79 34 	48 69 90 74 72 	64 68 26 53 10 	42 53 59 55 54 	42 53 59 55 54 	
