Lotto
Archivio estrazioni Lotto anno 1983 aggiornato al 31/12/1983
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
53	31/12/1983	37 14 43 59 89 	53 21 23 28 68 	10 9 34 82 75 	8 63 30 88 58 	79 74 22 12 67 	39 7 30 13 15 	51 68 19 48 54 	70 16 56 67 35 	57 45 85 65 49 	75 37 73 23 45 	     	
52	24/12/1983	66 68 4 38 83 	89 15 61 85 55 	7 46 30 79 31 	44 90 14 33 72 	50 17 35 20 59 	86 42 68 37 77 	60 10 80 42 85 	26 15 13 34 37 	66 69 28 37 68 	78 60 20 3 65 	78 60 20 3 65 	
51	17/12/1983	71 77 89 41 52 	40 78 5 48 89 	55 69 53 75 2 	58 86 37 64 89 	68 77 35 76 10 	17 56 79 22 39 	60 68 89 51 55 	40 75 85 55 14 	53 12 79 85 36 	57 36 75 17 13 	57 36 75 17 13 	
50	10/12/1983	4 73 53 82 37 	34 72 14 81 32 	60 84 2 87 54 	41 35 68 42 75 	51 18 64 84 16 	14 79 66 67 51 	45 61 10 76 8 	40 33 14 51 49 	86 50 15 13 4 	61 59 72 27 16 	61 59 72 27 16 	
49	03/12/1983	18 63 48 82 58 	74 63 10 44 88 	50 54 77 52 62 	33 19 52 37 63 	62 68 18 4 56 	30 20 54 43 44 	27 2 35 86 90 	6 52 24 45 13 	13 3 75 24 49 	75 60 15 89 51 	75 60 15 89 51 	
48	26/11/1983	31 35 71 9 20 	49 84 19 71 87 	11 73 26 50 31 	82 55 76 43 47 	48 32 40 72 14 	69 60 77 86 72 	21 78 53 11 49 	79 5 3 42 59 	79 59 86 57 4 	47 30 29 89 86 	47 30 29 89 86 	
47	19/11/1983	4 27 25 40 51 	60 73 21 77 12 	46 39 44 84 42 	77 83 72 61 47 	88 69 43 18 35 	40 66 58 65 29 	48 87 83 7 32 	73 78 58 86 71 	15 39 26 2 51 	88 40 69 90 79 	88 40 69 90 79 	
46	12/11/1983	77 10 53 84 35 	38 1 87 75 51 	58 6 31 60 43 	55 44 5 34 67 	24 50 90 1 29 	13 74 25 5 28 	88 48 44 81 38 	88 69 70 59 65 	45 34 33 82 2 	76 22 79 82 89 	76 22 79 82 89 	
45	05/11/1983	7 89 77 67 65 	81 55 43 54 44 	23 74 6 1 44 	21 34 35 37 17 	13 6 62 67 43 	75 13 55 23 24 	56 60 79 29 44 	38 36 83 12 4 	60 52 25 9 31 	32 2 72 70 80 	32 2 72 70 80 	
44	29/10/1983	65 69 19 66 78 	82 44 42 86 33 	41 52 8 1 49 	51 72 44 76 47 	40 78 86 44 9 	77 18 11 15 19 	46 6 66 59 64 	31 72 81 43 42 	60 78 31 87 55 	32 30 74 50 9 	32 30 74 50 9 	
43	22/10/1983	90 4 63 52 89 	90 8 85 12 1 	10 73 14 3 85 	42 54 44 47 63 	84 21 64 29 40 	11 39 35 59 41 	4 70 30 54 58 	72 80 87 20 66 	18 9 88 37 32 	86 87 16 64 7 	86 87 16 64 7 	
42	15/10/1983	64 53 69 24 30 	59 53 24 23 20 	14 68 45 15 71 	81 83 45 35 53 	67 72 60 8 66 	86 64 76 14 43 	69 27 20 68 66 	25 9 63 30 35 	84 7 39 14 59 	26 1 69 24 2 	26 1 69 24 2 	
41	08/10/1983	81 38 39 59 34 	58 87 69 2 28 	50 62 19 37 27 	62 42 67 37 18 	64 42 55 10 88 	1 67 83 56 39 	26 54 78 19 70 	4 32 79 64 88 	74 11 10 60 4 	72 42 82 67 58 	72 42 82 67 58 	
40	01/10/1983	22 12 34 62 15 	90 43 77 48 61 	71 90 3 78 30 	32 71 33 27 37 	20 48 67 46 35 	72 13 76 33 83 	63 21 83 86 44 	75 69 18 43 20 	35 80 31 42 8 	17 27 49 78 50 	17 27 49 78 50 	
39	24/09/1983	31 44 65 1 2 	72 71 82 57 75 	6 33 17 5 90 	49 19 85 35 36 	29 48 33 69 5 	90 22 54 36 42 	60 38 59 73 1 	57 90 33 40 83 	66 24 32 67 12 	7 89 59 62 13 	7 89 59 62 13 	
38	17/09/1983	45 37 22 40 35 	53 71 90 36 6 	19 75 62 29 15 	13 17 88 44 67 	72 46 36 30 26 	74 76 49 50 82 	79 57 76 5 66 	24 78 69 72 26 	74 31 53 20 89 	48 88 63 10 1 	48 88 63 10 1 	
37	10/09/1983	17 7 11 19 84 	59 80 2 25 83 	76 64 57 30 45 	89 50 54 47 80 	52 46 57 70 6 	12 45 39 24 30 	54 80 6 56 1 	17 74 12 61 5 	56 86 85 60 55 	70 79 75 68 50 	70 79 75 68 50 	
36	03/09/1983	85 16 62 1 80 	2 61 18 52 83 	84 63 42 75 35 	47 16 1 78 41 	9 50 65 40 24 	39 5 28 35 16 	37 29 44 34 10 	29 4 73 72 46 	74 69 77 28 82 	47 69 83 27 17 	47 69 83 27 17 	
35	27/08/1983	20 4 12 34 15 	58 67 83 46 79 	44 38 72 7 82 	10 16 19 36 73 	77 33 45 81 34 	76 3 22 38 40 	54 65 26 59 62 	40 48 73 53 74 	90 65 81 69 88 	89 36 71 88 49 	89 36 71 88 49 	
34	20/08/1983	87 90 52 57 18 	67 65 31 52 41 	64 67 89 3 90 	75 88 70 10 34 	48 31 83 7 78 	27 9 30 31 55 	53 4 13 85 36 	4 88 43 34 51 	2 73 54 18 65 	11 35 31 85 73 	11 35 31 85 73 	
33	13/08/1983	48 39 51 43 69 	68 30 53 18 17 	75 72 36 89 32 	88 90 15 49 85 	85 69 78 35 3 	90 39 22 86 87 	5 16 17 76 79 	82 48 84 20 37 	72 74 38 47 1 	74 86 41 38 5 	74 86 41 38 5 	
32	06/08/1983	75 62 22 3 76 	33 67 13 10 80 	34 9 64 46 81 	77 45 66 48 58 	16 34 77 60 17 	74 50 26 38 8 	57 54 2 33 34 	65 32 2 5 66 	67 44 1 31 82 	43 47 42 86 78 	43 47 42 86 78 	
31	30/07/1983	69 40 66 54 82 	49 47 28 20 70 	12 61 84 27 8 	30 73 3 26 77 	19 1 86 13 35 	66 70 62 82 79 	46 43 16 24 45 	60 89 70 39 3 	24 67 61 90 5 	48 39 70 56 11 	48 39 70 56 11 	
30	23/07/1983	36 60 35 54 57 	87 65 35 58 75 	44 10 78 67 38 	15 11 18 68 3 	1 46 60 73 20 	38 78 49 86 27 	71 11 77 10 12 	61 74 43 31 57 	73 68 60 33 24 	75 18 90 72 3 	75 18 90 72 3 	
29	16/07/1983	71 81 19 49 82 	59 55 80 50 57 	65 13 68 71 63 	15 28 90 10 40 	59 74 31 79 50 	59 75 19 88 83 	63 43 7 16 58 	51 3 49 69 39 	60 69 27 55 85 	45 10 35 16 56 	45 10 35 16 56 	
28	09/07/1983	66 9 20 39 38 	77 74 14 42 27 	52 90 15 84 42 	7 8 19 60 10 	12 5 83 87 49 	80 15 52 46 76 	4 47 9 44 53 	90 85 25 22 89 	9 25 13 45 10 	10 13 52 38 53 	10 13 52 38 53 	
27	02/07/1983	48 61 22 39 71 	79 68 77 23 38 	73 24 87 26 21 	7 34 5 29 40 	79 17 85 35 78 	8 85 84 81 1 	67 81 18 75 52 	76 48 24 46 90 	59 24 82 17 2 	57 77 76 16 7 	57 77 76 16 7 	
26	25/06/1983	74 19 62 7 84 	70 80 85 77 35 	87 80 17 6 89 	1 15 75 14 13 	69 19 61 80 47 	72 11 32 52 65 	74 2 16 83 76 	10 70 56 5 62 	86 81 76 74 3 	20 30 38 10 41 	20 30 38 10 41 	
25	18/06/1983	32 88 16 67 59 	72 48 20 13 81 	56 6 34 74 27 	53 70 88 29 49 	16 53 74 38 42 	31 52 85 60 33 	30 14 65 79 69 	3 86 62 25 53 	79 89 30 57 32 	79 32 80 43 15 	79 32 80 43 15 	
24	11/06/1983	23 47 21 72 12 	2 28 56 18 58 	51 83 62 34 82 	39 89 63 80 65 	34 19 70 66 61 	6 84 57 82 28 	27 30 88 40 25 	23 84 74 51 79 	60 18 43 34 71 	64 70 59 84 30 	64 70 59 84 30 	
23	04/06/1983	85 66 75 55 10 	76 15 20 24 3 	75 20 66 8 27 	6 10 88 71 37 	51 27 25 70 84 	28 71 75 35 59 	90 15 71 56 77 	62 65 29 3 41 	71 90 59 4 35 	89 14 4 88 39 	89 14 4 88 39 	
22	28/05/1983	76 31 25 53 78 	75 70 47 54 35 	63 7 31 73 58 	40 71 38 31 2 	37 54 38 65 57 	77 69 13 32 28 	35 48 20 63 19 	39 69 73 81 79 	81 2 34 37 3 	48 6 32 56 37 	48 6 32 56 37 	
21	21/05/1983	17 88 39 76 48 	54 67 18 4 59 	65 88 64 43 44 	75 59 10 53 2 	73 4 84 22 41 	86 57 64 89 55 	74 50 10 88 32 	77 83 89 82 7 	9 39 82 14 70 	43 66 56 62 71 	43 66 56 62 71 	
20	14/05/1983	74 48 90 50 45 	72 42 89 27 61 	49 69 80 19 2 	53 20 23 5 73 	71 4 59 82 62 	1 25 16 43 13 	26 22 74 90 62 	31 46 77 22 17 	81 24 17 31 83 	15 52 72 83 58 	15 52 72 83 58 	
19	07/05/1983	15 73 76 23 12 	67 83 80 90 41 	89 59 79 29 19 	72 44 18 37 4 	76 61 6 62 89 	69 36 76 63 18 	7 80 32 5 46 	25 10 31 7 56 	34 17 53 59 22 	29 41 10 85 77 	29 41 10 85 77 	
18	30/04/1983	4 83 71 17 66 	60 68 46 31 81 	16 67 28 75 8 	78 10 8 54 40 	5 8 88 27 15 	81 62 83 51 84 	82 60 87 31 15 	6 18 20 35 59 	76 41 12 75 54 	89 33 5 54 38 	89 33 5 54 38 	
17	23/04/1983	23 44 65 90 18 	81 86 44 69 18 	53 35 73 16 58 	50 86 81 78 89 	77 24 47 67 78 	79 72 68 41 27 	50 55 4 60 34 	22 15 43 56 16 	55 58 50 17 40 	69 23 87 33 38 	69 23 87 33 38 	
16	16/04/1983	14 82 44 64 15 	79 76 51 58 52 	50 73 30 7 28 	50 49 79 60 73 	6 68 57 79 43 	57 86 1 33 60 	55 18 17 83 88 	76 61 27 10 68 	29 57 36 56 12 	2 77 34 84 49 	2 77 34 84 49 	
15	09/04/1983	32 3 38 12 55 	38 68 4 36 7 	8 60 81 74 86 	59 52 24 8 2 	38 51 17 65 89 	63 41 62 43 14 	21 22 34 87 88 	20 47 39 42 44 	7 20 72 82 19 	34 38 8 40 35 	34 38 8 40 35 	
14	02/04/1983	69 49 63 71 70 	44 12 55 60 18 	3 71 74 55 24 	71 18 6 27 42 	84 64 38 34 69 	84 57 33 45 16 	66 5 28 47 34 	77 68 90 22 76 	1 2 77 87 50 	56 30 36 46 3 	56 30 36 46 3 	
13	26/03/1983	55 42 67 36 75 	73 21 33 64 57 	4 73 79 22 9 	67 36 24 3 46 	30 4 17 10 5 	56 48 32 9 43 	77 72 84 23 4 	86 83 80 19 18 	31 46 41 44 13 	72 45 47 39 59 	72 45 47 39 59 	
12	19/03/1983	65 87 23 38 63 	48 17 30 19 62 	84 54 52 33 28 	16 1 55 46 57 	14 57 52 81 17 	87 85 68 14 82 	25 80 73 67 56 	11 6 39 12 83 	81 63 22 83 75 	69 82 64 73 5 	69 82 64 73 5 	
11	12/03/1983	38 75 51 49 58 	16 30 76 47 24 	14 54 5 57 43 	82 40 60 18 36 	15 24 6 14 9 	4 1 55 10 59 	75 69 23 51 12 	79 59 65 21 23 	10 42 90 17 46 	35 12 63 18 52 	35 12 63 18 52 	
10	05/03/1983	72 58 53 78 20 	59 76 19 51 77 	25 66 30 62 35 	3 18 21 70 84 	5 21 18 12 52 	11 59 27 22 41 	32 38 83 57 27 	66 27 57 60 33 	55 81 77 18 84 	89 14 13 9 42 	89 14 13 9 42 	
9	26/02/1983	76 37 81 57 70 	87 9 84 74 68 	17 85 55 70 16 	35 29 64 65 31 	88 42 81 7 71 	45 12 74 88 56 	21 22 88 14 15 	78 26 24 30 34 	67 26 1 29 12 	48 47 75 89 60 	48 47 75 89 60 	
8	19/02/1983	34 18 63 22 47 	80 46 58 19 70 	75 80 21 42 15 	53 74 11 10 70 	38 16 45 27 36 	57 9 53 58 82 	79 4 71 69 84 	11 3 73 41 8 	57 26 63 30 48 	87 49 58 16 63 	87 49 58 16 63 	
7	12/02/1983	23 33 20 59 65 	71 88 18 30 19 	42 47 80 85 90 	14 23 76 22 51 	35 17 37 33 58 	8 27 90 36 89 	21 10 15 7 84 	69 7 81 62 83 	63 28 81 27 60 	57 58 3 81 12 	57 58 3 81 12 	
6	05/02/1983	52 42 64 30 63 	6 49 84 14 20 	40 90 22 48 49 	54 87 43 3 26 	70 79 66 77 55 	42 43 36 10 90 	58 78 22 12 34 	76 68 12 43 15 	75 68 76 78 43 	2 15 6 72 22 	2 15 6 72 22 	
5	29/01/1983	57 77 18 61 58 	62 87 79 73 57 	57 69 8 56 71 	62 3 6 59 75 	9 55 50 76 77 	1 55 11 3 16 	47 76 90 3 62 	17 31 20 76 71 	31 7 86 8 27 	45 15 90 77 71 	45 15 90 77 71 	
4	22/01/1983	76 73 57 19 1 	2 63 78 50 23 	10 78 12 59 73 	47 54 25 46 67 	39 79 25 82 72 	6 55 85 41 23 	86 62 90 8 61 	6 19 2 51 46 	41 24 44 43 37 	41 48 42 81 66 	41 48 42 81 66 	
3	15/01/1983	73 12 26 87 57 	23 39 61 71 25 	87 4 49 70 24 	48 54 45 35 52 	44 11 39 75 29 	39 67 42 60 7 	69 57 10 15 5 	84 90 62 76 66 	21 37 76 49 47 	24 51 16 7 23 	24 51 16 7 23 	
2	08/01/1983	40 86 78 29 24 	38 85 89 65 76 	81 42 32 86 24 	73 13 61 74 86 	31 11 77 15 64 	15 80 26 54 16 	49 63 75 45 82 	82 42 72 86 71 	11 29 10 50 75 	18 74 66 40 86 	18 74 66 40 86 	
1	01/01/1983	12 17 26 10 27 	42 20 5 85 48 	14 80 62 50 89 	35 25 71 74 51 	29 25 15 74 50 	88 82 12 3 81 	34 39 57 26 86 	54 2 39 38 46 	12 82 23 8 28 	33 69 4 35 31 	33 69 4 35 31 	
