Lotto
Archivio estrazioni Lotto anno 1959 aggiornato al 28/12/1959
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	28/12/1959	57 15 38 22 53 	31 11 72 64 13 	22 74 2 47 14 	8 43 59 75 41 	82 71 1 55 45 	89 74 37 27 13 	86 66 19 74 28 	35 24 69 7 65 	42 20 62 60 87 	23 16 44 42 50 	     	
51	19/12/1959	19 68 37 16 4 	78 42 12 13 89 	62 29 23 14 63 	48 33 49 77 44 	36 5 39 30 17 	1 49 84 51 55 	5 46 12 36 33 	47 3 37 41 79 	63 80 53 55 19 	86 62 11 19 41 	86 62 11 19 41 	
50	12/12/1959	83 59 75 18 44 	20 18 61 30 17 	85 2 66 68 5 	75 27 85 19 29 	3 20 52 40 84 	44 4 67 63 86 	43 30 27 50 65 	41 28 23 17 4 	11 22 78 65 83 	73 70 22 27 3 	73 70 22 27 3 	
49	05/12/1959	63 3 78 1 51 	35 69 79 44 49 	15 37 14 7 16 	86 70 23 46 6 	24 48 36 61 68 	87 36 32 67 31 	15 63 42 8 30 	14 40 41 66 67 	74 58 88 73 48 	41 8 10 6 19 	41 8 10 6 19 	
48	28/11/1959	5 56 53 59 14 	25 68 6 88 8 	65 23 51 71 57 	69 51 47 52 28 	30 12 19 68 17 	2 28 51 37 3 	29 64 55 50 23 	81 86 87 23 35 	52 63 67 1 7 	54 58 64 6 17 	54 58 64 6 17 	
47	21/11/1959	7 6 59 49 36 	46 69 24 51 83 	26 77 28 71 40 	75 80 2 52 10 	55 30 46 62 84 	90 11 44 52 69 	83 69 31 36 39 	13 59 34 48 83 	32 33 12 71 70 	22 25 64 38 1 	22 25 64 38 1 	
46	14/11/1959	65 43 18 80 81 	20 24 82 34 47 	89 88 45 33 3 	87 42 67 4 40 	16 45 76 11 90 	10 73 57 86 34 	63 50 31 11 83 	27 40 28 23 36 	34 83 31 27 1 	74 32 48 40 26 	74 32 48 40 26 	
45	07/11/1959	67 11 56 60 47 	43 75 65 77 46 	21 24 56 77 22 	44 23 67 46 80 	83 33 31 89 78 	3 84 53 65 32 	8 28 68 60 42 	35 33 60 18 64 	69 66 23 57 55 	89 28 85 7 1 	89 28 85 7 1 	
44	31/10/1959	83 48 62 86 27 	19 78 75 32 20 	15 7 38 78 12 	10 1 49 46 32 	82 49 71 6 22 	51 7 76 69 55 	88 42 64 5 78 	68 35 51 40 1 	1 12 84 18 81 	1 89 62 85 3 	1 89 62 85 3 	
43	24/10/1959	46 13 32 22 7 	19 12 10 23 71 	70 44 89 1 88 	44 45 42 70 60 	46 22 76 8 5 	79 41 68 23 76 	84 6 19 49 51 	34 50 30 63 48 	6 36 26 48 27 	16 10 11 70 28 	16 10 11 70 28 	
42	17/10/1959	72 52 39 35 87 	44 64 77 12 7 	19 39 15 77 16 	58 50 17 6 46 	46 55 60 61 22 	88 72 30 15 54 	6 72 57 82 20 	42 65 18 30 6 	79 76 45 63 31 	43 86 64 9 31 	43 86 64 9 31 	
41	10/10/1959	27 11 88 73 56 	52 8 71 48 45 	59 31 61 81 89 	43 53 56 59 33 	37 14 58 80 52 	42 25 86 85 44 	75 70 35 25 31 	49 59 81 70 5 	31 64 49 46 7 	87 18 24 11 5 	87 18 24 11 5 	
40	03/10/1959	60 77 23 10 81 	9 49 85 10 29 	71 14 57 74 80 	7 82 24 34 80 	30 80 75 7 54 	65 52 69 83 79 	85 43 76 89 53 	4 19 12 31 70 	16 56 3 65 28 	70 53 65 55 41 	70 53 65 55 41 	
39	26/09/1959	44 79 37 64 61 	63 85 33 50 60 	52 34 22 33 88 	31 76 45 28 14 	82 29 60 37 80 	12 77 40 42 32 	82 32 23 61 40 	68 24 23 71 59 	35 69 90 24 39 	12 68 31 65 37 	12 68 31 65 37 	
38	19/09/1959	47 46 13 89 68 	65 61 45 78 11 	59 85 16 81 37 	42 33 60 89 4 	42 72 45 88 55 	56 17 84 25 35 	22 72 61 29 54 	51 47 80 82 83 	80 18 42 66 10 	66 74 84 71 5 	66 74 84 71 5 	
37	12/09/1959	36 14 18 28 33 	42 47 1 50 19 	5 62 89 76 6 	70 67 73 51 88 	66 77 86 29 53 	28 16 44 82 35 	54 72 37 76 47 	55 19 90 60 58 	69 3 76 4 14 	34 72 66 12 13 	34 72 66 12 13 	
36	05/09/1959	62 83 22 46 23 	45 64 69 57 75 	3 37 17 9 19 	68 5 8 63 23 	44 25 88 49 56 	17 66 22 2 13 	90 68 35 75 54 	37 75 51 24 63 	76 39 59 82 74 	51 36 38 72 1 	51 36 38 72 1 	
35	29/08/1959	45 8 25 77 37 	38 11 23 43 3 	2 69 26 59 45 	80 90 51 39 35 	89 66 41 61 14 	50 57 52 80 74 	61 36 35 30 20 	72 27 89 29 6 	28 67 30 47 12 	83 46 31 13 20 	83 46 31 13 20 	
34	22/08/1959	24 67 30 37 88 	35 38 55 44 29 	4 2 49 57 23 	31 53 89 66 36 	68 71 82 64 24 	9 69 17 13 59 	80 18 82 63 3 	50 41 44 58 70 	1 61 16 15 37 	79 59 69 12 73 	79 59 69 12 73 	
33	17/08/1959	46 15 25 72 1 	71 20 70 7 6 	42 21 80 68 9 	76 51 43 18 19 	67 86 55 56 30 	57 23 60 41 11 	4 78 31 5 54 	82 80 70 75 35 	39 13 88 30 45 	40 81 24 76 51 	40 81 24 76 51 	
32	08/08/1959	31 24 20 2 10 	40 18 19 26 83 	3 54 69 77 25 	34 41 54 10 55 	87 73 28 82 24 	24 49 85 58 59 	72 53 71 5 30 	87 85 90 78 86 	52 26 28 32 46 	12 23 68 83 63 	12 23 68 83 63 	
31	01/08/1959	40 10 59 80 79 	22 90 57 27 71 	52 81 23 55 82 	41 71 77 72 12 	68 80 48 6 83 	64 71 66 15 25 	19 52 1 16 63 	72 4 15 14 12 	2 43 5 34 89 	32 81 90 44 11 	32 81 90 44 11 	
30	25/07/1959	1 13 86 4 21 	81 41 61 40 1 	73 19 13 49 78 	89 78 80 58 75 	42 19 31 24 46 	9 57 24 31 21 	49 17 34 8 65 	67 64 57 8 40 	22 63 8 6 50 	77 5 52 59 86 	77 5 52 59 86 	
29	18/07/1959	34 18 81 9 26 	6 41 86 44 60 	56 87 54 26 58 	54 67 12 65 68 	37 15 35 56 75 	3 34 70 58 46 	64 57 43 48 35 	67 38 37 34 63 	8 13 25 51 37 	72 81 35 86 13 	72 81 35 86 13 	
