Lotto
Archivio estrazioni Lotto anno 1913 aggiornato al 27/12/1913
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	27/12/1913	18 39 42 22 78 	     	60 30 45 32 53 	     	10 59 73 62 75 	26 86 39 60 83 	90 28 27 37 23 	41 17 57 69 27 	18 1 67 36 41 	83 74 16 59 85 	     	
51	20/12/1913	67 15 90 48 39 	67 15 90 48 39 	5 50 34 68 35 	5 50 34 68 35 	78 13 20 34 8 	84 8 71 11 74 	56 33 3 76 19 	73 37 38 12 5 	77 39 50 30 1 	50 7 39 66 42 	50 7 39 66 42 	
50	13/12/1913	36 21 48 88 62 	36 21 48 88 62 	90 4 23 73 79 	90 4 23 73 79 	9 25 2 65 57 	23 56 12 13 36 	87 25 36 6 23 	1 51 74 20 12 	43 64 25 89 37 	68 13 72 44 75 	68 13 72 44 75 	
49	06/12/1913	22 62 5 31 53 	22 62 5 31 53 	28 36 14 16 70 	28 36 14 16 70 	9 43 61 75 65 	35 50 24 1 78 	82 23 37 77 10 	59 57 83 31 45 	17 38 81 83 32 	1 66 64 47 24 	1 66 64 47 24 	
48	29/11/1913	85 58 55 32 83 	85 58 55 32 83 	51 31 11 86 65 	51 31 11 86 65 	48 68 89 22 39 	29 84 72 8 60 	7 76 24 73 4 	50 82 42 33 80 	31 63 18 75 15 	21 89 14 56 13 	21 89 14 56 13 	
47	22/11/1913	29 89 74 13 63 	29 89 74 13 63 	61 8 76 87 25 	61 8 76 87 25 	6 5 61 46 66 	34 25 86 49 72 	69 82 64 24 35 	62 72 31 41 27 	49 19 7 43 39 	63 6 50 66 85 	63 6 50 66 85 	
46	15/11/1913	41 76 36 78 28 	41 76 36 78 28 	73 37 85 89 55 	73 37 85 89 55 	7 64 26 11 37 	6 71 78 43 85 	3 58 79 63 53 	48 19 44 86 18 	45 88 71 3 68 	42 37 48 26 17 	42 37 48 26 17 	
45	08/11/1913	46 4 25 69 61 	46 4 25 69 61 	21 72 20 4 14 	21 72 20 4 14 	41 77 89 6 60 	33 4 30 62 61 	23 74 90 34 11 	57 36 65 13 38 	27 26 56 85 75 	51 17 14 30 73 	51 17 14 30 73 	
44	01/11/1913	19 66 42 6 69 	19 66 42 6 69 	16 36 76 44 75 	16 36 76 44 75 	88 21 16 68 82 	71 58 16 18 79 	54 66 3 58 56 	63 70 3 7 85 	67 53 54 76 83 	28 79 84 73 23 	28 79 84 73 23 	
43	25/10/1913	82 66 37 81 59 	82 66 37 81 59 	60 19 13 38 15 	60 19 13 38 15 	71 8 47 33 53 	82 41 3 85 55 	15 88 72 4 53 	78 65 63 34 11 	3 70 36 75 18 	33 88 16 39 43 	33 88 16 39 43 	
42	18/10/1913	65 39 22 89 33 	65 39 22 89 33 	28 37 76 42 19 	28 37 76 42 19 	27 16 47 19 11 	69 21 85 35 57 	32 78 42 7 88 	27 61 63 56 89 	67 5 49 20 75 	12 19 79 38 55 	12 19 79 38 55 	
41	11/10/1913	35 54 37 8 73 	35 54 37 8 73 	1 4 17 59 55 	1 4 17 59 55 	78 43 1 31 66 	13 40 11 24 67 	28 89 53 46 15 	14 32 37 82 20 	29 58 78 28 55 	40 89 60 51 86 	40 89 60 51 86 	
40	04/10/1913	23 35 6 36 22 	23 35 6 36 22 	51 58 56 49 31 	51 58 56 49 31 	64 39 24 7 51 	35 71 32 5 76 	63 1 89 74 34 	53 32 20 26 1 	56 25 78 75 88 	50 68 35 64 13 	50 68 35 64 13 	
39	27/09/1913	14 27 73 29 52 	14 27 73 29 52 	54 23 87 77 49 	54 23 87 77 49 	7 15 37 35 41 	45 51 88 47 22 	73 58 61 80 90 	12 68 80 17 71 	10 5 13 53 71 	14 5 44 1 28 	14 5 44 1 28 	
38	20/09/1913	5 84 53 66 68 	5 84 53 66 68 	1 23 61 31 10 	1 23 61 31 10 	12 84 9 48 26 	32 4 72 53 81 	31 17 12 77 21 	70 56 14 78 26 	19 14 11 69 38 	90 73 84 39 87 	90 73 84 39 87 	
37	13/09/1913	41 88 52 43 28 	41 88 52 43 28 	26 86 82 10 87 	26 86 82 10 87 	23 25 27 39 40 	81 87 4 11 75 	21 34 80 8 1 	90 50 46 78 74 	61 33 57 50 27 	24 10 83 48 81 	24 10 83 48 81 	
36	06/09/1913	68 79 8 32 67 	68 79 8 32 67 	79 68 53 1 40 	79 68 53 1 40 	82 79 62 13 39 	16 5 8 65 17 	85 18 70 77 80 	84 14 45 6 82 	50 58 37 6 34 	68 29 54 21 62 	68 29 54 21 62 	
35	30/08/1913	51 88 56 89 83 	51 88 56 89 83 	57 76 68 23 56 	57 76 68 23 56 	84 39 44 20 3 	65 12 42 83 30 	76 61 33 28 41 	20 56 41 3 31 	45 39 53 75 32 	1 54 83 37 40 	1 54 83 37 40 	
34	23/08/1913	33 81 71 35 23 	33 81 71 35 23 	6 27 1 75 69 	6 27 1 75 69 	10 21 23 46 2 	70 24 83 8 54 	44 14 29 33 27 	2 38 26 41 78 	52 16 90 48 26 	34 56 62 84 32 	34 56 62 84 32 	
33	16/08/1913	74 45 23 54 51 	74 45 23 54 51 	47 83 16 32 78 	47 83 16 32 78 	56 15 39 61 85 	45 10 66 67 81 	90 12 51 36 4 	59 17 67 4 34 	78 65 42 70 73 	12 13 66 31 67 	12 13 66 31 67 	
32	09/08/1913	53 29 88 11 86 	53 29 88 11 86 	70 80 23 12 87 	70 80 23 12 87 	11 13 57 78 34 	69 18 36 9 52 	18 45 61 60 43 	57 2 47 25 8 	10 49 46 74 44 	59 75 74 81 46 	59 75 74 81 46 	
31	02/08/1913	59 51 60 42 18 	59 51 60 42 18 	29 70 4 19 13 	29 70 4 19 13 	16 22 49 55 26 	24 17 31 87 41 	57 39 68 36 11 	56 73 57 60 69 	72 14 32 41 2 	66 38 86 40 46 	66 38 86 40 46 	
30	26/07/1913	30 66 67 68 50 	30 66 67 68 50 	3 17 49 23 13 	3 17 49 23 13 	3 28 25 48 60 	39 47 82 76 72 	37 10 55 16 88 	60 30 62 36 12 	56 83 75 57 67 	65 75 69 4 41 	65 75 69 4 41 	
29	19/07/1913	89 2 27 14 68 	89 2 27 14 68 	67 75 61 1 73 	67 75 61 1 73 	27 36 41 44 54 	10 47 81 56 12 	38 7 76 46 35 	87 31 29 67 19 	65 41 16 84 51 	27 86 79 17 39 	27 86 79 17 39 	
28	12/07/1913	64 9 77 72 18 	64 9 77 72 18 	62 67 53 9 17 	62 67 53 9 17 	50 64 13 67 61 	24 43 60 63 50 	56 75 84 28 47 	27 82 37 73 24 	38 81 41 44 30 	3 21 46 6 18 	3 21 46 6 18 	
27	05/07/1913	27 82 25 71 1 	27 82 25 71 1 	24 25 87 36 71 	24 25 87 36 71 	73 44 84 48 16 	47 89 22 12 71 	1 8 82 77 56 	85 61 52 32 51 	81 10 66 22 60 	19 43 59 18 74 	19 43 59 18 74 	
26	28/06/1913	40 8 33 56 75 	40 8 33 56 75 	26 20 70 55 84 	26 20 70 55 84 	38 18 44 57 8 	66 51 22 23 75 	51 75 56 70 45 	28 17 51 87 24 	16 5 13 15 11 	30 63 31 76 1 	30 63 31 76 1 	
25	21/06/1913	40 72 39 28 73 	40 72 39 28 73 	39 60 21 9 80 	39 60 21 9 80 	78 12 30 31 38 	25 47 85 33 48 	37 10 44 2 28 	29 10 20 3 22 	58 67 47 24 8 	86 34 42 58 89 	86 34 42 58 89 	
24	14/06/1913	25 61 67 4 36 	25 61 67 4 36 	78 4 76 20 5 	78 4 76 20 5 	45 79 77 43 31 	66 54 67 10 43 	34 68 41 15 6 	17 74 3 44 82 	74 82 66 52 45 	55 82 31 59 41 	55 82 31 59 41 	
23	07/06/1913	70 73 61 69 74 	70 73 61 69 74 	35 55 70 9 41 	35 55 70 9 41 	60 19 3 85 15 	6 38 31 36 18 	42 25 41 20 43 	10 80 11 66 63 	67 75 42 62 87 	18 61 8 53 79 	18 61 8 53 79 	
22	31/05/1913	80 44 60 84 22 	80 44 60 84 22 	43 11 81 24 17 	43 11 81 24 17 	26 24 13 35 61 	79 35 49 55 37 	3 21 22 25 78 	81 15 66 48 14 	16 55 47 88 85 	58 71 12 37 70 	58 71 12 37 70 	
21	24/05/1913	5 47 89 6 38 	5 47 89 6 38 	35 55 85 56 76 	35 55 85 56 76 	46 10 73 84 36 	76 48 27 47 36 	35 83 6 55 67 	78 45 44 69 56 	40 74 70 86 15 	22 57 56 84 89 	22 57 56 84 89 	
20	17/05/1913	72 13 58 17 19 	72 13 58 17 19 	23 86 44 81 83 	23 86 44 81 83 	60 63 56 59 58 	74 58 65 69 83 	55 19 33 70 50 	75 14 28 49 6 	23 15 73 90 19 	24 29 76 59 86 	24 29 76 59 86 	
19	10/05/1913	50 1 72 67 66 	50 1 72 67 66 	56 45 77 18 73 	56 45 77 18 73 	77 57 51 62 4 	52 90 45 67 40 	50 34 29 57 83 	72 41 86 34 33 	4 53 75 81 27 	52 45 63 56 28 	52 45 63 56 28 	
18	03/05/1913	38 26 87 62 21 	38 26 87 62 21 	5 45 72 16 31 	5 45 72 16 31 	28 45 26 87 77 	52 30 70 89 55 	40 4 87 18 62 	57 12 83 36 14 	32 41 21 47 75 	30 3 44 24 39 	30 3 44 24 39 	
17	26/04/1913	25 49 24 10 27 	25 49 24 10 27 	5 40 10 7 83 	5 40 10 7 83 	78 69 33 27 66 	36 77 34 61 56 	30 22 83 62 49 	35 57 33 24 46 	59 23 43 1 61 	79 37 33 68 81 	79 37 33 68 81 	
16	19/04/1913	36 6 5 33 86 	36 6 5 33 86 	26 35 11 36 16 	26 35 11 36 16 	61 31 56 82 73 	86 18 63 82 44 	1 10 75 47 58 	35 81 83 40 45 	62 75 21 77 5 	49 17 60 6 4 	49 17 60 6 4 	
15	12/04/1913	34 72 82 24 51 	34 72 82 24 51 	69 83 44 15 53 	69 83 44 15 53 	8 54 88 6 72 	45 70 35 48 63 	12 14 73 70 65 	55 81 82 19 27 	22 45 63 42 19 	38 2 64 15 44 	38 2 64 15 44 	
14	05/04/1913	38 47 77 45 2 	38 47 77 45 2 	32 7 14 9 47 	32 7 14 9 47 	21 48 31 89 3 	29 28 90 25 37 	8 74 2 9 10 	2 11 28 73 26 	19 20 10 35 43 	11 64 84 5 42 	11 64 84 5 42 	
13	29/03/1913	17 47 61 10 1 	17 47 61 10 1 	19 23 39 84 55 	19 23 39 84 55 	81 46 33 83 64 	52 37 40 80 49 	38 81 1 43 47 	46 18 50 70 30 	1 74 70 88 82 	60 90 88 30 32 	60 90 88 30 32 	
12	22/03/1913	26 77 45 22 84 	26 77 45 22 84 	64 72 46 9 62 	64 72 46 9 62 	47 10 48 46 5 	4 18 22 68 2 	20 2 37 83 72 	71 76 51 49 50 	9 13 2 63 78 	1 89 90 20 59 	1 89 90 20 59 	
11	15/03/1913	79 90 30 72 29 	79 90 30 72 29 	18 9 67 35 17 	18 9 67 35 17 	22 86 25 54 63 	76 79 30 58 57 	17 23 13 52 16 	47 79 10 21 75 	81 20 89 69 2 	23 34 76 19 43 	23 34 76 19 43 	
10	08/03/1913	25 59 35 66 15 	25 59 35 66 15 	47 79 11 17 55 	47 79 11 17 55 	15 58 4 25 48 	6 58 21 77 46 	81 65 44 23 9 	65 36 7 72 31 	54 69 84 58 16 	43 68 71 72 56 	43 68 71 72 56 	
