Lotto
Archivio estrazioni Lotto anno 1947 aggiornato al 27/12/1947
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	27/12/1947	2 36 43 18 1 	79 39 56 43 14 	6 19 85 9 58 	66 57 29 84 56 	62 46 15 76 42 	71 6 16 44 35 	28 7 69 6 52 	15 70 40 28 31 	13 18 78 73 88 	86 60 30 20 81 	     	
51	20/12/1947	38 54 46 53 89 	84 13 40 88 65 	50 79 47 73 25 	32 44 31 54 69 	15 28 40 3 42 	87 37 68 2 67 	28 23 45 7 11 	24 33 87 38 20 	36 38 55 78 3 	38 42 72 19 6 	38 42 72 19 6 	
50	13/12/1947	19 50 9 24 34 	48 16 45 31 14 	10 87 89 61 67 	72 19 63 69 21 	7 61 55 65 10 	29 69 76 36 89 	56 14 87 3 22 	90 8 67 74 66 	8 7 67 3 43 	24 13 26 42 64 	24 13 26 42 64 	
49	06/12/1947	61 57 40 28 8 	81 36 67 10 41 	39 77 5 15 22 	65 60 34 76 71 	55 31 61 86 79 	48 23 7 72 50 	44 20 39 72 8 	66 89 17 27 73 	8 18 78 44 75 	36 67 64 79 39 	36 67 64 79 39 	
48	29/11/1947	9 51 29 1 6 	28 56 87 78 12 	58 1 40 7 49 	14 13 53 59 80 	67 76 2 46 14 	4 86 13 59 3 	70 69 11 54 17 	36 46 75 48 73 	11 56 13 28 78 	57 6 72 22 15 	57 6 72 22 15 	
47	22/11/1947	51 66 56 34 88 	28 46 69 56 66 	90 15 4 28 21 	77 19 58 31 40 	53 60 41 69 28 	26 34 49 37 47 	87 33 23 12 90 	53 79 43 3 84 	31 76 38 15 73 	38 17 41 6 51 	38 17 41 6 51 	
46	15/11/1947	2 82 20 18 60 	48 41 24 76 6 	60 77 7 27 11 	47 25 44 65 73 	79 32 1 64 52 	1 63 3 78 59 	78 87 12 88 75 	44 1 49 37 22 	8 51 5 23 67 	38 83 61 2 48 	38 83 61 2 48 	
45	08/11/1947	14 10 18 55 15 	34 41 52 27 75 	85 68 59 37 32 	80 15 43 30 20 	41 44 90 2 52 	64 40 24 79 29 	37 54 88 15 10 	72 8 29 59 35 	37 29 84 80 20 	80 70 64 51 68 	80 70 64 51 68 	
44	01/11/1947	86 60 17 89 64 	14 79 28 82 31 	11 44 40 54 53 	87 82 1 12 20 	10 51 43 3 13 	87 58 25 72 42 	29 68 82 39 4 	54 2 56 35 8 	54 47 13 58 79 	27 4 17 48 55 	27 4 17 48 55 	
43	25/10/1947	66 43 41 53 72 	55 44 71 68 9 	25 17 35 28 84 	60 28 87 10 1 	80 53 26 35 81 	19 74 20 49 63 	13 16 33 10 4 	82 57 55 8 80 	45 81 42 75 24 	7 26 66 38 22 	7 26 66 38 22 	
42	18/10/1947	20 82 30 53 84 	12 40 79 57 72 	71 36 55 59 46 	43 54 14 24 87 	24 2 30 13 43 	40 26 19 84 21 	30 2 88 78 71 	32 38 16 15 6 	63 51 69 2 77 	11 66 19 78 32 	11 66 19 78 32 	
41	11/10/1947	28 42 51 6 78 	4 87 2 57 8 	38 47 54 42 19 	57 38 68 8 21 	49 17 46 5 31 	77 61 68 25 52 	89 12 23 45 67 	81 73 52 75 67 	28 66 36 61 3 	34 81 47 64 23 	34 81 47 64 23 	
40	04/10/1947	77 62 10 75 55 	12 79 69 81 86 	57 16 14 65 42 	25 34 43 44 73 	45 23 76 70 55 	19 5 33 26 49 	54 64 10 20 87 	36 43 8 15 40 	7 81 25 38 13 	13 63 65 28 68 	13 63 65 28 68 	
39	27/09/1947	11 32 62 28 49 	88 46 60 59 41 	34 14 40 31 87 	76 21 34 10 40 	9 26 82 87 29 	54 22 47 12 49 	17 77 21 74 12 	7 68 11 66 29 	4 54 68 39 56 	5 78 52 22 90 	5 78 52 22 90 	
38	20/09/1947	84 18 70 60 65 	4 43 16 81 19 	8 60 82 71 6 	89 63 56 73 58 	53 49 46 10 52 	52 12 19 83 45 	12 11 36 25 16 	46 22 15 51 19 	1 87 52 90 75 	29 75 64 15 78 	29 75 64 15 78 	
37	13/09/1947	36 85 35 15 82 	73 82 44 12 49 	2 87 86 52 18 	54 70 80 52 62 	14 32 62 26 47 	54 59 11 3 42 	63 76 33 73 35 	55 24 33 2 73 	1 73 74 5 61 	45 75 40 53 70 	45 75 40 53 70 	
36	06/09/1947	2 10 80 35 74 	9 33 84 42 75 	2 28 13 20 75 	21 34 84 43 11 	29 22 60 76 54 	31 71 57 12 82 	83 61 69 54 12 	81 36 44 48 55 	62 26 87 7 50 	56 34 58 83 39 	56 34 58 83 39 	
35	30/08/1947	76 62 63 44 17 	39 34 51 49 46 	44 86 76 41 9 	28 19 25 34 31 	66 53 8 4 82 	30 77 62 13 43 	56 11 53 28 78 	49 51 52 8 82 	38 7 49 90 9 	18 23 15 50 47 	18 23 15 50 47 	
34	23/08/1947	22 52 32 65 64 	82 13 44 5 42 	61 84 28 29 31 	59 62 77 28 24 	47 50 4 13 20 	52 51 40 81 44 	27 58 73 52 31 	35 41 61 18 31 	51 73 26 1 18 	41 73 84 26 55 	41 73 84 26 55 	
