Lotto
Archivio estrazioni Lotto anno 1991 aggiornato al 28/12/1991
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	28/12/1991	69 9 45 67 46 	68 88 18 32 62 	83 74 88 84 37 	38 10 59 36 26 	41 34 11 39 27 	83 6 44 86 7 	21 39 29 49 85 	75 22 90 9 89 	70 57 20 81 65 	21 76 22 73 85 	     	
51	21/12/1991	53 74 64 44 34 	67 73 55 86 53 	72 47 86 17 90 	48 16 22 64 72 	13 1 74 5 62 	10 3 54 74 33 	5 86 20 41 28 	51 90 52 35 60 	51 52 35 9 7 	43 46 85 21 14 	43 46 85 21 14 	
50	14/12/1991	87 84 52 34 73 	90 60 74 53 41 	88 62 45 26 33 	10 4 19 36 20 	35 79 34 56 39 	63 70 62 81 85 	45 72 3 46 32 	14 77 87 31 42 	60 39 88 22 5 	5 71 23 46 58 	5 71 23 46 58 	
49	07/12/1991	6 44 33 20 55 	86 79 8 44 6 	20 63 58 80 7 	73 62 24 49 14 	76 38 24 14 18 	17 20 54 7 69 	89 29 4 17 61 	76 90 54 61 43 	6 39 31 59 56 	64 61 90 50 57 	64 61 90 50 57 	
48	30/11/1991	58 60 52 55 46 	69 88 42 20 77 	76 89 20 72 31 	17 26 76 46 64 	14 41 15 35 9 	35 7 38 66 13 	35 60 13 46 68 	25 47 37 88 20 	85 42 49 60 52 	82 85 30 7 62 	82 85 30 7 62 	
47	23/11/1991	31 11 81 56 28 	43 42 13 78 67 	88 62 35 56 31 	90 38 89 24 78 	22 31 64 34 78 	9 22 37 74 78 	29 69 53 37 6 	64 56 86 67 39 	68 60 5 11 87 	13 51 87 42 17 	13 51 87 42 17 	
46	16/11/1991	15 36 59 80 27 	74 78 86 50 59 	85 34 41 59 54 	84 88 11 72 7 	16 31 58 56 2 	13 17 20 43 45 	68 23 6 80 74 	62 51 10 3 83 	69 49 25 74 28 	58 70 31 71 84 	58 70 31 71 84 	
45	09/11/1991	22 65 51 11 88 	86 20 63 28 3 	25 18 54 35 64 	86 78 64 37 10 	79 15 73 23 62 	21 10 41 90 13 	11 77 1 69 53 	62 73 1 7 60 	3 59 68 53 4 	16 9 40 62 54 	16 9 40 62 54 	
44	02/11/1991	66 80 18 86 37 	3 66 13 29 57 	34 40 13 2 66 	29 47 38 7 46 	86 81 80 74 44 	49 18 11 16 71 	22 48 33 66 58 	3 38 40 77 28 	67 73 74 42 17 	7 61 43 72 28 	7 61 43 72 28 	
43	26/10/1991	73 10 42 69 67 	2 44 5 9 77 	29 75 90 87 47 	46 54 21 49 6 	90 36 81 10 74 	40 45 25 58 39 	68 31 79 15 30 	34 20 90 77 44 	76 22 5 52 79 	60 68 20 86 17 	60 68 20 86 17 	
42	19/10/1991	15 82 58 21 40 	53 2 28 19 13 	47 24 87 90 5 	21 27 59 88 20 	28 39 64 16 51 	18 78 37 43 56 	61 25 76 34 67 	75 10 2 45 5 	9 50 33 6 85 	32 66 72 11 35 	32 66 72 11 35 	
