Lotto
Archivio estrazioni Lotto anno 1980 aggiornato al 27/12/1980
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	27/12/1980	21 54 31 67 72 	45 44 47 20 61 	19 69 12 56 34 	70 56 24 33 19 	25 30 1 5 77 	89 82 78 65 19 	64 89 70 17 45 	63 53 1 26 60 	65 4 73 14 70 	90 4 12 23 85 	     	
51	20/12/1980	60 62 78 5 14 	88 16 72 74 55 	61 47 85 55 9 	72 62 19 54 87 	50 90 22 23 40 	75 11 62 63 64 	84 58 55 74 45 	49 37 74 56 28 	31 58 27 54 17 	82 4 34 50 62 	82 4 34 50 62 	
50	13/12/1980	37 67 73 43 27 	87 62 54 48 1 	23 31 17 57 86 	11 28 2 58 46 	68 66 40 24 82 	68 64 32 78 62 	27 59 45 46 75 	22 34 89 50 4 	26 58 1 24 73 	58 61 42 44 25 	58 61 42 44 25 	
49	06/12/1980	74 48 22 38 55 	15 69 63 50 77 	50 84 83 81 18 	72 13 29 45 54 	58 42 26 49 81 	46 53 87 76 39 	77 86 3 66 28 	86 27 47 62 76 	38 84 18 58 70 	41 29 47 66 80 	41 29 47 66 80 	
48	29/11/1980	73 42 30 51 62 	86 88 85 54 27 	39 6 22 46 21 	62 16 20 83 35 	41 47 44 70 42 	18 25 88 53 80 	39 17 80 59 73 	11 88 59 74 39 	9 48 87 16 70 	47 30 61 86 15 	47 30 61 86 15 	
47	22/11/1980	90 64 48 54 66 	11 57 69 12 78 	21 88 36 7 45 	71 1 86 78 77 	10 8 82 1 53 	37 8 56 85 46 	6 28 55 83 54 	72 37 83 33 30 	88 2 68 14 85 	31 62 65 63 23 	31 62 65 63 23 	
46	15/11/1980	65 83 55 73 8 	38 43 46 27 36 	22 16 2 53 3 	80 18 51 71 68 	56 81 32 13 55 	36 7 35 24 64 	90 7 82 64 65 	31 48 59 88 76 	83 34 63 84 71 	51 49 17 27 40 	51 49 17 27 40 	
45	08/11/1980	62 79 20 36 5 	56 78 65 84 77 	22 5 13 67 19 	8 6 74 23 70 	45 48 49 23 78 	82 29 38 24 28 	31 36 52 14 2 	58 65 60 2 72 	25 29 80 21 13 	66 90 34 10 29 	66 90 34 10 29 	
44	01/11/1980	28 74 75 68 38 	15 35 17 56 29 	12 10 20 24 76 	63 55 86 70 25 	43 56 35 1 60 	54 35 78 6 52 	57 40 6 23 39 	40 67 30 33 8 	23 54 82 73 19 	15 77 19 12 34 	15 77 19 12 34 	
43	25/10/1980	68 34 12 20 60 	28 16 84 2 46 	63 21 29 2 22 	56 58 82 51 28 	90 37 44 57 78 	51 84 42 61 78 	24 80 54 1 79 	55 29 19 21 24 	53 14 42 72 84 	30 22 57 76 29 	30 22 57 76 29 	
42	18/10/1980	77 69 20 48 21 	54 69 86 89 75 	37 7 89 60 46 	56 36 35 85 62 	35 89 62 23 37 	86 81 7 37 47 	83 59 64 67 38 	27 84 31 77 10 	87 8 58 13 1 	47 61 28 29 66 	47 61 28 29 66 	
41	11/10/1980	28 58 46 16 60 	71 24 29 35 31 	65 14 21 61 84 	36 26 64 61 27 	79 25 84 27 62 	19 81 27 35 68 	50 18 83 37 47 	28 7 89 19 85 	35 77 10 49 83 	47 19 40 2 55 	47 19 40 2 55 	
40	04/10/1980	8 32 50 46 30 	73 25 75 32 35 	72 57 46 1 8 	68 73 19 43 4 	29 84 46 54 11 	52 32 66 25 75 	69 56 2 23 3 	61 60 79 59 81 	20 46 31 82 33 	58 44 78 36 76 	58 44 78 36 76 	
39	27/09/1980	4 89 13 83 30 	54 28 87 83 85 	62 23 28 16 46 	63 31 13 35 11 	87 58 86 22 88 	36 64 40 58 68 	63 2 11 9 29 	22 39 15 68 4 	80 78 53 64 75 	86 30 10 57 67 	86 30 10 57 67 	
38	20/09/1980	87 29 18 33 52 	82 52 6 13 50 	7 20 83 79 13 	5 28 18 29 27 	4 15 5 6 7 	74 85 49 65 54 	18 53 52 24 65 	82 36 39 1 20 	37 55 35 22 63 	51 34 2 3 25 	51 34 2 3 25 	
37	13/09/1980	76 49 25 90 57 	5 84 58 48 49 	14 16 36 5 79 	19 36 72 45 56 	86 35 48 54 45 	22 18 21 68 54 	19 36 11 34 88 	17 25 13 8 84 	56 25 14 80 41 	41 53 27 58 69 	41 53 27 58 69 	
36	06/09/1980	19 47 13 58 21 	55 81 57 28 4 	27 1 7 79 12 	67 70 74 80 46 	43 14 32 59 30 	90 48 47 5 18 	11 72 88 16 18 	10 8 75 19 68 	54 49 86 32 29 	9 87 49 44 33 	9 87 49 44 33 	
35	30/08/1980	15 86 27 81 46 	87 73 86 10 88 	35 48 21 19 58 	46 38 65 71 35 	43 88 78 48 10 	66 14 63 22 58 	17 74 64 5 46 	36 72 34 60 28 	74 44 32 68 59 	2 42 33 44 27 	2 42 33 44 27 	
34	23/08/1980	29 64 89 65 52 	46 2 66 73 39 	37 47 84 89 5 	75 16 18 78 13 	31 27 13 21 4 	78 85 36 52 16 	39 14 5 87 73 	64 74 6 55 33 	28 15 80 12 82 	75 24 37 46 29 	75 24 37 46 29 	
33	16/08/1980	47 81 53 42 37 	59 50 17 7 16 	45 27 20 89 38 	22 88 71 4 27 	2 5 47 21 4 	78 88 25 3 30 	79 12 46 45 29 	72 74 88 64 36 	14 40 37 84 82 	76 32 44 57 1 	76 32 44 57 1 	
