Lotto
Archivio estrazioni Lotto anno 2018 aggiornato al 29/12/2018
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
156	29/12/2018	10 88 89 34 77 	46 74 56 21 69 	74 13 87 14 70 	13 11 28 65 89 	46 42 67 62 21 	55 5 31 39 78 	85 5 90 49 36 	65 20 39 79 25 	10 69 22 66 44 	13 12 1 27 88 	15 78 50 64 44 	
155	27/12/2018	45 9 86 60 54 	22 21 1 38 66 	21 11 51 14 8 	71 2 36 7 46 	78 56 38 50 35 	55 50 7 11 89 	61 78 7 59 15 	68 51 43 2 76 	81 72 23 3 10 	59 78 87 34 66 	79 50 4 74 23 	
154	24/12/2018	15 10 75 86 49 	17 29 72 19 58 	18 88 20 1 6 	10 5 42 65 20 	19 78 7 87 80 	1 81 77 59 16 	80 1 53 32 77 	29 54 20 73 67 	6 44 5 88 89 	72 87 52 6 12 	57 43 73 36 90 	
153	22/12/2018	33 3 34 46 35 	71 68 80 24 12 	52 15 36 90 34 	17 6 52 35 42 	54 81 79 82 19 	15 72 32 21 64 	77 38 89 73 48 	2 36 5 20 25 	1 47 90 37 40 	31 80 40 35 22 	74 57 45 26 56 	
152	20/12/2018	72 34 90 11 3 	74 80 42 20 88 	77 42 78 80 81 	60 89 30 38 46 	50 79 74 11 29 	74 46 1 72 3 	10 63 27 67 58 	59 7 37 31 3 	6 54 2 84 3 	51 50 16 55 53 	59 43 53 42 83 	
151	18/12/2018	66 15 30 16 12 	33 38 28 9 45 	52 89 83 23 53 	1 53 10 58 88 	38 82 90 20 40 	88 27 18 50 7 	80 13 24 16 74 	9 23 32 26 45 	86 81 52 28 25 	34 18 16 56 63 	33 48 59 25 80 	
150	15/12/2018	34 49 16 27 31 	45 44 24 61 6 	55 3 60 56 22 	62 85 20 77 42 	29 75 17 88 28 	27 44 53 49 36 	67 65 14 41 56 	77 89 25 59 73 	43 65 26 45 44 	77 62 9 80 71 	84 16 85 87 54 	
149	13/12/2018	4 81 31 30 14 	79 21 70 11 48 	69 19 80 81 54 	23 41 82 89 72 	64 63 46 10 38 	21 1 69 71 19 	86 88 50 45 3 	53 50 24 46 33 	35 34 33 12 26 	30 2 40 58 83 	83 27 39 25 87 	
148	11/12/2018	3 84 73 71 40 	28 78 74 20 50 	47 72 54 11 13 	16 58 81 67 48 	69 61 22 41 62 	38 72 53 5 80 	7 66 40 71 21 	24 66 10 32 50 	73 85 8 27 72 	47 55 29 52 80 	18 82 86 10 46 	
147	10/12/2018	32 58 10 25 13 	89 21 62 56 64 	60 33 44 78 22 	63 82 81 79 72 	74 56 28 61 30 	14 65 81 84 69 	49 56 47 86 9 	11 16 13 4 67 	86 46 71 79 63 	60 87 42 90 26 	17 23 49 40 41 	
146	06/12/2018	51 21 12 10 62 	60 85 81 12 43 	62 17 11 28 39 	12 67 63 42 28 	87 42 58 32 37 	74 12 27 16 3 	59 89 41 79 52 	7 51 39 37 38 	67 29 15 14 70 	33 35 6 3 58 	81 23 45 71 14 	
145	04/12/2018	24 26 60 70 6 	81 20 10 60 90 	82 33 88 32 38 	46 73 88 50 71 	48 2 15 32 25 	61 69 26 5 71 	28 5 53 18 76 	60 90 89 61 78 	1 69 19 43 82 	15 59 30 25 29 	9 61 86 13 88 	
144	01/12/2018	58 7 14 29 40 	60 3 53 83 42 	87 60 23 17 69 	23 57 27 33 32 	87 7 21 8 23 	29 88 32 31 16 	5 58 22 59 90 	85 11 37 23 44 	25 57 4 17 87 	51 22 88 21 9 	15 36 6 21 48 	
143	29/11/2018	38 70 27 18 15 	66 16 71 56 24 	31 46 1 88 29 	25 74 9 19 17 	38 10 47 25 74 	69 81 85 52 25 	59 35 77 71 87 	38 45 3 4 61 	82 85 37 27 66 	45 69 40 33 22 	13 52 85 40 34 	
142	27/11/2018	78 61 3 90 80 	36 35 15 34 77 	7 53 5 81 86 	30 21 81 26 82 	63 21 55 90 77 	12 79 6 24 52 	40 23 82 21 9 	27 30 11 51 4 	44 7 82 83 90 	38 35 36 65 8 	66 9 74 62 11 	
141	24/11/2018	37 70 35 85 13 	29 7 85 44 10 	16 54 72 29 47 	23 52 75 88 38 	55 57 81 21 5 	9 49 40 90 54 	59 82 79 28 26 	6 19 2 3 8 	31 81 6 5 21 	62 12 66 21 84 	83 63 7 19 64 	
140	22/11/2018	9 62 56 36 86 	17 88 83 9 60 	28 29 53 81 65 	62 53 65 15 21 	87 40 70 53 64 	16 21 22 25 19 	26 65 4 70 9 	6 45 40 62 59 	22 51 5 26 71 	89 1 40 69 43 	48 43 70 85 28 	
139	20/11/2018	28 48 35 43 90 	32 14 4 46 54 	84 65 64 46 74 	2 77 41 44 76 	37 52 82 62 85 	42 17 12 10 25 	68 69 72 55 28 	9 90 45 17 61 	40 38 56 19 27 	40 59 83 71 81 	2 31 78 30 55 	
138	17/11/2018	7 33 44 54 71 	56 7 36 86 62 	23 83 38 65 2 	31 10 60 4 83 	9 6 51 10 39 	2 10 13 58 43 	5 79 48 75 15 	59 55 85 64 2 	74 62 46 39 48 	56 61 34 84 40 	64 12 31 9 32 	
137	15/11/2018	33 70 46 1 55 	85 89 78 49 56 	77 86 32 16 67 	18 47 43 50 21 	13 8 27 54 60 	70 83 44 9 29 	11 20 56 72 16 	18 82 58 5 32 	12 11 2 85 55 	26 89 20 65 48 	7 17 77 10 31 	
136	13/11/2018	62 20 7 75 9 	18 45 43 22 33 	28 49 10 15 46 	8 45 11 2 27 	21 41 13 90 68 	45 6 82 86 10 	28 82 70 21 66 	62 29 39 48 86 	81 87 32 43 75 	18 15 76 45 37 	66 74 24 23 57 	
135	10/11/2018	59 58 4 2 26 	50 73 41 12 61 	6 48 60 78 56 	86 78 82 50 49 	90 4 59 9 22 	89 24 83 59 58 	36 61 58 42 22 	31 66 22 55 18 	81 73 38 30 71 	5 51 41 90 68 	64 2 37 33 50 	
134	08/11/2018	33 57 67 31 38 	50 51 81 29 16 	53 27 81 89 77 	12 29 5 17 62 	7 81 60 41 44 	86 2 14 81 3 	2 70 13 59 17 	1 3 62 35 28 	76 58 63 29 37 	52 57 28 6 25 	11 59 24 3 66 	
133	06/11/2018	47 75 30 89 67 	76 79 17 6 72 	75 42 74 29 38 	37 41 42 50 62 	16 8 80 63 84 	75 79 32 73 58 	85 81 72 71 38 	30 32 71 74 20 	74 45 32 47 33 	64 75 77 30 54 	86 79 83 20 25 	
132	03/11/2018	83 49 58 68 65 	90 78 76 88 64 	89 9 1 35 88 	20 50 70 5 3 	31 26 4 39 18 	75 74 3 58 46 	48 77 80 75 4 	72 6 25 11 20 	74 81 9 66 80 	21 63 46 27 38 	19 75 32 30 49 	
131	02/11/2018	63 11 10 34 24 	52 86 36 28 10 	43 2 21 55 15 	61 48 40 41 11 	35 72 69 78 88 	62 59 36 41 74 	69 27 81 28 73 	60 24 82 83 6 	81 33 51 5 37 	73 78 77 39 32 	89 4 43 67 45 	
130	30/10/2018	85 90 53 49 35 	79 55 50 68 39 	90 45 52 35 60 	4 23 3 58 33 	47 4 23 17 80 	31 65 16 59 74 	90 50 79 41 16 	72 40 3 55 43 	31 85 17 36 24 	18 6 81 22 2 	87 56 38 55 40 	
129	27/10/2018	70 84 10 44 42 	30 21 71 33 26 	22 85 76 84 59 	64 63 43 4 33 	1 69 51 44 65 	33 49 40 18 82 	24 56 25 68 17 	16 78 48 45 81 	67 71 49 84 18 	44 12 86 68 73 	46 51 38 22 5 	
128	25/10/2018	34 48 67 16 56 	70 87 80 24 29 	87 24 55 50 13 	90 47 1 33 82 	6 14 10 75 60 	90 21 83 65 78 	54 3 25 40 38 	41 1 64 62 23 	40 31 84 55 38 	84 7 20 65 76 	17 27 89 36 54 	
127	23/10/2018	37 29 60 59 51 	57 15 11 38 41 	45 39 43 85 15 	44 64 47 14 50 	82 49 90 32 43 	9 52 39 50 57 	90 23 73 16 77 	51 18 63 14 72 	16 49 27 45 66 	42 13 40 61 16 	4 2 20 8 30 	
126	20/10/2018	63 18 83 50 70 	17 21 22 60 51 	79 33 83 63 46 	51 25 1 43 14 	58 56 65 13 29 	19 47 46 83 28 	25 82 41 15 39 	6 89 3 14 20 	20 17 8 80 66 	76 59 66 85 62 	62 19 82 77 18 	
125	18/10/2018	73 8 75 24 4 	69 31 25 35 89 	47 23 51 83 33 	21 12 13 56 5 	88 43 42 17 62 	48 14 23 83 77 	60 36 35 15 79 	89 23 29 48 78 	85 39 40 33 48 	45 65 81 52 8 	87 12 57 4 58 	
124	16/10/2018	21 59 30 39 78 	29 46 71 18 27 	24 71 88 67 57 	41 1 43 30 9 	42 50 78 29 53 	56 23 40 49 22 	41 77 13 43 4 	37 69 30 19 74 	77 38 33 76 60 	6 81 82 84 57 	66 4 72 46 7 	
123	13/10/2018	53 36 75 26 16 	62 8 90 66 11 	37 15 12 86 46 	4 67 28 79 11 	70 3 42 24 51 	1 41 71 5 60 	81 84 82 53 41 	73 9 51 27 18 	15 89 44 10 37 	73 80 74 8 31 	35 23 81 59 78 	
