Lotto
Archivio estrazioni Lotto anno 1946 aggiornato al 28/12/1946
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	28/12/1946	37 11 72 79 49 	60 84 6 17 78 	25 3 80 18 63 	70 85 56 39 13 	23 24 50 65 89 	18 1 43 35 7 	1 80 86 9 72 	32 37 64 33 16 	74 44 66 60 63 	41 64 8 53 56 	     	
51	21/12/1946	60 73 13 35 71 	67 22 26 65 28 	30 82 66 70 62 	50 47 72 43 45 	81 33 71 11 25 	6 47 36 14 32 	8 88 3 10 25 	17 70 44 88 71 	77 7 76 36 61 	8 13 71 56 35 	8 13 71 56 35 	
50	14/12/1946	9 22 43 77 20 	56 62 60 31 52 	47 50 71 81 30 	32 16 46 36 87 	6 60 20 43 77 	87 38 80 23 69 	68 2 80 81 9 	54 37 71 22 28 	73 11 3 72 47 	20 3 29 78 80 	20 3 29 78 80 	
49	07/12/1946	43 50 70 72 22 	11 36 88 75 42 	13 62 16 27 68 	34 49 18 38 51 	36 66 33 15 65 	60 84 15 52 56 	75 54 82 45 73 	30 59 4 26 28 	33 4 21 41 9 	48 49 90 59 19 	48 49 90 59 19 	
48	30/11/1946	82 70 27 32 19 	15 4 62 88 38 	50 73 87 78 57 	17 37 82 10 86 	66 48 90 73 34 	68 88 29 90 60 	5 54 89 21 90 	81 3 33 2 41 	30 88 69 83 64 	30 69 54 15 71 	30 69 54 15 71 	
47	23/11/1946	87 86 79 58 27 	54 60 59 29 74 	62 4 44 65 7 	23 19 30 42 79 	5 57 31 63 90 	57 49 68 35 1 	21 11 22 55 5 	63 43 49 29 68 	62 48 13 21 60 	10 31 47 22 32 	10 31 47 22 32 	
46	16/11/1946	42 6 1 73 66 	28 57 27 58 7 	45 54 64 33 62 	13 79 44 35 57 	79 66 24 5 61 	59 87 12 81 53 	64 72 1 68 83 	10 60 66 29 46 	85 7 15 52 23 	60 2 88 23 16 	60 2 88 23 16 	
45	09/11/1946	50 6 46 68 69 	32 74 85 15 3 	12 43 39 74 79 	71 46 69 59 83 	9 89 14 12 72 	58 85 67 62 18 	1 90 46 12 82 	46 39 84 74 16 	61 54 84 88 42 	15 28 26 35 65 	15 28 26 35 65 	
44	02/11/1946	4 73 25 51 21 	45 81 55 41 3 	82 75 84 25 81 	71 80 11 29 25 	8 9 72 25 45 	32 82 44 5 16 	66 24 62 28 25 	83 33 4 41 39 	51 36 67 33 81 	22 83 90 57 69 	22 83 90 57 69 	
43	26/10/1946	74 82 23 34 5 	46 18 61 29 87 	79 74 68 89 33 	83 76 56 90 28 	76 26 15 4 38 	81 16 67 80 41 	23 67 9 58 32 	40 90 76 44 87 	33 28 80 77 45 	74 17 50 1 80 	74 17 50 1 80 	
42	19/10/1946	76 24 1 33 26 	9 67 88 7 68 	71 62 3 34 58 	53 80 87 9 64 	33 28 6 15 51 	8 46 83 64 68 	49 20 24 18 85 	45 21 25 61 49 	16 64 12 75 3 	44 53 56 51 35 	44 53 56 51 35 	
41	12/10/1946	81 26 61 6 53 	49 47 33 73 87 	67 66 21 50 47 	42 28 61 82 29 	14 43 13 59 87 	19 32 34 14 82 	10 22 43 89 72 	39 34 42 23 29 	63 61 82 73 64 	29 43 42 69 8 	29 43 42 69 8 	
40	05/10/1946	17 64 61 29 2 	25 68 87 12 9 	18 43 66 80 73 	76 58 70 47 24 	38 65 10 83 41 	37 8 74 47 40 	79 63 89 82 20 	77 88 23 30 59 	73 20 63 87 33 	7 17 49 75 68 	7 17 49 75 68 	
39	28/09/1946	28 18 59 42 71 	87 88 48 7 13 	75 88 65 86 53 	76 43 73 80 83 	87 13 20 8 59 	83 67 62 5 71 	41 51 47 39 58 	5 66 90 83 32 	67 8 76 5 4 	11 35 62 39 74 	11 35 62 39 74 	
38	21/09/1946	60 77 28 72 43 	80 16 72 50 36 	60 15 6 63 29 	34 60 59 63 13 	79 82 84 23 90 	24 52 35 64 33 	34 60 40 68 59 	42 8 19 83 75 	73 49 21 16 20 	36 20 63 56 34 	36 20 63 56 34 	
37	14/09/1946	68 22 78 60 58 	18 71 4 5 66 	40 10 72 71 28 	17 16 3 54 52 	36 55 71 78 14 	27 55 2 26 11 	63 68 45 37 38 	5 64 24 51 12 	35 1 3 41 17 	16 24 88 90 77 	16 24 88 90 77 	
36	07/09/1946	31 74 75 28 80 	79 58 82 50 57 	38 48 12 27 34 	81 52 83 3 55 	68 15 8 80 46 	16 31 29 38 10 	32 87 62 38 23 	30 17 58 12 16 	83 59 34 38 60 	62 61 30 54 39 	62 61 30 54 39 	
35	31/08/1946	13 83 19 55 73 	77 40 44 14 10 	83 18 84 34 74 	90 32 54 37 22 	26 43 24 69 47 	52 16 84 38 28 	13 14 26 75 72 	83 12 37 85 73 	36 28 85 79 34 	15 19 38 1 60 	15 19 38 1 60 	
34	24/08/1946	15 68 82 66 67 	38 27 71 84 7 	26 23 81 61 88 	13 81 3 45 47 	19 14 63 28 51 	69 29 70 77 68 	50 68 24 42 8 	36 31 4 12 81 	56 10 52 57 48 	31 69 76 5 56 	31 69 76 5 56 	
33	17/08/1946	39 16 24 89 5 	8 83 61 23 48 	65 67 63 11 58 	87 45 58 35 19 	1 39 29 47 43 	47 56 43 54 60 	78 89 74 42 43 	1 58 63 33 43 	15 18 72 49 5 	66 47 43 21 52 	66 47 43 21 52 	
32	10/08/1946	58 55 65 63 8 	74 29 8 61 17 	52 71 74 20 30 	37 21 39 70 40 	32 52 88 14 73 	43 81 84 23 88 	61 68 11 35 44 	8 9 47 56 16 	80 23 9 26 29 	18 4 58 14 65 	18 4 58 14 65 	
31	03/08/1946	68 57 72 46 37 	44 46 60 43 36 	61 2 18 20 16 	5 68 24 44 52 	33 58 90 85 69 	61 2 22 38 44 	51 57 48 49 54 	39 65 16 44 19 	66 67 54 32 24 	7 87 16 43 19 	7 87 16 43 19 	
30	27/07/1946	45 43 51 67 90 	74 69 58 61 83 	41 79 51 59 47 	57 50 88 51 87 	16 52 31 74 23 	27 71 64 50 46 	61 8 30 13 72 	22 21 90 27 12 	65 74 52 84 18 	79 35 45 5 89 	79 35 45 5 89 	
29	20/07/1946	20 52 46 10 62 	53 83 19 48 23 	23 25 73 89 76 	3 56 45 47 18 	4 47 75 70 6 	24 48 54 29 7 	29 35 34 32 51 	25 59 48 85 11 	26 32 40 9 27 	40 89 69 61 1 	40 89 69 61 1 	
28	13/07/1946	76 81 10 26 40 	55 57 29 18 74 	77 1 9 84 27 	41 24 87 74 29 	79 21 20 1 40 	85 61 30 28 35 	39 60 7 73 21 	65 39 52 64 30 	85 12 87 62 2 	77 79 43 57 17 	77 79 43 57 17 	
27	06/07/1946	90 52 40 51 69 	69 12 56 25 44 	31 49 37 61 12 	39 81 48 56 16 	38 67 69 49 22 	7 72 61 2 42 	35 82 20 16 12 	71 20 21 2 80 	62 75 71 61 78 	57 35 88 3 70 	57 35 88 3 70 	
26	29/06/1946	79 89 14 25 38 	69 1 38 46 13 	45 77 55 16 3 	42 82 72 9 8 	38 36 72 2 66 	69 13 54 90 49 	63 10 79 78 19 	88 80 54 42 17 	51 59 70 17 48 	49 81 63 4 55 	49 81 63 4 55 	
25	22/06/1946	25 71 78 34 38 	51 11 90 80 8 	37 63 59 7 70 	7 59 54 30 79 	48 71 27 88 32 	82 70 59 36 78 	72 10 69 52 89 	3 50 73 86 59 	71 11 88 82 23 	88 62 23 32 29 	88 62 23 32 29 	
24	15/06/1946	88 55 17 21 5 	13 78 38 5 29 	29 32 11 60 34 	90 76 77 32 47 	17 47 12 15 25 	78 89 85 82 87 	86 59 37 7 85 	32 79 10 76 3 	20 75 64 83 4 	87 10 73 86 27 	87 10 73 86 27 	
23	08/06/1946	49 33 42 52 14 	67 56 44 51 81 	7 50 85 12 61 	89 77 87 83 42 	40 63 46 39 68 	50 86 67 5 56 	39 54 17 7 64 	60 47 78 33 20 	26 60 37 56 35 	71 57 54 52 60 	71 57 54 52 60 	
22	01/06/1946	87 12 83 43 25 	12 72 76 60 74 	53 40 2 72 75 	36 76 2 85 88 	33 69 58 64 40 	13 58 32 76 5 	32 37 52 43 4 	43 41 6 52 46 	72 87 19 57 38 	28 11 63 15 50 	28 11 63 15 50 	
21	25/05/1946	79 58 11 83 55 	5 49 62 65 63 	57 63 23 35 52 	79 47 39 84 7 	42 86 47 61 87 	61 60 19 25 24 	45 53 85 64 81 	77 55 66 64 35 	65 25 16 11 67 	51 73 64 36 16 	51 73 64 36 16 	
20	18/05/1946	37 16 85 31 1 	54 46 19 62 56 	30 8 75 53 55 	14 13 21 17 31 	56 36 45 53 31 	31 10 58 16 43 	31 45 4 26 84 	56 46 76 41 87 	16 88 80 52 39 	51 4 18 13 83 	51 4 18 13 83 	
19	11/05/1946	51 55 12 24 76 	64 85 82 59 28 	54 49 89 58 47 	69 22 27 84 58 	53 88 22 1 36 	82 49 87 30 72 	40 64 11 86 31 	70 23 76 75 19 	38 54 64 68 76 	19 67 29 81 42 	19 67 29 81 42 	
18	04/05/1946	23 10 62 89 46 	65 59 19 20 52 	59 19 66 88 43 	89 1 55 27 83 	40 84 19 59 78 	13 55 75 77 44 	41 84 57 62 20 	55 20 51 9 27 	74 8 16 23 45 	49 54 79 16 46 	49 54 79 16 46 	
17	27/04/1946	74 44 23 59 46 	1 20 52 57 83 	19 33 41 47 63 	81 51 83 53 71 	31 22 10 66 29 	70 16 2 6 17 	42 38 90 62 15 	15 21 67 20 74 	63 84 68 25 65 	59 56 23 36 19 	59 56 23 36 19 	
16	20/04/1946	15 79 1 10 5 	43 55 17 83 4 	34 19 65 66 39 	18 74 39 7 68 	89 82 13 26 41 	6 18 58 77 3 	72 2 60 34 77 	53 57 56 2 82 	81 65 9 14 16 	9 10 61 57 70 	9 10 61 57 70 	
15	13/04/1946	44 22 10 86 56 	67 50 49 53 46 	3 44 42 2 20 	10 72 47 42 43 	15 34 37 65 83 	87 69 38 18 66 	59 10 40 4 87 	16 73 65 14 28 	59 25 37 22 5 	17 7 50 90 48 	17 7 50 90 48 	
14	06/04/1946	50 49 63 48 74 	25 40 46 36 53 	78 50 42 18 51 	67 17 62 27 26 	89 19 52 46 69 	87 44 13 90 74 	33 74 60 88 62 	79 36 60 87 81 	86 80 13 37 73 	35 72 48 86 53 	35 72 48 86 53 	
13	30/03/1946	87 81 42 38 84 	33 28 42 44 41 	29 9 13 12 40 	23 78 30 68 58 	6 26 88 58 67 	26 58 12 61 90 	24 4 16 89 54 	59 51 65 63 77 	39 50 20 71 27 	51 65 59 90 74 	51 65 59 90 74 	
12	23/03/1946	75 39 28 78 14 	53 8 59 62 86 	54 35 79 59 86 	16 34 42 75 47 	80 74 7 72 77 	10 6 87 27 18 	19 25 47 79 81 	87 80 73 44 10 	7 56 34 83 18 	63 59 35 4 49 	63 59 35 4 49 	
11	16/03/1946	18 51 77 14 89 	3 42 44 83 38 	11 58 52 25 54 	68 32 57 21 14 	64 59 52 26 29 	60 19 86 44 80 	56 20 81 55 40 	86 87 79 20 15 	41 12 76 24 57 	86 43 42 46 3 	86 43 42 46 3 	
10	09/03/1946	5 38 68 56 70 	87 71 8 17 65 	77 1 61 32 42 	39 74 66 28 55 	56 54 80 23 7 	19 8 42 50 40 	48 12 90 86 19 	83 52 1 53 31 	56 53 21 83 43 	83 36 28 76 1 	83 36 28 76 1 	
9	02/03/1946	76 10 16 6 1 	76 88 26 6 43 	23 20 84 70 10 	31 38 27 17 71 	17 30 82 50 84 	10 11 54 70 5 	36 19 71 74 6 	46 65 6 5 66 	32 89 27 53 26 	87 47 42 58 78 	87 47 42 58 78 	
8	23/02/1946	36 65 60 85 1 	71 43 32 50 37 	23 50 37 83 41 	4 88 43 56 15 	41 11 43 81 37 	76 1 2 55 9 	87 56 48 83 70 	28 56 38 41 32 	51 42 70 84 38 	51 14 53 71 10 	51 14 53 71 10 	
7	16/02/1946	33 42 86 84 30 	12 71 22 90 77 	40 13 10 19 65 	59 37 40 62 80 	61 77 7 43 27 	48 62 4 58 30 	37 29 66 19 54 	24 59 82 28 61 	59 45 5 42 85 	40 54 42 57 38 	40 54 42 57 38 	
6	09/02/1946	85 39 42 22 90 	58 79 69 68 19 	24 67 9 1 79 	29 69 40 90 82 	54 68 84 90 32 	34 46 35 18 89 	33 14 25 85 5 	81 54 43 72 52 	41 51 52 71 28 	31 60 37 25 6 	31 60 37 25 6 	
5	02/02/1946	66 3 45 42 8 	13 44 43 14 63 	5 86 80 23 62 	86 87 76 3 67 	42 2 75 13 30 	39 72 43 5 65 	73 25 77 88 8 	20 36 50 19 14 	70 24 37 18 87 	74 24 7 30 89 	74 24 7 30 89 	
4	26/01/1946	77 49 9 43 64 	48 34 13 90 41 	81 21 55 89 66 	42 16 77 72 28 	60 16 9 23 86 	51 11 85 39 79 	71 77 69 3 68 	78 32 46 18 27 	82 59 5 13 39 	81 76 37 10 30 	81 76 37 10 30 	
3	19/01/1946	46 6 4 20 65 	88 27 87 21 78 	23 10 30 40 69 	28 78 86 3 18 	40 51 58 48 61 	31 9 89 84 65 	20 90 10 43 54 	64 18 76 29 65 	11 19 60 4 31 	27 68 18 55 10 	27 68 18 55 10 	
2	12/01/1946	74 20 48 1 76 	72 1 58 40 57 	46 84 33 2 53 	4 69 14 11 45 	     	62 40 64 81 26 	22 78 64 87 46 	45 83 25 48 88 	77 79 88 9 38 	5 3 11 32 23 	5 3 11 32 23 	
1	05/01/1946	47 25 83 59 37 	27 29 37 60 34 	72 6 11 25 34 	75 51 10 44 35 	     	56 60 74 37 41 	7 44 74 45 33 	20 11 80 23 49 	74 61 4 38 49 	21 77 45 85 84 	21 77 45 85 84 	
