Lotto
Archivio estrazioni Lotto anno 2016 aggiornato al 31/12/2016
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
157	31/12/2016	64 74 57 4 87 	72 79 13 88 89 	17 1 89 55 41 	84 25 32 76 39 	51 60 89 71 6 	8 56 10 22 62 	21 11 50 40 24 	79 72 75 71 53 	33 42 46 88 39 	41 87 23 61 10 	25 3 90 29 41 	
156	29/12/2016	16 42 73 78 47 	81 44 88 15 39 	38 14 13 80 37 	44 11 60 83 21 	49 59 55 36 57 	86 73 44 12 9 	30 45 66 23 36 	16 28 59 40 10 	43 20 22 63 23 	68 54 31 33 38 	42 3 50 71 16 	
155	27/12/2016	20 50 41 83 88 	69 7 74 41 6 	14 35 26 49 66 	24 73 83 57 58 	67 56 11 80 64 	9 14 39 30 19 	79 11 30 72 73 	42 29 90 71 25 	73 47 27 36 54 	13 62 65 27 37 	51 83 85 18 58 	
154	24/12/2016	35 5 17 41 45 	80 63 60 40 78 	13 8 70 40 80 	34 45 31 29 73 	23 15 34 75 53 	19 88 28 11 54 	7 17 49 12 70 	50 57 61 48 70 	56 89 67 72 42 	33 82 39 60 34 	44 60 62 79 13 	
153	22/12/2016	42 84 40 89 56 	80 53 47 83 48 	4 5 9 40 36 	56 60 22 87 48 	19 66 74 40 41 	55 45 28 90 19 	24 31 69 36 7 	28 59 68 14 17 	9 34 36 84 6 	87 84 30 72 14 	18 79 39 38 61 	
152	20/12/2016	26 13 28 69 2 	44 68 28 62 57 	8 27 59 86 19 	65 67 1 38 26 	46 77 43 87 66 	38 85 55 83 30 	58 89 87 69 68 	1 81 3 15 51 	78 85 5 39 19 	78 57 44 30 82 	24 22 69 66 90 	
151	17/12/2016	14 45 49 51 12 	39 86 5 50 57 	35 18 26 60 87 	40 75 45 58 16 	7 69 14 44 54 	70 58 88 24 45 	22 30 84 74 20 	27 85 70 20 17 	64 65 49 42 59 	38 55 84 48 78 	3 33 61 77 80 	
150	15/12/2016	1 79 11 6 8 	26 3 7 71 59 	83 52 41 19 74 	47 19 46 16 11 	67 1 71 24 28 	65 83 1 20 50 	28 38 72 80 13 	86 21 59 28 35 	82 35 1 39 53 	26 36 63 59 56 	44 82 9 15 13 	
149	13/12/2016	90 68 11 81 9 	53 61 48 80 7 	43 44 65 49 79 	24 33 21 29 19 	86 75 61 11 73 	42 48 35 83 79 	6 39 85 46 76 	19 69 85 35 23 	7 63 88 21 9 	30 22 53 43 10 	48 21 45 76 22 	
148	10/12/2016	79 83 28 12 2 	23 81 45 3 6 	27 23 89 83 61 	18 31 40 28 5 	7 16 12 70 42 	68 44 19 65 90 	34 42 63 11 1 	43 86 73 26 80 	20 7 22 5 55 	63 12 47 41 59 	23 31 73 40 75 	
147	09/12/2016	77 58 45 90 66 	50 73 68 63 29 	2 20 72 24 69 	69 13 65 89 79 	21 90 77 55 45 	33 59 17 80 29 	86 21 36 73 33 	35 86 22 77 40 	21 70 81 53 84 	79 15 21 9 45 	74 16 42 48 27 	
146	06/12/2016	83 64 36 62 56 	27 15 6 32 24 	27 59 78 47 81 	25 13 43 72 3 	48 86 69 31 38 	76 5 8 42 9 	66 74 26 13 20 	63 87 12 47 68 	61 12 81 47 41 	4 25 7 19 58 	20 36 74 58 29 	
145	03/12/2016	67 86 74 73 29 	6 78 8 75 37 	81 57 18 60 56 	80 46 14 88 78 	13 2 8 9 60 	85 58 49 34 4 	5 60 45 20 41 	41 67 20 6 73 	10 31 28 5 25 	60 46 43 64 53 	42 32 1 87 75 	
144	01/12/2016	15 4 9 70 6 	40 64 23 38 72 	10 62 12 84 71 	43 12 84 9 69 	12 27 84 53 60 	52 34 30 9 35 	71 44 51 46 21 	2 43 3 10 75 	14 83 1 84 7 	42 32 31 21 51 	15 11 10 79 44 	
143	29/11/2016	88 54 27 30 59 	12 60 30 73 46 	88 26 77 8 65 	2 16 74 89 62 	89 7 40 42 52 	32 48 64 43 50 	17 79 51 20 18 	80 78 45 75 55 	87 36 67 10 31 	64 83 70 4 65 	32 36 59 51 76 	
142	26/11/2016	2 5 28 3 31 	5 8 33 56 44 	29 11 16 44 66 	45 9 23 10 58 	69 9 86 4 54 	75 11 30 18 61 	28 43 24 3 27 	30 67 1 32 46 	12 48 89 18 45 	8 22 26 34 48 	25 38 21 69 28 	
141	24/11/2016	25 47 22 13 88 	52 57 80 41 62 	68 75 53 40 59 	51 11 47 9 33 	88 32 55 82 77 	57 27 47 73 69 	69 55 42 11 87 	39 28 57 64 12 	89 87 88 10 75 	13 24 19 21 89 	56 14 58 45 84 	
140	22/11/2016	68 19 5 48 59 	62 63 82 20 70 	73 45 8 90 16 	55 57 71 80 87 	83 77 22 74 46 	12 83 85 29 45 	88 67 39 33 83 	39 75 72 12 82 	9 47 30 12 69 	14 53 24 31 52 	5 23 64 61 28 	
139	19/11/2016	57 81 8 7 76 	19 35 29 66 11 	18 31 4 37 60 	35 19 76 25 59 	89 77 41 2 12 	19 48 58 23 61 	45 31 87 69 46 	85 49 79 25 69 	84 16 56 47 77 	77 59 83 70 47 	67 18 57 71 40 	
