Lotto
Archivio estrazioni Lotto anno 1988 aggiornato al 31/12/1988
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
53	31/12/1988	9 59 80 14 71 	83 73 13 84 29 	58 76 11 78 73 	64 18 65 2 74 	64 20 75 81 27 	41 22 19 90 46 	64 33 67 34 18 	39 84 88 79 77 	61 37 36 10 55 	82 29 3 76 6 	     	
52	24/12/1988	9 53 80 52 86 	32 54 19 45 66 	24 39 38 33 66 	39 66 29 81 59 	11 63 6 77 66 	67 51 37 66 23 	45 23 5 72 89 	50 78 68 47 10 	70 60 54 59 80 	34 60 20 11 89 	34 60 20 11 89 	
51	17/12/1988	88 22 84 14 44 	85 64 8 79 24 	24 7 80 2 59 	26 43 37 62 77 	27 76 78 13 26 	31 72 68 70 36 	64 54 22 90 36 	81 56 72 43 65 	19 1 61 48 50 	69 8 42 89 46 	69 8 42 89 46 	
50	10/12/1988	80 55 58 59 67 	84 28 43 20 54 	26 62 88 1 22 	2 54 67 66 69 	14 34 55 83 65 	83 53 15 69 5 	18 57 79 27 73 	87 83 44 42 56 	23 83 81 36 53 	28 16 11 38 5 	28 16 11 38 5 	
49	03/12/1988	26 47 74 59 27 	49 19 66 52 9 	76 4 3 6 46 	53 40 12 83 59 	36 43 31 58 33 	4 70 57 29 8 	32 2 34 67 28 	72 45 53 34 9 	56 35 55 17 1 	40 65 77 22 88 	40 65 77 22 88 	
48	26/11/1988	66 76 83 42 6 	78 85 13 5 32 	3 68 65 45 51 	28 19 89 12 74 	43 22 67 32 58 	75 22 12 18 29 	83 59 67 17 4 	18 51 19 58 44 	83 84 33 24 22 	53 60 27 54 69 	53 60 27 54 69 	
47	19/11/1988	8 63 19 70 11 	76 41 13 32 33 	4 29 11 90 48 	11 45 44 43 90 	30 10 2 89 38 	76 9 57 37 50 	63 49 89 68 82 	77 6 11 71 35 	60 64 75 72 53 	68 29 86 54 12 	68 29 86 54 12 	
46	12/11/1988	14 17 49 50 46 	28 33 74 38 10 	4 36 72 74 2 	38 65 28 66 75 	53 58 25 30 72 	87 32 37 79 47 	23 90 60 80 83 	6 59 82 8 41 	60 8 83 75 79 	59 39 43 6 41 	59 39 43 6 41 	
45	05/11/1988	76 9 13 46 34 	68 76 20 48 45 	70 13 69 25 29 	52 43 46 1 32 	81 36 64 89 79 	70 52 47 73 78 	62 6 29 47 50 	55 50 38 44 86 	27 13 9 35 54 	42 31 89 44 8 	42 31 89 44 8 	
44	29/10/1988	85 48 59 52 32 	31 35 25 39 44 	46 63 40 79 5 	90 32 59 80 1 	23 36 5 43 83 	34 31 28 64 2 	38 63 48 61 43 	39 4 80 25 81 	69 31 67 30 66 	50 51 22 3 78 	50 51 22 3 78 	
43	22/10/1988	17 90 13 35 74 	43 77 89 44 5 	13 10 75 23 40 	36 56 55 81 75 	33 53 51 4 1 	53 33 79 28 22 	39 31 4 83 7 	56 77 33 68 50 	35 6 88 21 33 	51 37 29 87 49 	51 37 29 87 49 	
42	15/10/1988	87 76 2 69 9 	44 36 63 3 40 	88 87 75 66 62 	86 22 10 50 36 	71 43 26 35 82 	52 58 40 76 13 	57 85 80 40 2 	44 67 89 12 59 	5 80 89 53 56 	46 88 36 62 30 	46 88 36 62 30 	
41	08/10/1988	78 23 72 13 30 	44 66 13 62 49 	14 88 17 31 85 	43 59 9 23 22 	48 73 4 27 87 	33 64 25 68 30 	19 7 32 40 81 	67 61 83 11 76 	36 78 18 74 44 	35 74 11 52 72 	35 74 11 52 72 	
40	01/10/1988	68 48 25 63 70 	31 47 56 35 58 	20 80 81 48 14 	35 43 8 85 30 	27 84 28 66 22 	20 32 63 90 69 	74 43 87 75 82 	40 63 17 23 20 	70 47 66 8 9 	25 4 75 6 64 	25 4 75 6 64 	
39	24/09/1988	5 31 62 67 90 	47 3 33 86 71 	15 56 30 79 77 	71 81 66 61 2 	25 65 34 9 86 	87 28 26 16 12 	32 60 49 57 56 	10 86 76 12 29 	61 62 90 66 10 	50 15 56 2 43 	50 15 56 2 43 	
38	17/09/1988	81 40 11 52 25 	50 74 66 58 32 	57 30 36 63 68 	23 55 66 40 4 	11 82 66 42 76 	29 15 80 85 21 	22 72 57 36 23 	88 79 67 40 10 	65 78 67 34 29 	43 58 49 84 78 	43 58 49 84 78 	
37	10/09/1988	12 55 59 25 35 	23 13 82 78 21 	21 76 38 33 61 	30 42 51 10 26 	51 53 76 13 41 	75 49 1 79 11 	87 72 16 40 54 	42 25 28 20 29 	72 6 62 37 9 	8 49 39 4 37 	8 49 39 4 37 	
36	03/09/1988	77 68 29 60 45 	67 72 33 88 71 	51 10 88 3 68 	45 68 3 11 88 	18 51 21 22 81 	71 14 5 72 26 	13 83 20 61 89 	86 43 38 42 3 	44 61 25 78 29 	6 68 23 8 7 	6 68 23 8 7 	
35	27/08/1988	50 39 40 1 65 	48 53 26 88 23 	80 41 30 17 76 	31 4 81 41 10 	89 71 81 82 32 	24 22 32 74 29 	50 61 37 32 48 	88 1 32 17 11 	80 62 7 9 65 	23 88 49 17 63 	23 88 49 17 63 	
