Lotto
Archivio estrazioni Lotto anno 2004 aggiornato al 29/12/2004
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
104	29/12/2004	2 15 18 31 86 	79 1 84 49 20 	56 73 31 17 34 	83 58 74 57 43 	78 55 83 79 46 	24 34 50 8 77 	76 81 47 20 75 	49 73 1 9 83 	81 1 33 24 56 	44 40 54 55 82 	     	
103	27/12/2004	59 3 89 82 52 	45 28 83 46 74 	74 49 79 29 51 	18 33 76 89 23 	41 16 5 88 10 	87 45 74 65 38 	68 1 64 48 65 	72 65 11 88 67 	14 56 29 86 77 	72 12 80 16 66 	72 12 80 16 66 	
102	22/12/2004	14 46 48 56 57 	88 2 83 27 15 	54 48 63 6 90 	39 4 28 38 81 	77 61 71 41 74 	80 30 58 55 47 	15 80 51 16 22 	82 37 64 66 90 	53 35 72 90 24 	55 58 18 83 87 	55 58 18 83 87 	
101	18/12/2004	11 33 61 23 82 	80 51 1 37 73 	23 31 22 46 41 	15 7 78 21 88 	47 42 38 69 30 	80 40 89 28 33 	87 34 32 70 61 	48 43 40 53 68 	88 84 74 37 34 	89 64 70 62 19 	89 64 70 62 19 	
100	15/12/2004	21 83 75 19 53 	13 78 62 79 25 	15 58 10 83 47 	72 10 19 75 22 	3 56 54 23 5 	61 58 42 10 2 	15 4 65 51 90 	67 36 26 5 23 	24 42 85 61 54 	55 44 46 7 79 	55 44 46 7 79 	
99	11/12/2004	85 14 74 81 70 	77 65 30 15 75 	70 50 85 48 76 	74 21 44 29 50 	60 53 71 89 2 	73 46 85 45 25 	60 41 78 17 4 	8 34 90 31 1 	88 85 5 58 59 	55 32 88 12 38 	55 32 88 12 38 	
98	09/12/2004	15 82 39 17 71 	53 27 1 4 47 	75 69 9 45 56 	58 72 6 38 1 	18 20 7 65 87 	6 5 17 12 68 	8 79 21 75 55 	33 1 74 54 16 	19 1 5 40 73 	87 2 71 15 51 	87 2 71 15 51 	
97	04/12/2004	20 84 17 77 25 	85 22 2 55 72 	24 22 45 48 59 	22 52 76 28 30 	20 79 27 83 88 	44 8 20 89 84 	42 26 20 74 31 	38 60 12 75 11 	5 43 77 57 87 	50 69 49 14 65 	50 69 49 14 65 	
96	01/12/2004	65 12 36 56 33 	60 68 77 41 82 	90 82 81 74 6 	10 2 30 33 82 	3 37 67 60 36 	74 27 73 50 65 	64 6 27 3 14 	41 49 59 24 5 	5 35 83 52 87 	80 23 4 29 84 	80 23 4 29 84 	
95	27/11/2004	35 7 46 14 20 	28 56 78 62 68 	27 36 30 68 20 	19 40 89 49 68 	61 6 82 89 87 	54 88 34 74 20 	89 79 24 22 11 	83 71 49 82 86 	72 25 88 87 16 	57 66 37 7 47 	57 66 37 7 47 	
94	24/11/2004	46 60 72 48 81 	65 48 3 66 49 	90 14 75 61 49 	63 64 23 53 29 	47 31 22 44 89 	47 43 89 76 13 	69 48 79 76 78 	45 67 30 74 9 	68 26 37 67 59 	21 14 89 43 58 	21 14 89 43 58 	
93	20/11/2004	30 11 78 23 5 	3 61 31 71 44 	66 79 58 34 3 	30 79 14 83 60 	29 32 17 16 10 	38 35 77 81 80 	78 53 77 33 44 	54 76 41 36 58 	15 17 60 46 38 	80 41 70 58 63 	80 41 70 58 63 	
92	17/11/2004	59 23 41 42 1 	29 37 1 72 6 	88 6 32 41 17 	28 27 54 58 55 	21 3 42 33 51 	47 10 24 36 60 	19 42 21 59 43 	27 76 28 30 83 	35 15 49 10 19 	29 36 17 8 25 	29 36 17 8 25 	
91	13/11/2004	21 61 81 90 64 	57 39 75 84 9 	33 77 75 54 80 	65 19 21 27 59 	45 47 61 10 72 	38 4 40 37 2 	2 48 58 8 14 	46 32 85 51 14 	74 88 3 32 43 	33 54 32 3 61 	33 54 32 3 61 	
90	10/11/2004	51 13 52 42 68 	40 22 32 14 54 	79 18 1 69 88 	75 46 55 12 33 	83 8 9 55 34 	63 41 81 48 13 	63 90 8 82 2 	15 74 19 26 79 	24 33 25 84 4 	64 65 44 47 7 	64 65 44 47 7 	
89	06/11/2004	41 89 25 30 10 	60 36 83 61 11 	31 27 78 30 43 	83 10 75 58 33 	13 88 11 37 58 	56 60 8 86 38 	21 27 23 73 72 	18 2 27 50 35 	23 56 51 24 44 	33 68 37 16 79 	33 68 37 16 79 	
88	03/11/2004	60 85 82 53 69 	42 90 82 84 50 	24 68 40 20 47 	16 24 54 15 73 	72 12 78 74 28 	35 51 10 12 72 	75 12 1 89 4 	39 37 55 12 74 	50 19 31 45 2 	20 36 21 81 16 	20 36 21 81 16 	
87	30/10/2004	30 81 9 6 63 	68 81 89 15 7 	19 81 15 53 72 	43 32 9 85 64 	81 39 21 3 54 	53 4 15 50 11 	4 76 16 81 66 	13 90 69 25 46 	69 42 11 72 73 	42 1 88 87 46 	42 1 88 87 46 	
86	27/10/2004	56 41 85 61 24 	75 65 21 49 13 	84 18 58 6 74 	69 68 41 32 86 	14 65 12 84 35 	17 16 52 46 38 	65 39 5 49 20 	10 37 70 57 25 	2 47 72 7 13 	25 86 43 34 30 	25 86 43 34 30 	
85	23/10/2004	73 12 78 25 60 	17 85 2 14 52 	77 86 14 37 44 	38 19 15 42 24 	12 22 76 40 56 	51 68 23 12 1 	68 36 33 38 57 	40 89 71 61 72 	19 84 1 69 22 	69 79 51 18 56 	69 79 51 18 56 	
84	20/10/2004	13 14 43 87 4 	57 20 27 43 69 	48 37 13 88 65 	64 46 49 9 20 	85 26 82 60 64 	70 62 45 35 3 	47 67 2 58 38 	33 50 42 48 1 	1 31 36 54 24 	7 25 75 61 70 	7 25 75 61 70 	
83	16/10/2004	88 85 23 62 15 	53 51 39 79 89 	73 15 54 27 66 	21 20 5 81 87 	12 1 2 57 23 	27 6 81 3 44 	14 18 76 79 8 	35 13 11 25 51 	84 22 16 75 33 	66 65 31 61 70 	66 65 31 61 70 	
82	13/10/2004	19 57 26 29 83 	32 62 68 48 8 	57 17 13 49 62 	61 76 17 70 54 	87 42 44 61 62 	71 55 12 43 37 	44 61 4 36 56 	69 80 27 20 65 	12 87 84 42 17 	65 75 13 12 22 	65 75 13 12 22 	
81	09/10/2004	65 73 88 80 22 	58 71 7 40 57 	32 26 6 70 64 	41 78 76 52 61 	7 32 57 72 43 	47 58 50 39 45 	44 41 8 49 35 	79 70 16 43 1 	49 78 4 14 58 	48 62 65 43 75 	48 62 65 43 75 	
80	06/10/2004	11 77 57 59 30 	64 4 18 70 86 	52 53 28 2 26 	16 20 57 1 89 	3 25 8 67 9 	87 8 44 31 79 	28 16 70 27 73 	19 57 12 67 50 	88 59 61 38 76 	72 86 63 73 85 	72 86 63 73 85 	
79	02/10/2004	37 18 34 79 60 	47 49 57 74 32 	9 11 1 69 29 	13 68 25 35 59 	65 23 68 18 20 	79 75 80 43 49 	46 74 24 67 64 	41 1 18 2 46 	34 84 73 87 13 	83 66 64 26 35 	83 66 64 26 35 	
78	29/09/2004	22 82 88 74 56 	67 10 9 53 8 	78 73 10 74 42 	56 38 46 63 53 	60 86 80 24 20 	2 61 74 59 65 	11 63 12 64 20 	25 81 31 68 9 	2 60 39 8 41 	74 58 28 33 89 	74 58 28 33 89 	
77	25/09/2004	76 16 41 23 39 	69 83 73 11 14 	56 81 62 49 46 	34 37 60 12 40 	49 71 7 70 16 	2 50 19 39 43 	86 69 18 10 89 	89 77 35 32 19 	24 35 20 47 32 	10 20 19 56 68 	10 20 19 56 68 	
76	22/09/2004	77 28 48 44 82 	26 68 14 22 89 	75 67 4 61 72 	26 81 46 49 7 	74 73 62 39 65 	11 81 42 41 47 	67 65 1 35 32 	72 70 85 88 26 	17 79 65 7 42 	11 77 44 64 1 	11 77 44 64 1 	
75	18/09/2004	2 8 24 30 90 	35 52 61 57 30 	42 58 79 48 66 	29 49 51 73 40 	24 83 88 81 84 	68 71 15 49 33 	27 26 8 16 77 	21 64 86 14 49 	86 71 77 48 8 	63 74 16 88 49 	63 74 16 88 49 	
74	15/09/2004	36 3 17 51 48 	46 76 28 22 29 	59 50 55 20 26 	8 35 4 83 88 	8 70 24 79 80 	87 52 32 35 36 	70 21 7 28 77 	49 33 71 63 1 	43 46 35 8 66 	73 15 1 6 48 	73 15 1 6 48 	
73	11/09/2004	20 82 78 45 59 	37 5 42 32 90 	77 38 73 64 85 	23 57 4 84 80 	78 58 57 80 2 	84 20 76 43 33 	43 87 2 24 20 	16 20 62 43 15 	57 46 36 35 10 	42 54 13 75 71 	42 54 13 75 71 	
