Lotto
Archivio estrazioni Lotto anno 1960 aggiornato al 31/12/1960
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
53	31/12/1960	48 22 72 53 9 	8 9 27 5 57 	43 83 75 9 47 	31 84 60 45 9 	83 51 65 81 60 	24 32 46 51 80 	39 22 86 47 87 	22 86 33 53 19 	37 80 36 86 88 	66 11 81 38 60 	     	
52	24/12/1960	53 22 1 79 35 	64 47 24 90 17 	69 71 68 88 14 	12 70 89 42 20 	14 42 7 72 41 	77 43 16 35 34 	79 50 21 37 6 	20 38 50 51 15 	61 24 53 89 84 	16 32 1 50 36 	16 32 1 50 36 	
51	17/12/1960	79 7 58 44 16 	81 78 74 38 68 	83 76 81 21 82 	73 85 39 71 2 	69 17 29 32 28 	50 29 35 15 73 	55 31 39 82 35 	63 30 89 55 76 	48 49 13 88 59 	18 46 62 70 53 	18 46 62 70 53 	
50	10/12/1960	62 9 26 81 65 	69 27 1 3 18 	80 41 35 79 17 	54 16 56 43 68 	49 59 13 21 35 	47 31 8 37 33 	21 44 36 63 53 	3 2 20 57 79 	83 59 90 86 19 	42 37 29 82 59 	42 37 29 82 59 	
49	03/12/1960	71 9 63 47 23 	73 5 8 58 14 	66 3 83 45 2 	55 15 57 30 23 	68 43 60 13 54 	32 54 48 53 24 	43 64 27 87 11 	73 69 65 39 50 	61 90 73 7 53 	51 64 63 77 7 	51 64 63 77 7 	
48	26/11/1960	11 15 36 46 73 	32 49 64 77 31 	79 11 51 84 55 	76 29 25 11 81 	38 16 7 78 6 	19 79 27 80 63 	90 38 26 83 47 	77 2 10 88 5 	38 82 6 8 39 	47 7 1 44 22 	47 7 1 44 22 	
47	19/11/1960	76 10 87 89 74 	89 29 16 24 81 	88 46 83 3 8 	48 49 2 74 59 	65 44 35 71 5 	25 33 2 54 26 	82 83 87 64 52 	51 8 16 27 63 	42 14 19 70 51 	68 47 53 65 51 	68 47 53 65 51 	
46	12/11/1960	36 2 4 29 40 	71 66 26 28 3 	79 81 20 82 33 	86 46 80 44 2 	76 37 33 29 64 	90 83 89 42 77 	26 47 38 69 30 	55 14 49 68 84 	12 37 11 55 17 	76 17 87 20 72 	76 17 87 20 72 	
45	07/11/1960	75 39 3 57 9 	22 38 33 29 19 	82 31 53 13 44 	65 78 88 70 13 	26 59 6 73 3 	61 3 70 8 52 	62 76 86 20 21 	62 68 69 70 38 	24 82 67 68 75 	47 71 81 10 39 	47 71 81 10 39 	
44	29/10/1960	14 34 7 31 88 	48 41 20 33 49 	29 28 44 48 50 	45 12 81 58 57 	23 12 30 82 90 	55 76 86 56 80 	11 90 39 58 50 	88 3 16 34 89 	44 89 54 58 65 	41 49 1 25 72 	41 49 1 25 72 	
43	22/10/1960	41 79 2 28 5 	88 32 31 56 80 	56 46 20 5 32 	20 10 4 67 24 	69 88 2 25 85 	21 53 65 37 63 	4 35 16 52 48 	69 52 6 46 28 	43 83 32 85 38 	84 17 79 19 26 	84 17 79 19 26 	
