Lotto
Archivio estrazioni Lotto anno 1904 aggiornato al 31/12/1904
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
53	31/12/1904	25 9 28 54 14 	     	90 1 89 70 3 	     	9 67 49 30 86 	56 83 27 22 3 	60 79 19 81 51 	25 68 53 45 7 	16 79 24 47 57 	71 63 26 43 39 	     	
52	24/12/1904	69 49 71 25 1 	69 49 71 25 1 	7 45 41 16 88 	7 45 41 16 88 	54 74 85 26 65 	75 35 57 78 51 	41 77 68 26 89 	18 90 70 85 11 	3 2 48 46 21 	39 30 58 79 59 	39 30 58 79 59 	
51	17/12/1904	78 39 30 59 71 	78 39 30 59 71 	6 74 41 50 80 	6 74 41 50 80 	36 76 78 56 57 	33 42 77 15 31 	42 5 83 7 16 	86 19 30 37 45 	37 20 55 82 12 	43 39 78 69 89 	43 39 78 69 89 	
50	10/12/1904	81 53 78 36 17 	81 53 78 36 17 	48 14 53 7 65 	48 14 53 7 65 	25 34 57 39 43 	12 69 74 11 68 	27 65 68 80 37 	9 26 73 76 54 	30 25 69 43 54 	58 72 20 15 49 	58 72 20 15 49 	
49	03/12/1904	58 31 52 45 50 	58 31 52 45 50 	38 29 45 74 17 	38 29 45 74 17 	62 86 32 51 10 	12 72 78 9 74 	52 21 85 25 59 	69 30 26 24 47 	34 37 68 23 38 	67 69 46 27 59 	67 69 46 27 59 	
48	26/11/1904	43 50 71 5 11 	43 50 71 5 11 	11 17 83 19 55 	11 17 83 19 55 	71 51 78 55 49 	39 5 6 61 4 	88 8 11 57 80 	54 55 26 83 19 	45 28 14 57 2 	21 63 78 69 85 	21 63 78 69 85 	
47	19/11/1904	29 38 8 51 18 	29 38 8 51 18 	11 49 29 23 13 	11 49 29 23 13 	72 19 6 69 82 	3 43 87 61 23 	68 11 10 12 17 	78 11 10 49 80 	49 88 73 66 63 	9 18 20 49 56 	9 18 20 49 56 	
46	12/11/1904	48 58 83 17 63 	48 58 83 17 63 	30 63 9 31 36 	30 63 9 31 36 	6 2 52 65 71 	50 89 88 71 41 	75 90 8 39 30 	39 66 29 12 79 	4 16 12 26 68 	49 3 8 53 10 	49 3 8 53 10 	
45	05/11/1904	81 79 26 9 48 	81 79 26 9 48 	15 73 58 34 14 	15 73 58 34 14 	74 10 54 86 56 	26 83 51 3 81 	11 41 20 73 30 	49 67 68 33 2 	59 33 64 73 17 	41 76 22 52 57 	41 76 22 52 57 	
44	29/10/1904	41 38 58 59 69 	41 38 58 59 69 	20 7 77 31 1 	20 7 77 31 1 	35 22 34 67 11 	33 25 21 57 6 	15 3 18 67 70 	54 68 74 41 87 	10 64 29 75 58 	60 28 76 78 17 	60 28 76 78 17 	
43	22/10/1904	30 10 35 21 76 	30 10 35 21 76 	10 62 8 15 33 	10 62 8 15 33 	22 88 23 21 86 	60 2 52 82 50 	50 85 66 72 12 	88 60 77 74 85 	58 53 19 27 21 	53 59 12 43 30 	53 59 12 43 30 	
42	15/10/1904	55 48 10 24 61 	55 48 10 24 61 	16 14 76 81 12 	16 14 76 81 12 	62 59 51 35 34 	5 90 76 73 1 	35 75 80 29 63 	86 19 44 14 17 	31 89 65 49 81 	5 37 90 35 29 	5 37 90 35 29 	
41	08/10/1904	9 12 23 1 38 	9 12 23 1 38 	35 65 83 71 21 	35 65 83 71 21 	77 87 80 11 27 	27 35 20 25 29 	8 66 43 74 73 	15 10 36 65 77 	18 60 32 16 49 	22 19 4 13 68 	22 19 4 13 68 	
40	01/10/1904	13 29 25 11 34 	13 29 25 11 34 	53 70 74 79 72 	53 70 74 79 72 	29 10 18 37 31 	49 44 51 84 4 	65 57 69 58 78 	64 58 24 65 38 	26 67 1 30 35 	41 82 39 67 32 	41 82 39 67 32 	
39	24/09/1904	56 3 78 38 43 	56 3 78 38 43 	56 39 45 7 67 	56 39 45 7 67 	30 62 45 32 59 	71 64 88 51 68 	74 34 30 35 87 	12 57 2 45 55 	10 11 85 53 46 	18 58 78 85 80 	18 58 78 85 80 	
38	17/09/1904	20 7 82 70 50 	20 7 82 70 50 	67 49 36 79 48 	67 49 36 79 48 	65 30 76 16 22 	60 69 73 76 55 	65 28 15 87 51 	14 37 8 49 32 	44 34 3 89 4 	25 66 47 36 28 	25 66 47 36 28 	
37	10/09/1904	87 47 53 32 37 	87 47 53 32 37 	32 68 79 26 51 	32 68 79 26 51 	63 25 18 35 26 	74 16 72 34 75 	10 33 24 16 19 	48 9 58 81 85 	79 47 23 64 17 	63 31 46 60 36 	63 31 46 60 36 	
36	03/09/1904	29 40 70 26 63 	29 40 70 26 63 	39 77 67 41 46 	39 77 67 41 46 	61 69 19 34 30 	61 31 49 81 16 	16 35 54 89 30 	4 71 62 67 1 	36 39 7 52 9 	12 79 44 40 55 	12 79 44 40 55 	
35	27/08/1904	54 49 55 29 57 	54 49 55 29 57 	76 50 54 58 42 	76 50 54 58 42 	74 13 65 29 26 	24 46 39 6 78 	14 9 78 85 16 	56 48 38 80 22 	83 43 27 60 65 	24 19 71 88 42 	24 19 71 88 42 	
34	20/08/1904	16 75 19 29 4 	16 75 19 29 4 	11 57 56 48 31 	11 57 56 48 31 	27 55 28 61 53 	29 69 60 66 18 	63 23 75 65 67 	47 68 10 54 42 	68 42 48 1 71 	60 5 56 18 12 	60 5 56 18 12 	
33	13/08/1904	47 79 39 60 67 	47 79 39 60 67 	78 30 26 38 46 	78 30 26 38 46 	19 54 40 59 55 	76 12 4 52 11 	19 42 26 57 55 	20 36 18 24 57 	75 20 32 49 82 	68 77 74 46 25 	68 77 74 46 25 	
32	06/08/1904	44 35 64 22 85 	44 35 64 22 85 	21 54 58 68 67 	21 54 58 68 67 	19 40 70 30 39 	13 66 41 22 32 	50 14 3 61 13 	17 29 39 76 26 	71 17 42 77 74 	31 69 56 60 36 	31 69 56 60 36 	
31	30/07/1904	54 18 16 75 80 	54 18 16 75 80 	86 85 24 20 82 	86 85 24 20 82 	11 51 72 88 33 	6 59 80 27 48 	24 18 9 8 66 	40 53 57 18 33 	10 85 56 55 39 	43 29 56 10 88 	43 29 56 10 88 	
30	23/07/1904	42 56 19 12 31 	42 56 19 12 31 	65 31 37 46 67 	65 31 37 46 67 	7 66 72 74 19 	30 47 18 60 49 	53 72 52 9 68 	54 53 87 86 46 	23 75 25 36 32 	74 14 43 84 88 	74 14 43 84 88 	
29	16/07/1904	35 26 63 51 56 	35 26 63 51 56 	36 68 45 72 44 	36 68 45 72 44 	87 7 11 69 88 	57 39 72 52 18 	3 24 46 63 48 	23 53 60 5 11 	2 9 83 68 21 	1 55 20 69 21 	1 55 20 69 21 	
28	09/07/1904	7 63 50 78 17 	7 63 50 78 17 	47 66 35 53 52 	47 66 35 53 52 	12 82 22 86 80 	16 51 14 42 2 	20 44 85 71 9 	44 45 32 37 65 	50 15 67 43 19 	61 14 90 2 11 	61 14 90 2 11 	
