Lotto
Archivio estrazioni Lotto anno 1956 aggiornato al 29/12/1956
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	29/12/1956	61 73 14 86 53 	23 82 45 28 8 	11 66 43 72 33 	68 21 19 74 54 	56 15 51 41 30 	55 53 24 82 62 	67 30 24 76 83 	52 1 60 44 2 	86 12 63 85 54 	28 53 73 17 9 	     	
51	22/12/1956	5 59 66 54 63 	15 53 67 1 54 	56 14 65 68 71 	40 58 41 56 1 	9 31 13 67 8 	75 29 53 76 57 	11 7 80 67 90 	35 42 62 24 1 	86 69 63 72 59 	4 12 64 29 36 	4 12 64 29 36 	
50	15/12/1956	39 5 46 88 80 	1 36 9 64 41 	26 3 58 43 62 	52 85 29 83 2 	78 76 67 14 77 	69 3 14 17 6 	79 62 27 6 33 	22 20 27 30 60 	79 46 22 66 74 	28 24 56 60 72 	28 24 56 60 72 	
49	07/12/1956	64 42 38 14 34 	44 66 24 74 36 	15 29 64 65 81 	38 33 63 37 16 	2 55 84 34 78 	4 42 2 64 34 	6 64 67 87 62 	9 18 67 29 2 	34 30 23 18 35 	55 73 32 79 62 	55 73 32 79 62 	
48	01/12/1956	68 40 19 1 23 	25 19 31 72 42 	3 46 54 37 62 	80 34 22 9 21 	60 57 55 35 2 	69 50 87 89 7 	41 15 40 46 84 	57 49 30 41 78 	81 37 90 68 57 	39 3 77 25 45 	39 3 77 25 45 	
47	24/11/1956	79 16 89 77 17 	53 36 24 75 28 	62 80 39 69 54 	86 66 82 35 49 	59 83 76 21 20 	47 90 31 48 72 	28 40 2 80 51 	5 32 30 34 23 	70 79 30 73 24 	58 14 52 85 80 	58 14 52 85 80 	
46	17/11/1956	84 29 7 58 3 	2 80 47 70 56 	27 42 22 86 6 	58 62 57 43 10 	68 67 25 90 78 	78 90 83 10 63 	6 32 34 33 24 	16 12 29 71 40 	13 15 50 80 26 	36 81 2 5 34 	36 81 2 5 34 	
45	10/11/1956	7 25 41 12 30 	80 89 30 56 1 	52 60 79 23 15 	24 59 15 84 40 	38 48 18 15 44 	88 83 1 17 33 	17 78 50 30 7 	63 62 46 74 50 	84 6 67 24 63 	78 83 50 53 6 	78 83 50 53 6 	
44	03/11/1956	34 28 87 32 48 	40 64 81 1 50 	38 9 2 64 59 	73 18 16 12 87 	69 78 66 63 2 	89 28 75 48 63 	64 65 26 55 18 	26 49 69 1 16 	90 46 51 34 36 	31 36 15 85 86 	31 36 15 85 86 	
43	27/10/1956	67 45 32 27 44 	68 78 33 79 90 	74 61 35 50 75 	29 55 8 6 80 	3 1 31 42 27 	73 68 29 70 39 	27 86 34 43 72 	59 41 82 87 51 	43 13 86 20 62 	64 48 81 47 53 	64 48 81 47 53 	
42	20/10/1956	31 32 29 66 68 	61 46 9 23 42 	79 7 45 72 67 	64 49 41 79 5 	82 86 27 69 36 	32 71 11 85 28 	9 70 10 28 89 	14 47 74 16 89 	34 42 26 40 71 	65 24 9 41 88 	65 24 9 41 88 	
41	13/10/1956	89 19 44 64 53 	24 69 18 68 9 	25 12 13 75 90 	73 51 87 39 2 	42 12 37 77 85 	60 17 14 33 54 	61 84 55 62 20 	9 13 31 15 88 	35 22 14 56 88 	72 7 49 79 44 	72 7 49 79 44 	
40	06/10/1956	86 41 54 20 90 	66 28 46 53 30 	70 78 46 3 12 	73 31 79 84 70 	27 36 75 10 86 	60 76 32 39 89 	9 81 90 23 26 	89 63 44 73 5 	57 40 28 41 26 	64 25 2 18 73 	64 25 2 18 73 	
39	29/09/1956	43 29 63 74 88 	72 11 7 38 68 	35 21 70 15 86 	24 53 89 42 67 	43 67 13 31 21 	58 45 80 56 90 	3 38 16 25 46 	59 63 57 7 32 	46 68 23 7 39 	60 67 22 57 25 	60 67 22 57 25 	
38	22/09/1956	10 18 31 38 69 	84 6 63 16 15 	3 66 79 42 36 	45 50 65 63 52 	71 88 23 59 15 	42 54 5 76 84 	67 75 1 60 10 	30 77 78 25 7 	14 30 47 20 55 	17 68 67 9 27 	17 68 67 9 27 	
37	15/09/1956	39 71 82 48 1 	25 48 60 15 17 	23 42 64 33 67 	70 32 45 20 58 	24 89 41 54 67 	32 85 57 24 33 	38 22 44 54 46 	81 72 80 84 78 	12 65 55 3 36 	56 73 46 54 32 	56 73 46 54 32 	
