Lotto
Archivio estrazioni Lotto anno 1945 aggiornato al 29/12/1945
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	29/12/1945	9 87 83 28 62 	43 10 13 41 75 	74 17 30 21 80 	80 88 37 62 86 	69 88 52 83 43 	53 21 84 8 62 	43 62 31 73 83 	55 45 24 14 59 	5 31 86 14 7 	90 17 46 74 49 	     	
50	22/12/1945	56 44 3 79 48 	84 48 2 30 80 	85 21 64 12 4 	34 83 24 47 86 	5 60 55 28 82 	3 40 12 57 41 	89 24 19 70 46 	20 61 66 17 71 	24 67 21 52 63 	17 22 88 53 43 	17 22 88 53 43 	
49	15/12/1945	59 4 63 53 79 	47 9 49 26 31 	23 85 53 47 21 	1 46 55 65 59 	4 25 85 3 44 	45 74 31 71 75 	18 6 63 13 29 	70 15 36 76 11 	18 38 74 10 2 	48 41 50 84 55 	48 41 50 84 55 	
48	07/12/1945	10 38 40 84 6 	78 21 2 12 83 	14 47 74 1 32 	14 36 16 88 27 	1 56 65 77 75 	82 51 73 68 32 	34 49 78 21 53 	41 85 2 59 77 	79 74 64 59 72 	50 18 17 44 28 	50 18 17 44 28 	
47	01/12/1945	62 73 12 22 29 	15 42 70 43 53 	70 6 15 32 41 	83 68 8 34 39 	85 39 2 67 80 	42 70 37 76 15 	58 51 30 66 40 	73 7 71 86 4 	47 61 21 69 13 	26 75 62 63 68 	26 75 62 63 68 	
46	24/11/1945	13 80 6 45 41 	84 31 56 53 79 	72 75 23 29 81 	21 89 2 56 47 	4 7 56 10 85 	82 72 35 75 9 	71 15 84 18 88 	2 56 72 31 87 	52 75 80 36 16 	64 66 59 44 65 	64 66 59 44 65 	
45	17/11/1945	20 48 69 57 46 	83 88 43 49 10 	77 62 72 50 41 	1 55 27 10 63 	57 49 13 15 53 	44 67 37 60 65 	74 19 69 22 7 	34 20 83 30 12 	46 60 14 10 50 	18 53 17 67 62 	18 53 17 67 62 	
44	10/11/1945	40 15 17 25 3 	84 5 89 87 82 	71 62 82 3 74 	69 55 20 78 56 	69 23 71 27 41 	41 1 63 57 28 	22 48 70 33 84 	11 45 67 13 30 	84 30 75 32 66 	82 2 5 85 60 	82 2 5 85 60 	
43	03/11/1945	2 8 66 58 88 	60 20 2 61 78 	15 52 23 61 18 	22 77 4 80 41 	46 32 10 20 1 	69 18 21 80 4 	43 50 82 1 5 	67 74 42 52 35 	89 7 60 33 25 	76 6 10 55 81 	76 6 10 55 81 	
42	27/10/1945	19 26 34 27 2 	12 82 10 18 35 	63 48 59 50 18 	83 19 33 40 76 	83 6 16 21 60 	7 50 39 58 14 	27 80 65 7 49 	54 33 47 12 61 	6 57 85 54 73 	59 30 56 22 52 	59 30 56 22 52 	
41	20/10/1945	74 69 29 58 14 	44 27 78 66 42 	33 4 6 83 46 	14 15 69 36 72 	78 64 56 68 51 	39 11 81 17 37 	44 9 76 32 24 	71 8 12 57 67 	42 55 62 48 17 	63 81 51 71 88 	63 81 51 71 88 	
40	13/10/1945	58 44 16 29 10 	29 73 39 80 33 	34 57 87 11 86 	62 81 57 53 45 	9 28 15 12 10 	7 5 27 12 20 	36 87 23 81 14 	55 62 75 48 23 	8 27 77 53 56 	25 49 3 17 30 	25 49 3 17 30 	
39	06/10/1945	70 18 23 79 17 	83 46 20 11 44 	58 8 44 21 81 	20 66 84 21 78 	80 48 7 53 15 	13 85 28 31 50 	50 87 73 20 58 	45 56 16 77 28 	69 75 18 22 20 	57 34 67 86 40 	57 34 67 86 40 	
38	29/09/1945	84 66 4 8 22 	28 48 72 44 9 	9 55 46 8 34 	18 48 87 19 17 	17 72 73 66 58 	39 5 50 24 79 	80 75 56 88 29 	46 28 79 8 2 	1 19 38 70 62 	69 24 58 57 15 	69 24 58 57 15 	
37	22/09/1945	38 74 5 27 13 	86 58 11 36 67 	39 5 54 24 87 	27 68 81 82 14 	54 73 3 20 80 	87 16 51 50 63 	50 86 14 23 1 	73 66 34 84 11 	46 79 58 40 73 	60 13 52 40 10 	60 13 52 40 10 	
36	15/09/1945	26 28 25 90 2 	25 40 74 67 8 	23 50 60 33 59 	35 15 82 84 51 	11 25 79 8 60 	5 4 42 35 40 	78 29 84 77 9 	39 5 18 49 56 	44 62 45 4 70 	26 87 68 50 10 	26 87 68 50 10 	
