Lotto
Archivio estrazioni Lotto anno 1989 aggiornato al 30/12/1989
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	30/12/1989	6 22 83 54 29 	89 41 29 1 62 	66 12 2 30 28 	10 84 66 47 82 	65 75 42 45 3 	75 8 74 24 61 	65 51 58 75 50 	61 81 65 5 29 	37 68 64 12 69 	70 38 33 48 39 	     	
51	23/12/1989	57 46 69 78 31 	17 22 26 82 11 	6 40 67 49 50 	54 83 28 26 49 	44 88 25 9 41 	77 75 59 69 84 	83 69 15 35 4 	34 8 11 9 49 	5 49 78 56 85 	28 12 44 21 2 	28 12 44 21 2 	
50	16/12/1989	26 27 61 46 18 	38 16 34 41 37 	79 76 26 80 24 	10 88 67 80 89 	29 73 35 62 80 	72 82 50 59 38 	4 71 79 87 74 	16 76 77 52 73 	40 10 71 75 43 	80 55 49 45 14 	80 55 49 45 14 	
49	09/12/1989	19 78 38 48 52 	84 11 56 78 67 	71 16 83 51 30 	78 66 37 73 20 	84 56 71 27 29 	88 81 6 80 83 	87 79 58 90 14 	67 3 10 90 65 	37 62 24 76 5 	82 58 6 89 7 	82 58 6 89 7 	
48	02/12/1989	76 5 79 86 65 	8 63 31 46 40 	34 85 8 27 36 	25 81 5 74 37 	78 72 79 51 83 	56 64 18 29 10 	82 6 16 83 28 	73 19 86 60 12 	29 16 74 61 53 	10 7 12 48 38 	10 7 12 48 38 	
47	25/11/1989	49 59 11 14 76 	33 76 61 16 75 	88 12 77 11 21 	16 35 55 47 48 	8 57 68 64 40 	54 60 40 44 17 	58 16 76 31 53 	31 5 82 74 50 	42 79 61 89 65 	55 78 54 77 82 	55 78 54 77 82 	
46	18/11/1989	71 11 27 56 68 	54 52 49 17 46 	64 74 7 48 11 	42 46 69 4 51 	27 52 67 84 6 	37 46 76 45 90 	67 24 87 6 32 	12 4 22 3 48 	21 47 29 24 85 	51 77 57 33 49 	51 77 57 33 49 	
45	11/11/1989	35 63 4 32 73 	60 8 17 81 85 	43 31 1 4 46 	29 37 57 78 8 	70 48 60 62 15 	41 31 10 15 62 	26 21 15 72 27 	84 15 90 70 61 	27 41 88 53 17 	10 45 84 23 18 	10 45 84 23 18 	
44	04/11/1989	11 87 37 47 31 	55 47 87 25 19 	60 48 71 53 34 	78 67 68 81 53 	84 34 74 55 7 	10 75 22 19 55 	27 85 81 68 38 	17 39 88 64 8 	69 3 2 78 54 	23 41 80 24 46 	23 41 80 24 46 	
43	28/10/1989	28 81 19 76 84 	8 64 15 51 3 	20 85 66 50 19 	76 36 71 88 63 	29 88 80 26 69 	3 7 64 10 20 	55 32 90 42 10 	79 17 56 3 20 	86 38 72 22 47 	15 26 72 59 6 	15 26 72 59 6 	
42	21/10/1989	87 52 1 73 3 	17 78 48 59 8 	51 4 9 24 6 	85 39 90 63 65 	43 18 27 11 74 	57 7 25 74 33 	40 71 34 29 38 	38 47 30 8 79 	30 29 50 46 41 	74 72 53 77 63 	74 72 53 77 63 	
41	14/10/1989	35 42 83 54 7 	80 41 11 71 24 	72 32 26 6 44 	6 28 17 47 30 	18 66 20 84 53 	45 19 55 16 35 	33 13 87 85 2 	65 87 18 36 32 	47 73 38 53 36 	70 45 27 65 54 	70 45 27 65 54 	
40	07/10/1989	8 43 64 12 71 	24 66 3 58 80 	87 37 62 25 61 	86 41 76 71 40 	57 75 54 77 20 	7 30 29 49 4 	59 73 45 55 84 	90 64 32 18 2 	12 28 60 85 10 	54 85 71 87 89 	54 85 71 87 89 	
39	30/09/1989	71 44 66 73 67 	60 70 74 19 1 	22 33 31 42 44 	42 58 55 32 17 	2 48 44 53 7 	16 60 73 80 15 	77 11 1 5 40 	27 70 12 86 29 	49 42 88 31 12 	56 36 7 71 90 	56 36 7 71 90 	
38	23/09/1989	88 37 80 46 30 	25 3 26 32 15 	11 39 53 72 5 	39 81 48 80 45 	26 60 3 39 50 	35 54 71 86 27 	12 11 18 14 22 	54 42 72 41 43 	10 72 50 44 6 	27 88 43 89 45 	27 88 43 89 45 	
37	16/09/1989	20 44 71 82 37 	10 80 65 34 78 	72 74 13 35 44 	67 18 30 22 65 	60 12 87 73 81 	59 69 88 6 56 	64 67 20 23 28 	70 1 52 21 49 	88 21 5 23 25 	38 61 46 66 32 	38 61 46 66 32 	
36	09/09/1989	23 80 78 85 38 	62 82 22 47 12 	61 80 90 19 41 	33 27 16 12 51 	58 20 45 77 82 	26 9 1 79 2 	76 8 36 28 21 	21 38 1 63 10 	39 21 46 81 85 	56 28 60 42 23 	56 28 60 42 23 	
35	02/09/1989	21 55 81 65 27 	23 36 88 18 60 	25 10 29 48 1 	63 7 24 26 33 	32 25 59 31 52 	59 51 64 83 67 	72 68 41 27 67 	1 29 52 61 72 	56 78 26 89 31 	74 43 30 10 67 	74 43 30 10 67 	
34	26/08/1989	42 17 80 58 25 	10 77 83 82 9 	40 87 80 89 65 	25 61 77 87 58 	83 61 72 78 22 	64 56 41 5 14 	19 4 60 58 46 	78 71 9 10 74 	33 41 72 82 86 	30 49 4 48 47 	30 49 4 48 47 	
33	19/08/1989	57 48 89 85 21 	10 54 11 5 68 	18 39 59 3 20 	13 49 11 88 15 	23 19 65 13 71 	49 84 51 87 18 	83 27 10 8 26 	22 24 57 64 40 	35 9 80 6 26 	84 5 42 54 45 	84 5 42 54 45 	
32	12/08/1989	38 66 33 40 89 	12 42 88 1 61 	5 74 33 28 17 	10 85 51 28 65 	18 61 79 78 44 	41 47 81 18 5 	15 27 82 53 78 	51 3 88 73 50 	3 70 59 68 52 	19 80 85 59 57 	19 80 85 59 57 	
31	05/08/1989	54 49 50 63 37 	29 61 69 62 15 	49 83 37 62 12 	69 7 36 79 66 	88 16 43 8 20 	50 54 4 71 22 	74 80 38 27 12 	66 80 14 57 28 	37 84 57 38 61 	27 43 52 68 3 	27 43 52 68 3 	
