Lotto
Archivio estrazioni Lotto anno 1905 aggiornato al 30/12/1905
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	30/12/1905	62 47 81 34 75 	     	47 48 58 89 2 	     	81 20 58 89 2 	66 13 23 63 35 	81 2 40 80 48 	67 71 90 5 53 	16 78 68 12 4 	17 27 41 5 25 	     	
51	23/12/1905	8 68 6 58 53 	8 68 6 58 53 	46 73 81 32 82 	46 73 81 32 82 	90 64 67 86 36 	64 60 26 63 6 	81 85 59 29 47 	46 42 40 76 53 	39 71 27 6 2 	12 22 52 69 84 	12 22 52 69 84 	
50	16/12/1905	48 88 20 89 70 	48 88 20 89 70 	35 50 47 43 73 	35 50 47 43 73 	1 11 81 52 32 	49 86 9 56 24 	90 88 73 64 75 	67 11 9 14 87 	4 55 60 80 44 	90 60 41 72 58 	90 60 41 72 58 	
49	09/12/1905	61 53 12 52 15 	61 53 12 52 15 	32 29 16 50 69 	32 29 16 50 69 	4 82 79 53 50 	1 67 84 20 33 	9 55 78 66 56 	34 21 58 71 20 	37 19 30 79 27 	64 42 31 3 9 	64 42 31 3 9 	
48	02/12/1905	85 27 65 2 76 	85 27 65 2 76 	69 58 89 43 36 	69 58 89 43 36 	72 68 15 63 43 	60 54 89 53 74 	4 70 11 77 72 	71 7 65 61 29 	7 2 1 30 66 	24 9 74 56 2 	24 9 74 56 2 	
47	25/11/1905	69 5 60 75 15 	69 5 60 75 15 	42 9 30 31 23 	42 9 30 31 23 	78 49 50 82 1 	65 23 86 24 12 	87 8 12 66 71 	27 50 67 40 89 	59 29 1 25 38 	52 6 81 20 12 	52 6 81 20 12 	
46	18/11/1905	15 85 73 19 38 	15 85 73 19 38 	60 57 68 62 11 	60 57 68 62 11 	77 56 72 13 45 	24 51 21 79 42 	70 48 27 26 69 	84 36 22 14 38 	77 1 54 2 8 	40 3 42 65 2 	40 3 42 65 2 	
45	11/11/1905	23 12 83 88 59 	23 12 83 88 59 	31 32 43 20 69 	31 32 43 20 69 	89 38 22 16 11 	35 62 14 82 57 	59 5 48 6 7 	63 71 79 27 26 	31 2 13 18 74 	12 76 48 16 69 	12 76 48 16 69 	
44	04/11/1905	33 12 78 87 63 	33 12 78 87 63 	52 16 56 71 81 	52 16 56 71 81 	58 33 2 26 78 	3 42 50 37 85 	22 62 80 4 85 	55 49 74 36 41 	3 89 62 66 84 	66 52 41 73 21 	66 52 41 73 21 	
43	28/10/1905	58 52 90 71 65 	58 52 90 71 65 	14 42 55 12 56 	14 42 55 12 56 	40 72 43 86 48 	73 75 80 88 32 	87 80 32 69 76 	2 67 34 48 66 	72 28 75 54 50 	66 25 33 87 15 	66 25 33 87 15 	
42	21/10/1905	55 88 31 63 7 	55 88 31 63 7 	16 40 58 4 54 	16 40 58 4 54 	10 82 88 77 56 	56 53 52 48 60 	74 37 80 20 32 	22 69 34 5 30 	84 19 48 2 7 	8 13 17 23 10 	8 13 17 23 10 	
41	14/10/1905	32 89 35 23 52 	32 89 35 23 52 	8 50 77 79 41 	8 50 77 79 41 	41 23 36 45 33 	40 37 42 58 20 	48 41 63 12 81 	33 43 16 48 20 	37 50 65 11 35 	4 16 56 47 58 	4 16 56 47 58 	
40	07/10/1905	85 50 6 13 90 	85 50 6 13 90 	89 4 25 38 85 	89 4 25 38 85 	88 84 32 6 61 	49 69 1 41 88 	20 29 24 86 79 	64 44 27 57 49 	69 72 28 45 53 	54 38 37 14 9 	54 38 37 14 9 	
39	30/09/1905	88 87 49 26 90 	88 87 49 26 90 	43 1 25 22 40 	43 1 25 22 40 	79 51 44 71 32 	76 8 84 3 1 	87 4 43 62 54 	26 6 44 40 82 	53 50 51 32 69 	44 7 63 29 16 	44 7 63 29 16 	
38	23/09/1905	90 35 44 49 8 	90 35 44 49 8 	9 38 52 66 35 	9 38 52 66 35 	58 90 89 36 28 	17 81 32 16 46 	16 89 71 74 18 	42 44 24 15 46 	4 39 32 10 47 	29 13 75 87 46 	29 13 75 87 46 	
37	16/09/1905	31 40 86 70 73 	31 40 86 70 73 	59 77 71 52 23 	59 77 71 52 23 	69 58 53 15 35 	48 38 74 6 13 	58 67 9 89 36 	29 44 61 70 41 	42 76 18 87 49 	68 4 43 12 54 	68 4 43 12 54 	
36	09/09/1905	81 78 73 46 2 	81 78 73 46 2 	1 19 17 49 3 	1 19 17 49 3 	82 78 74 51 73 	57 49 79 47 4 	48 16 90 51 71 	84 82 65 64 36 	87 14 60 50 78 	87 76 77 49 89 	87 76 77 49 89 	
35	02/09/1905	40 69 19 75 76 	40 69 19 75 76 	40 65 83 44 45 	40 65 83 44 45 	28 68 27 53 43 	5 22 40 41 11 	36 43 69 60 64 	48 67 90 76 2 	28 9 33 18 70 	65 34 53 12 69 	65 34 53 12 69 	
34	26/08/1905	90 1 78 22 13 	90 1 78 22 13 	36 22 56 60 7 	36 22 56 60 7 	23 14 28 81 15 	83 31 59 79 53 	6 22 36 26 15 	22 7 30 36 86 	35 45 10 69 16 	60 82 20 5 70 	60 82 20 5 70 	
33	19/08/1905	60 85 42 6 11 	60 85 42 6 11 	25 12 60 57 66 	25 12 60 57 66 	80 40 3 72 43 	9 50 19 25 81 	88 62 38 41 48 	88 12 8 61 81 	26 71 61 42 34 	28 39 78 44 56 	28 39 78 44 56 	
32	12/08/1905	23 42 63 29 9 	23 42 63 29 9 	72 90 7 46 89 	72 90 7 46 89 	22 63 38 8 67 	59 79 1 57 5 	75 1 64 9 73 	78 16 63 19 90 	88 60 54 84 45 	6 2 24 48 86 	6 2 24 48 86 	
31	05/08/1905	73 12 26 25 49 	73 12 26 25 49 	26 7 27 85 55 	26 7 27 85 55 	75 74 42 33 70 	26 69 6 23 64 	58 32 19 4 1 	72 12 5 25 42 	80 68 14 53 78 	48 3 39 13 21 	48 3 39 13 21 	
30	29/07/1905	23 69 85 83 87 	23 69 85 83 87 	15 89 33 19 1 	15 89 33 19 1 	79 33 41 22 1 	42 48 44 31 87 	64 52 90 61 15 	5 89 23 11 39 	86 55 75 71 23 	31 4 85 26 54 	31 4 85 26 54 	
29	22/07/1905	86 5 17 1 7 	86 5 17 1 7 	80 57 32 89 64 	80 57 32 89 64 	60 16 14 4 77 	42 23 71 68 2 	8 65 90 58 80 	22 13 16 66 23 	82 71 75 54 30 	41 51 55 62 12 	41 51 55 62 12 	
28	15/07/1905	66 72 39 57 27 	66 72 39 57 27 	7 89 10 28 48 	7 89 10 28 48 	89 42 22 31 4 	16 43 7 49 51 	55 83 54 44 73 	44 77 74 27 4 	2 28 63 9 58 	12 69 55 52 31 	12 69 55 52 31 	
27	08/07/1905	40 58 19 74 60 	40 58 19 74 60 	87 30 78 33 37 	87 30 78 33 37 	71 19 74 21 90 	31 29 55 49 57 	48 57 21 1 23 	61 22 18 62 1 	49 40 3 10 7 	56 10 78 77 48 	56 10 78 77 48 	
26	01/07/1905	43 71 76 60 58 	43 71 76 60 58 	61 24 57 46 13 	61 24 57 46 13 	46 85 90 49 26 	23 40 41 69 68 	51 15 82 88 71 	41 70 52 8 51 	26 4 9 37 35 	19 78 54 29 7 	19 78 54 29 7 	
25	24/06/1905	84 27 76 81 58 	84 27 76 81 58 	15 54 34 88 21 	15 54 34 88 21 	66 34 88 31 14 	49 88 90 39 7 	19 21 70 18 30 	15 16 56 41 43 	64 34 4 78 2 	32 30 1 6 76 	32 30 1 6 76 	
24	17/06/1905	30 51 16 8 65 	30 51 16 8 65 	64 32 38 27 8 	64 32 38 27 8 	45 57 12 49 34 	56 44 22 73 78 	80 45 69 15 62 	10 72 49 51 64 	71 76 72 54 27 	26 11 73 87 71 	26 11 73 87 71 	
23	10/06/1905	68 73 47 24 34 	68 73 47 24 34 	78 24 47 72 68 	78 24 47 72 68 	32 11 68 37 82 	28 82 47 12 49 	25 47 42 5 31 	47 61 15 67 70 	41 85 62 7 47 	31 3 43 57 42 	31 3 43 57 42 	
22	03/06/1905	11 89 41 82 59 	11 89 41 82 59 	8 50 46 33 15 	8 50 46 33 15 	18 54 52 9 46 	44 38 74 60 41 	78 27 62 60 86 	81 41 51 69 37 	71 89 46 13 47 	77 20 69 45 53 	77 20 69 45 53 	
21	27/05/1905	59 50 17 79 15 	59 50 17 79 15 	82 78 33 80 16 	82 78 33 80 16 	20 34 51 21 50 	66 7 4 72 80 	46 73 1 66 88 	52 9 57 68 26 	6 41 84 80 57 	83 40 81 22 80 	83 40 81 22 80 	
20	20/05/1905	11 13 88 23 39 	11 13 88 23 39 	47 85 64 69 77 	47 85 64 69 77 	75 73 18 66 15 	12 48 24 78 68 	65 86 8 4 84 	88 74 16 55 28 	13 10 18 19 17 	58 27 47 84 22 	58 27 47 84 22 	
19	13/05/1905	63 16 54 2 55 	63 16 54 2 55 	90 81 38 46 7 	90 81 38 46 7 	61 35 8 76 89 	33 73 32 87 21 	80 77 90 85 66 	81 56 40 61 2 	62 59 38 6 44 	77 88 50 13 20 	77 88 50 13 20 	
18	06/05/1905	19 4 5 50 59 	19 4 5 50 59 	75 7 11 22 86 	75 7 11 22 86 	13 77 12 16 18 	57 49 30 34 21 	37 47 73 24 48 	13 84 7 2 44 	3 2 54 27 35 	46 33 57 9 14 	46 33 57 9 14 	
17	29/04/1905	32 11 40 79 20 	32 11 40 79 20 	48 31 65 17 40 	48 31 65 17 40 	35 59 33 20 75 	39 6 47 14 55 	59 32 7 13 38 	67 7 55 53 88 	68 32 29 84 80 	58 20 38 47 23 	58 20 38 47 23 	
16	22/04/1905	68 23 35 15 42 	68 23 35 15 42 	73 75 90 20 40 	73 75 90 20 40 	41 76 8 61 87 	42 22 51 70 38 	12 70 46 71 75 	23 10 88 61 4 	83 47 64 69 35 	39 13 4 11 73 	39 13 4 11 73 	
15	15/04/1905	89 24 71 59 7 	89 24 71 59 7 	79 84 2 56 29 	79 84 2 56 29 	63 47 52 40 22 	87 6 63 33 59 	8 62 3 75 85 	30 34 87 7 83 	46 22 32 16 20 	56 64 17 62 31 	56 64 17 62 31 	
14	08/04/1905	82 46 11 87 23 	82 46 11 87 23 	29 56 26 73 16 	29 56 26 73 16 	46 86 9 19 6 	25 17 34 21 64 	72 56 75 5 90 	89 45 70 9 65 	44 55 40 15 23 	70 7 35 44 16 	70 7 35 44 16 	
13	01/04/1905	83 50 3 52 70 	83 50 3 52 70 	81 7 73 31 67 	81 7 73 31 67 	10 60 75 85 43 	70 57 46 88 25 	76 49 79 50 23 	30 47 89 55 42 	64 11 76 63 74 	18 49 58 65 55 	18 49 58 65 55 	
