Lotto
Archivio estrazioni Lotto anno 1952 aggiornato al 29/12/1952
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	29/12/1952	10 55 7 59 17 	59 54 1 63 86 	6 32 19 29 35 	80 61 14 33 19 	33 62 48 14 38 	62 57 82 61 14 	5 12 37 57 47 	24 63 5 32 55 	2 15 83 1 37 	8 90 77 51 31 	     	
51	20/12/1952	59 38 47 35 26 	28 18 1 8 64 	32 8 22 78 16 	29 39 57 21 23 	81 11 77 8 42 	90 3 86 39 12 	39 27 85 77 44 	48 51 38 1 22 	83 59 48 55 33 	69 13 72 6 14 	69 13 72 6 14 	
50	13/12/1952	34 48 57 70 30 	18 77 19 24 84 	90 26 56 14 45 	27 47 77 43 28 	74 63 25 85 71 	34 65 70 76 64 	89 18 73 5 38 	54 79 68 42 6 	87 60 27 45 72 	13 10 48 81 6 	13 10 48 81 6 	
49	06/12/1952	54 87 2 7 38 	80 70 20 83 65 	69 53 86 43 22 	27 8 28 83 51 	24 31 2 33 18 	65 31 19 87 30 	88 33 67 70 49 	8 81 18 62 57 	59 69 74 49 88 	37 66 78 64 89 	37 66 78 64 89 	
48	29/11/1952	80 36 39 22 20 	53 60 65 90 18 	80 53 62 37 7 	53 33 2 23 80 	16 36 53 45 34 	79 64 8 50 67 	85 66 2 45 3 	16 52 25 48 45 	6 27 72 35 81 	54 28 30 61 5 	54 28 30 61 5 	
47	22/11/1952	80 83 1 65 29 	65 77 17 57 21 	81 3 83 4 27 	41 5 18 51 37 	62 59 14 50 10 	15 25 78 66 16 	87 9 12 40 74 	61 80 60 26 65 	64 3 50 76 66 	50 51 23 3 24 	50 51 23 3 24 	
46	15/11/1952	83 58 17 24 63 	32 34 13 75 59 	21 79 70 53 75 	28 68 50 26 40 	59 38 33 2 69 	45 22 38 78 19 	58 75 80 68 46 	17 85 11 3 40 	3 59 44 52 17 	39 77 24 72 43 	39 77 24 72 43 	
45	08/11/1952	39 65 7 72 35 	67 12 71 89 56 	83 9 58 55 64 	2 7 71 11 24 	90 49 37 42 3 	30 71 23 12 3 	85 52 10 48 25 	19 69 52 56 57 	39 50 86 18 38 	28 85 1 15 29 	28 85 1 15 29 	
44	03/11/1952	84 86 83 11 19 	7 68 65 3 34 	8 79 25 90 43 	22 63 36 26 32 	47 12 48 3 18 	52 9 63 40 27 	16 7 35 49 72 	6 4 40 48 90 	4 37 47 52 18 	85 59 5 13 63 	85 59 5 13 63 	
43	25/10/1952	69 26 6 51 75 	74 64 22 90 5 	39 79 90 85 20 	7 79 76 19 28 	74 41 72 9 7 	55 41 24 19 49 	3 77 14 60 27 	81 56 7 61 10 	79 43 82 24 60 	45 77 69 37 16 	45 77 69 37 16 	
42	18/10/1952	88 3 89 29 75 	80 6 88 34 47 	6 30 40 10 51 	58 62 68 65 3 	29 84 46 10 28 	76 68 54 42 17 	57 22 62 19 87 	11 86 14 62 50 	30 23 53 29 5 	41 2 80 78 87 	41 2 80 78 87 	
41	11/10/1952	14 52 36 1 79 	82 50 12 17 2 	69 63 65 50 7 	50 19 70 53 29 	46 43 44 22 32 	57 72 80 26 17 	41 49 16 15 83 	49 77 62 13 65 	60 49 10 33 73 	84 86 50 61 56 	84 86 50 61 56 	
40	04/10/1952	9 42 47 20 51 	30 7 29 46 73 	58 38 34 90 81 	49 89 61 10 67 	7 39 83 68 4 	80 63 42 13 88 	53 19 34 86 73 	31 80 61 6 29 	70 25 67 16 3 	47 58 68 86 24 	47 58 68 86 24 	
39	27/09/1952	87 30 22 89 78 	14 70 85 64 84 	79 34 56 57 18 	50 54 89 46 16 	72 54 32 58 45 	55 14 25 90 65 	50 90 10 34 42 	26 84 21 58 42 	72 6 79 40 30 	9 51 50 19 29 	9 51 50 19 29 	
38	20/09/1952	29 81 72 79 43 	56 32 82 83 25 	36 60 38 58 11 	40 63 5 71 31 	34 87 29 63 79 	25 52 29 75 72 	18 21 48 13 58 	13 48 23 21 57 	56 17 61 81 22 	12 68 22 18 67 	12 68 22 18 67 	
37	13/09/1952	25 52 42 40 51 	35 68 69 41 40 	74 14 68 3 8 	77 76 35 58 87 	6 51 39 40 26 	18 44 30 60 58 	48 21 8 70 2 	30 66 74 5 52 	63 88 25 4 51 	8 45 42 12 28 	8 45 42 12 28 	
36	06/09/1952	67 75 16 61 4 	70 81 52 24 7 	66 79 85 61 12 	54 12 59 87 32 	21 22 6 61 30 	84 35 85 14 43 	28 17 9 53 52 	44 7 14 15 3 	29 82 44 42 71 	21 62 29 18 38 	21 62 29 18 38 	
35	30/08/1952	25 32 41 85 20 	69 21 30 29 31 	19 89 44 87 39 	52 61 62 50 46 	38 40 82 27 17 	2 60 81 32 79 	46 11 66 65 2 	61 32 42 89 16 	59 43 60 78 89 	25 70 50 81 58 	25 70 50 81 58 	
34	23/08/1952	25 83 5 82 52 	2 22 10 70 13 	80 4 19 47 70 	64 1 23 75 4 	21 19 54 12 59 	73 9 10 21 68 	38 36 56 24 62 	56 51 13 59 86 	9 20 66 51 75 	9 2 24 37 86 	9 2 24 37 86 	
33	16/08/1952	38 50 45 74 83 	44 20 5 21 73 	65 46 44 3 11 	67 15 66 69 18 	76 35 66 70 64 	46 24 47 38 48 	56 40 45 65 35 	78 7 86 16 69 	30 86 46 49 14 	12 38 2 66 34 	12 38 2 66 34 	
32	09/08/1952	56 2 66 81 78 	54 12 41 52 31 	17 78 70 64 46 	62 28 6 75 19 	5 65 53 29 70 	12 38 16 43 6 	47 25 78 20 34 	43 13 52 80 35 	25 22 15 79 53 	13 49 58 52 5 	13 49 58 52 5 	
31	02/08/1952	5 18 1 21 57 	22 29 59 35 33 	59 78 28 21 25 	46 48 40 67 58 	17 37 75 62 74 	61 19 39 58 12 	51 11 71 65 21 	8 90 2 10 86 	68 76 16 78 54 	34 31 9 20 30 	34 31 9 20 30 	
30	26/07/1952	34 6 32 77 68 	57 9 41 30 49 	4 60 56 20 75 	73 41 45 14 24 	55 19 38 63 32 	71 83 73 58 30 	45 5 42 9 73 	47 22 63 58 16 	73 63 43 57 62 	76 58 11 19 53 	76 58 11 19 53 	
29	19/07/1952	39 76 27 22 65 	89 63 82 74 80 	49 40 33 1 35 	71 44 59 88 39 	49 73 3 48 2 	65 70 68 84 90 	51 59 53 73 21 	59 87 3 2 45 	20 80 73 89 44 	9 26 33 82 48 	9 26 33 82 48 	
28	12/07/1952	87 81 22 59 36 	39 54 88 66 89 	42 39 50 2 14 	12 42 10 39 35 	18 3 38 79 73 	90 69 15 38 89 	10 13 32 59 3 	21 33 69 8 53 	77 40 55 85 28 	73 84 76 45 57 	73 84 76 45 57 	
27	05/07/1952	60 17 7 10 16 	52 68 28 21 64 	69 50 2 18 68 	48 33 42 81 29 	82 61 28 11 66 	59 14 16 58 37 	78 3 61 65 72 	59 33 69 26 67 	84 83 14 16 60 	34 8 10 15 61 	34 8 10 15 61 	
26	28/06/1952	48 51 79 15 56 	17 37 38 67 1 	53 28 9 62 65 	89 6 45 50 33 	72 8 22 52 56 	4 29 41 85 37 	26 24 35 36 15 	7 75 62 45 24 	29 80 37 86 73 	38 41 46 72 27 	38 41 46 72 27 	
25	21/06/1952	1 76 90 4 63 	11 13 50 51 85 	2 68 53 72 73 	31 72 50 1 19 	40 34 14 1 33 	25 53 67 12 13 	78 38 8 52 27 	88 17 62 2 50 	55 68 16 25 63 	62 26 3 49 77 	62 26 3 49 77 	
24	14/06/1952	70 39 4 62 47 	26 18 87 5 50 	8 50 22 72 5 	19 32 79 12 37 	9 8 90 16 37 	56 54 53 83 70 	9 68 15 40 87 	37 65 28 63 13 	1 25 46 52 20 	21 41 61 76 64 	21 41 61 76 64 	
23	07/06/1952	21 83 24 5 30 	57 26 23 52 89 	89 84 78 1 15 	50 20 4 56 72 	3 90 61 66 57 	77 8 37 76 48 	16 64 8 74 60 	90 77 89 28 3 	45 27 84 43 47 	87 31 81 43 47 	87 31 81 43 47 	
22	31/05/1952	12 57 2 18 46 	66 36 61 55 3 	49 59 66 63 62 	35 50 3 83 4 	12 59 31 24 47 	41 28 38 71 59 	77 66 89 45 59 	67 75 68 47 1 	51 39 54 6 60 	67 83 21 55 8 	67 83 21 55 8 	
21	24/05/1952	64 47 77 1 36 	32 16 35 58 26 	15 48 86 19 20 	74 14 43 6 13 	56 44 10 54 41 	84 53 39 45 22 	74 23 29 69 30 	65 81 8 25 30 	50 82 21 30 46 	49 23 70 60 61 	49 23 70 60 61 	
20	17/05/1952	8 71 32 53 74 	62 65 47 79 15 	86 74 38 1 71 	26 25 17 29 27 	12 45 40 16 43 	14 69 37 34 19 	63 56 10 46 12 	89 63 21 8 77 	14 61 77 72 9 	70 87 60 22 49 	70 87 60 22 49 	
19	10/05/1952	69 73 83 43 89 	5 25 14 16 34 	14 2 29 18 61 	40 3 54 29 68 	82 47 2 8 7 	77 75 41 33 51 	78 83 27 90 45 	15 69 62 76 58 	81 24 22 16 11 	35 69 33 62 15 	35 69 33 62 15 	
18	03/05/1952	64 80 36 5 77 	64 55 44 25 62 	34 3 39 41 37 	64 31 77 80 17 	37 32 59 1 25 	39 18 76 75 14 	50 62 43 70 1 	82 47 27 73 90 	16 39 36 70 22 	26 53 12 76 39 	26 53 12 76 39 	
17	26/04/1952	62 56 31 15 58 	41 55 4 57 73 	56 7 21 73 43 	17 4 32 69 31 	69 20 84 23 56 	6 67 24 22 88 	80 65 79 59 20 	19 3 44 16 4 	57 62 14 45 77 	37 80 74 85 28 	37 80 74 85 28 	
16	19/04/1952	30 4 3 65 89 	27 11 15 89 78 	41 67 66 39 33 	47 21 50 34 82 	5 47 30 13 4 	72 59 70 6 67 	24 55 50 6 58 	88 16 84 29 41 	66 71 40 52 15 	54 11 5 30 56 	54 11 5 30 56 	
15	12/04/1952	35 68 23 14 29 	76 78 84 20 71 	5 4 24 62 56 	59 4 44 48 7 	82 87 28 70 49 	56 24 87 54 77 	70 4 72 87 71 	49 6 86 23 62 	49 76 79 67 19 	81 15 7 50 17 	81 15 7 50 17 	
14	05/04/1952	40 9 19 70 71 	50 7 80 18 21 	90 2 64 68 88 	74 36 8 84 52 	45 49 86 47 7 	76 64 86 62 46 	18 16 72 37 66 	5 7 20 14 71 	58 41 47 7 25 	24 72 81 22 34 	24 72 81 22 34 	
13	29/03/1952	13 67 30 10 8 	28 55 11 44 47 	71 74 75 70 25 	32 74 59 67 57 	57 78 12 17 72 	5 54 73 24 43 	72 4 70 15 63 	26 1 33 55 73 	43 23 89 2 4 	2 5 14 47 32 	2 5 14 47 32 	
12	22/03/1952	33 53 26 65 76 	69 36 17 71 59 	70 17 42 45 51 	47 45 44 12 13 	78 13 7 52 11 	25 58 70 57 80 	78 28 16 60 6 	36 85 71 46 63 	72 29 31 90 14 	18 42 88 2 35 	18 42 88 2 35 	
11	15/03/1952	61 16 31 17 10 	18 45 30 36 46 	23 63 18 1 84 	82 46 50 69 83 	22 24 65 4 90 	16 2 65 37 69 	35 67 40 4 78 	1 15 65 40 35 	6 62 73 55 68 	70 37 39 34 85 	70 37 39 34 85 	
10	08/03/1952	10 83 62 23 7 	30 6 47 81 33 	72 15 22 52 80 	36 90 57 22 45 	57 51 73 37 78 	57 32 5 13 42 	13 70 49 27 7 	84 6 70 17 89 	27 7 48 25 17 	24 22 60 59 68 	24 22 60 59 68 	
9	01/03/1952	81 42 86 4 65 	54 51 85 87 21 	89 76 33 84 31 	4 21 76 60 17 	7 71 61 6 34 	12 89 5 41 55 	90 14 47 38 65 	68 56 27 61 75 	13 36 26 19 4 	86 2 72 46 64 	86 2 72 46 64 	
8	23/02/1952	68 16 71 63 80 	89 84 78 57 42 	16 85 64 2 36 	28 47 64 50 59 	6 13 8 56 34 	37 7 36 12 2 	15 8 50 18 48 	13 53 86 17 62 	53 20 19 88 81 	42 75 74 53 45 	42 75 74 53 45 	
7	16/02/1952	71 59 31 17 67 	51 48 2 80 16 	72 67 78 10 17 	34 40 60 62 77 	18 4 75 44 29 	71 56 62 28 8 	66 49 70 27 64 	68 18 3 64 30 	32 10 40 48 8 	19 45 48 35 65 	19 45 48 35 65 	
