Lotto
Archivio estrazioni Lotto anno 1962 aggiornato al 29/12/1962
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	29/12/1962	19 9 51 41 3 	63 19 38 21 10 	89 82 51 75 9 	29 55 40 16 19 	56 71 43 14 47 	66 48 83 23 49 	75 85 80 47 6 	8 3 47 6 65 	53 87 40 41 63 	19 4 85 57 11 	     	
51	22/12/1962	43 25 72 4 69 	9 69 41 47 28 	36 79 10 82 72 	18 63 2 27 90 	49 83 37 16 61 	3 82 17 29 6 	53 7 89 69 77 	48 90 80 81 53 	29 64 69 53 79 	69 43 12 42 81 	69 43 12 42 81 	
50	15/12/1962	7 1 76 21 63 	41 74 8 21 71 	77 14 74 47 25 	44 71 21 2 35 	69 2 75 25 77 	8 5 2 62 45 	35 70 20 42 71 	49 33 43 31 39 	49 85 1 69 54 	36 35 1 75 80 	36 35 1 75 80 	
49	10/12/1962	3 18 14 4 84 	12 67 1 64 10 	29 15 43 52 81 	72 65 20 26 55 	44 2 69 57 6 	40 39 32 34 86 	27 89 65 15 7 	11 47 48 19 26 	21 88 47 54 19 	38 83 42 87 76 	38 83 42 87 76 	
48	01/12/1962	16 56 44 14 7 	29 80 36 9 55 	50 31 45 23 81 	2 41 1 20 43 	67 5 21 53 44 	14 26 52 40 1 	34 13 16 82 44 	79 36 81 12 16 	56 55 42 15 86 	5 54 42 63 49 	5 54 42 63 49 	
47	24/11/1962	62 30 31 46 32 	43 19 10 76 2 	13 39 68 25 10 	19 53 24 26 80 	41 69 24 66 81 	20 1 17 9 29 	43 37 62 68 36 	65 78 12 54 47 	66 75 43 68 63 	89 36 71 72 27 	89 36 71 72 27 	
46	17/11/1962	90 41 72 52 46 	64 57 61 7 73 	31 10 39 6 80 	76 74 43 80 8 	82 9 37 71 80 	63 55 14 17 2 	4 38 34 55 54 	39 36 13 5 63 	84 6 80 39 28 	7 21 65 17 10 	7 21 65 17 10 	
45	10/11/1962	36 43 70 75 11 	87 43 3 17 47 	55 37 80 47 88 	33 1 59 54 46 	85 35 44 81 78 	22 36 67 87 69 	53 65 43 11 86 	19 63 74 33 8 	1 57 39 27 8 	47 63 9 40 79 	47 63 9 40 79 	
44	03/11/1962	39 46 22 58 42 	22 89 57 78 67 	75 42 44 72 6 	50 8 34 56 3 	69 64 73 17 9 	85 64 43 76 56 	2 14 54 10 50 	1 90 61 67 32 	56 88 39 16 14 	29 89 48 71 73 	29 89 48 71 73 	
43	27/10/1962	66 19 64 34 67 	26 48 23 73 74 	38 35 67 56 70 	73 71 70 31 34 	53 37 69 35 86 	70 34 76 61 74 	58 7 75 42 26 	81 35 9 56 36 	71 60 43 83 44 	41 89 2 80 69 	41 89 2 80 69 	
42	20/10/1962	73 31 45 54 67 	15 76 17 60 72 	77 11 26 58 89 	13 26 69 17 40 	81 61 41 54 82 	6 39 14 38 80 	15 27 70 36 58 	88 30 16 87 82 	38 51 70 3 15 	85 78 58 18 57 	85 78 58 18 57 	
41	13/10/1962	23 76 2 57 69 	57 53 20 88 13 	20 3 4 49 44 	89 12 7 72 9 	13 34 73 74 22 	65 56 61 80 2 	24 88 41 12 1 	25 50 8 54 40 	73 60 30 57 43 	3 90 57 56 1 	3 90 57 56 1 	
40	06/10/1962	62 42 4 81 8 	25 10 78 89 57 	9 64 54 5 10 	84 48 57 45 82 	46 18 5 19 84 	35 4 17 54 77 	86 51 61 90 42 	9 69 51 50 86 	13 72 4 88 81 	57 39 55 72 18 	57 39 55 72 18 	
39	29/09/1962	54 89 5 52 2 	33 79 8 80 53 	27 86 21 2 43 	36 74 4 71 12 	29 11 35 45 6 	49 31 54 1 3 	4 74 69 5 34 	36 9 19 80 81 	55 86 5 62 67 	45 32 16 33 83 	45 32 16 33 83 	
38	22/09/1962	60 23 52 13 65 	25 64 78 10 46 	26 18 43 16 62 	45 37 90 48 4 	69 60 38 6 34 	28 50 25 58 75 	59 5 67 63 50 	69 9 77 48 66 	39 41 66 42 80 	18 19 53 90 45 	18 19 53 90 45 	
37	15/09/1962	60 16 78 36 88 	62 10 49 34 67 	37 74 84 89 69 	74 68 66 26 89 	33 46 57 90 58 	89 37 79 66 12 	11 58 74 79 30 	36 53 8 60 21 	3 14 36 52 71 	48 26 30 63 61 	48 26 30 63 61 	
36	08/09/1962	44 84 29 20 72 	59 86 40 47 83 	78 63 53 69 71 	68 62 36 72 49 	64 84 30 32 33 	58 16 64 62 67 	69 62 24 30 47 	76 89 26 69 88 	82 90 11 88 54 	17 70 71 21 90 	17 70 71 21 90 	
35	01/09/1962	8 69 52 59 20 	24 89 13 37 60 	30 62 88 76 25 	83 71 46 20 75 	39 15 86 64 81 	61 62 39 44 31 	14 8 42 54 85 	90 88 55 13 33 	36 89 84 7 14 	53 41 22 60 76 	53 41 22 60 76 	
34	25/08/1962	65 21 81 27 62 	81 16 4 89 5 	42 6 47 7 1 	78 51 53 1 82 	76 66 40 58 34 	89 46 76 48 68 	16 45 78 1 6 	15 71 28 5 4 	76 73 50 1 86 	59 82 34 20 75 	59 82 34 20 75 	
33	18/08/1962	27 19 36 48 57 	16 7 67 31 71 	9 54 24 59 88 	3 43 37 16 76 	71 83 54 7 49 	22 83 71 77 25 	54 86 35 74 14 	30 60 1 35 73 	31 80 28 89 51 	52 89 44 58 55 	52 89 44 58 55 	
32	11/08/1962	6 81 72 17 14 	45 82 51 24 70 	11 77 21 42 87 	69 90 45 51 28 	56 45 86 69 35 	12 72 81 52 65 	16 23 70 38 52 	20 38 10 5 22 	17 20 88 40 74 	57 84 40 8 67 	57 84 40 8 67 	
31	04/08/1962	54 23 19 3 2 	63 51 41 61 7 	7 8 48 78 81 	21 12 17 74 57 	27 17 35 16 65 	88 27 63 1 54 	62 57 81 79 18 	64 90 42 21 60 	2 42 52 20 86 	20 72 51 64 16 	20 72 51 64 16 	
