Lotto
Archivio estrazioni Lotto anno 2026 aggiornato al 04/04/2026
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
55	04/04/2026	81 21 69 24 65 	40 1 30 38 25 	18 84 24 58 63 	86 64 56 89 60 	38 7 6 50 25 	72 16 90 85 74 	23 13 20 73 14 	24 52 22 1 78 	16 80 35 84 22 	36 83 9 89 51 	3 67 45 71 86 	
54	03/04/2026	70 81 90 42 35 	9 74 68 25 48 	49 25 76 87 82 	73 24 80 85 47 	4 45 73 48 42 	51 57 56 43 50 	49 14 82 40 68 	12 79 82 18 87 	9 52 39 90 85 	53 75 16 59 18 	84 64 17 1 32 	
53	02/04/2026	86 69 15 81 58 	6 55 36 30 16 	89 1 10 45 74 	60 64 46 80 22 	20 69 73 60 10 	10 39 69 27 18 	79 54 60 50 26 	15 86 20 18 90 	5 21 79 26 57 	53 14 60 52 85 	62 56 48 24 19 	
52	31/03/2026	64 9 80 53 34 	65 25 53 11 4 	52 61 16 58 66 	28 61 2 72 60 	40 87 27 22 5 	28 17 30 29 37 	65 15 79 20 52 	84 58 35 80 60 	34 7 48 35 55 	18 24 23 26 87 	77 81 40 26 73 	
51	28/03/2026	53 4 1 11 9 	67 19 47 35 64 	13 48 58 39 15 	52 87 51 79 67 	7 79 84 28 37 	26 90 68 82 67 	38 57 65 20 56 	81 66 45 53 8 	29 47 55 78 71 	7 29 76 14 15 	17 10 21 29 15 	
50	27/03/2026	9 7 85 34 35 	66 23 50 17 18 	29 14 68 75 9 	52 88 58 19 50 	7 80 5 46 90 	16 33 75 35 17 	43 8 82 48 74 	36 71 23 15 44 	21 67 54 14 6 	69 23 81 74 89 	83 60 76 78 7 	
49	26/03/2026	69 58 26 5 22 	59 33 73 2 69 	44 49 83 75 50 	35 77 61 40 86 	48 52 12 19 62 	60 21 47 15 58 	16 27 28 83 25 	35 19 85 81 24 	29 44 15 70 31 	69 20 48 55 2 	56 61 40 27 81 	
48	24/03/2026	51 62 27 44 28 	73 24 23 48 43 	46 15 72 52 31 	17 9 29 19 27 	6 70 5 76 79 	51 16 26 11 48 	88 57 76 84 9 	90 38 32 69 53 	85 84 58 60 87 	14 41 26 90 52 	40 24 59 1 46 	
47	21/03/2026	17 81 25 89 6 	83 36 5 76 69 	6 43 60 21 44 	84 56 21 75 33 	79 24 89 5 2 	76 65 70 31 5 	29 7 67 62 18 	66 10 89 57 28 	18 40 85 9 4 	51 22 11 66 73 	41 66 86 52 44 	
46	20/03/2026	36 23 51 64 82 	50 33 36 90 55 	49 48 53 59 54 	16 41 73 62 34 	43 42 59 38 75 	25 58 62 38 80 	84 86 88 62 22 	83 70 67 49 66 	29 62 21 7 37 	26 23 43 42 56 	2 59 4 47 32 	
45	19/03/2026	2 88 51 1 4 	35 37 47 40 83 	12 34 72 24 1 	18 58 26 62 13 	72 58 86 31 48 	64 88 44 89 24 	88 14 53 87 5 	52 59 26 22 73 	5 37 83 85 21 	60 28 36 87 66 	72 20 34 52 69 	
44	17/03/2026	49 21 62 51 47 	33 6 44 74 86 	7 41 83 38 81 	64 43 29 73 19 	39 82 9 41 64 	88 54 30 75 38 	26 28 80 65 47 	68 62 41 5 25 	90 17 12 78 40 	15 58 12 68 10 	8 14 23 27 70 	
43	14/03/2026	34 85 22 52 9 	88 62 57 53 80 	11 46 34 49 15 	64 62 78 30 65 	56 16 31 12 49 	44 66 80 45 7 	39 38 83 66 84 	76 52 44 4 33 	38 8 17 70 5 	84 69 42 74 29 	89 44 17 25 52 	
42	13/03/2026	84 21 49 24 14 	49 78 42 9 47 	46 51 72 86 18 	72 71 5 80 83 	58 21 35 68 60 	50 80 25 51 6 	61 24 75 26 87 	15 44 1 54 66 	72 21 31 66 14 	5 45 34 50 69 	7 13 60 63 81 	
41	12/03/2026	27 35 7 5 83 	60 75 59 40 42 	25 2 15 26 22 	50 63 30 77 57 	33 49 66 83 11 	37 51 68 53 52 	83 64 34 59 88 	55 59 9 72 52 	66 72 41 53 67 	48 71 11 55 1 	43 62 59 32 86 	
40	10/03/2026	22 61 39 37 34 	46 18 31 16 22 	16 54 71 40 50 	21 88 14 11 13 	21 14 46 69 13 	66 89 35 26 87 	34 21 38 48 43 	89 27 84 35 61 	75 12 90 4 54 	88 54 36 58 73 	25 85 65 61 82 	
39	07/03/2026	72 21 49 31 7 	28 11 57 3 85 	41 76 27 1 79 	76 19 37 40 69 	18 23 56 21 57 	10 89 63 31 48 	39 15 85 77 14 	90 51 56 89 16 	10 4 73 6 61 	89 70 46 61 56 	31 37 89 64 68 	
38	06/03/2026	43 76 29 71 21 	1 75 39 73 11 	72 49 17 62 54 	36 51 34 56 63 	59 87 52 13 16 	13 83 19 79 66 	18 38 23 63 15 	41 14 85 1 45 	4 1 22 82 57 	67 18 14 40 85 	59 55 62 74 12 	
37	05/03/2026	2 47 84 1 21 	21 15 89 19 68 	45 4 40 30 84 	1 5 38 83 56 	65 21 83 79 18 	33 7 39 56 65 	23 51 85 58 29 	47 49 67 29 89 	81 43 85 82 53 	29 85 1 66 72 	75 9 26 29 34 	
36	03/03/2026	36 68 14 51 50 	23 60 82 49 36 	32 48 25 82 88 	5 73 60 71 67 	41 4 60 37 36 	42 68 63 44 49 	37 88 8 17 52 	49 66 89 60 74 	5 24 22 89 73 	47 6 61 18 64 	66 39 67 74 18 	
35	28/02/2026	63 83 51 27 84 	70 37 29 42 28 	73 68 88 85 75 	24 59 63 57 37 	43 26 23 55 89 	11 70 34 74 5 	80 11 55 50 68 	44 50 86 75 1 	78 32 90 16 9 	4 66 13 46 25 	52 24 34 12 60 	
34	27/02/2026	1 31 24 71 49 	56 23 44 84 39 	46 77 10 65 7 	31 82 33 84 64 	58 41 28 82 18 	5 14 52 62 57 	82 31 8 38 39 	87 22 76 82 19 	36 50 62 61 84 	21 20 52 14 71 	86 17 1 41 20 	
33	26/02/2026	86 45 22 56 80 	25 46 60 14 2 	86 30 43 3 62 	7 83 57 60 14 	39 26 63 54 65 	13 59 18 15 84 	81 78 58 87 82 	69 36 51 33 71 	19 54 34 26 25 	37 23 5 44 26 	7 28 89 63 27 	
32	24/02/2026	78 27 14 77 57 	68 49 23 34 79 	26 39 73 52 59 	15 38 45 58 79 	19 70 76 68 30 	31 88 24 48 66 	57 65 35 85 49 	45 71 47 46 76 	44 42 33 20 9 	81 62 71 60 29 	2 33 34 44 14 	
31	21/02/2026	72 63 35 12 1 	2 31 1 53 10 	30 35 5 87 42 	74 32 43 68 80 	39 6 64 16 83 	56 65 71 7 12 	11 57 50 28 71 	35 23 58 89 46 	27 28 74 16 75 	68 70 27 77 83 	28 52 18 26 39 	
30	20/02/2026	71 19 24 7 58 	88 71 64 85 87 	72 52 40 85 57 	50 27 14 18 26 	31 56 50 53 58 	6 7 54 3 72 	67 50 70 78 57 	19 70 29 6 61 	38 3 6 20 19 	57 52 78 66 7 	63 53 25 24 15 	
29	19/02/2026	46 45 68 27 78 	79 9 37 13 31 	66 9 22 29 50 	61 9 38 19 20 	84 69 53 66 29 	7 58 6 87 49 	10 29 84 22 35 	28 47 11 30 24 	52 73 18 87 56 	90 86 16 36 28 	53 21 35 3 4 	
28	17/02/2026	40 72 47 39 63 	3 66 47 27 35 	14 62 53 8 51 	55 12 81 52 4 	41 31 55 23 59 	30 9 38 14 50 	19 86 40 32 7 	65 88 51 42 41 	10 6 34 84 81 	6 25 82 24 52 	10 74 4 29 88 	
27	14/02/2026	64 39 40 27 69 	49 6 34 2 3 	79 4 56 17 8 	9 27 36 16 37 	67 89 17 63 68 	90 19 34 9 43 	51 73 39 2 65 	23 77 68 44 57 	37 61 38 90 74 	21 51 83 89 23 	61 28 67 56 23 	
26	13/02/2026	71 7 88 38 26 	8 45 59 34 70 	1 70 13 39 50 	54 26 42 41 39 	51 58 82 10 72 	57 4 49 86 54 	72 3 54 83 33 	68 44 6 22 70 	33 37 14 25 79 	16 20 40 27 37 	88 15 53 7 80 	
25	12/02/2026	59 27 52 63 12 	51 2 87 11 25 	71 20 87 65 25 	87 7 90 32 18 	81 89 49 3 51 	56 79 80 14 81 	59 77 61 42 67 	26 76 54 42 55 	73 52 26 44 50 	9 29 43 63 39 	14 49 53 71 28 	
24	10/02/2026	20 78 56 79 86 	2 43 83 59 39 	87 50 83 7 25 	44 36 43 15 53 	14 39 30 35 29 	60 34 76 50 41 	26 61 4 41 64 	10 31 42 52 55 	75 63 47 59 69 	29 47 7 27 31 	52 57 46 19 24 	
23	07/02/2026	5 25 19 18 22 	42 65 5 32 14 	59 8 45 36 25 	62 52 73 1 5 	35 31 33 83 22 	7 13 67 37 27 	64 37 12 89 60 	87 66 22 16 67 	15 66 30 4 47 	30 37 72 66 38 	44 32 26 1 77 	
22	06/02/2026	9 55 48 87 35 	8 23 16 43 34 	1 26 82 69 84 	77 4 26 23 83 	89 78 30 19 76 	78 55 72 18 54 	23 59 87 44 18 	41 18 67 2 14 	9 75 73 59 78 	58 33 67 62 46 	57 69 68 58 37 	
21	05/02/2026	59 63 12 74 89 	4 60 78 51 31 	63 56 13 84 39 	43 3 73 86 84 	73 68 21 69 27 	29 60 61 2 9 	49 28 51 89 23 	43 21 77 31 30 	5 25 64 76 89 	14 16 77 51 56 	53 20 6 89 28 	
20	03/02/2026	26 30 24 71 38 	7 71 77 64 16 	15 23 49 50 66 	65 85 1 3 68 	79 21 3 43 54 	65 72 89 76 43 	20 50 26 72 77 	75 76 31 77 51 	52 47 11 14 8 	84 41 88 13 47 	19 3 34 61 48 	
19	31/01/2026	82 38 72 26 22 	2 33 12 59 1 	10 6 1 81 39 	29 27 75 25 4 	48 71 51 56 18 	14 62 65 17 57 	13 14 87 44 57 	4 39 18 29 72 	8 22 53 37 78 	21 67 61 55 60 	67 57 45 86 23 	
18	30/01/2026	52 28 46 44 56 	61 16 37 31 49 	22 42 53 38 58 	77 51 43 54 60 	8 74 79 82 33 	52 74 25 71 70 	7 70 69 34 62 	67 59 29 22 77 	80 6 73 69 56 	49 47 12 25 66 	54 16 59 85 68 	
17	29/01/2026	52 71 81 90 43 	75 28 2 58 15 	73 57 22 69 86 	29 48 39 60 56 	3 50 69 14 90 	73 42 85 67 12 	68 72 23 66 9 	20 26 19 66 56 	75 4 81 14 64 	12 15 64 67 30 	64 80 85 33 75 	
16	27/01/2026	14 13 48 19 45 	19 22 3 54 85 	79 69 43 56 50 	11 12 8 5 43 	67 15 17 78 29 	85 42 8 60 62 	67 18 78 60 39 	2 31 85 66 69 	11 30 80 74 29 	4 23 27 33 19 	32 68 26 1 10 	
