Lotto
Archivio estrazioni Lotto anno 1877 aggiornato al 29/12/1877
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	29/12/1877	72 8 81 41 53 	     	75 47 78 76 52 	     	7 54 81 13 10 	22 51 49 81 23 	68 41 85 34 24 	56 86 72 40 32 	52 26 76 44 31 	52 76 70 36 49 	     	
51	22/12/1877	28 29 54 83 41 	28 29 54 83 41 	23 48 72 73 11 	23 48 72 73 11 	39 77 48 24 2 	87 7 62 51 76 	51 9 75 66 57 	72 40 43 61 53 	61 1 74 16 3 	85 15 78 9 66 	85 15 78 9 66 	
50	15/12/1877	3 72 88 8 78 	3 72 88 8 78 	49 37 81 62 60 	49 37 81 62 60 	25 8 82 14 64 	87 53 83 56 10 	66 27 44 71 22 	22 69 26 75 49 	20 75 27 45 80 	53 64 72 4 68 	53 64 72 4 68 	
49	08/12/1877	88 57 68 23 1 	88 57 68 23 1 	58 86 36 69 29 	58 86 36 69 29 	11 45 6 73 32 	2 46 23 45 49 	64 33 30 12 27 	36 54 25 15 82 	22 20 28 70 44 	47 63 32 8 81 	47 63 32 8 81 	
48	01/12/1877	73 82 25 12 58 	73 82 25 12 58 	54 53 32 58 45 	54 53 32 58 45 	11 90 57 41 44 	37 2 11 14 42 	58 56 9 2 6 	32 26 48 38 11 	55 74 86 15 68 	55 22 42 59 45 	55 22 42 59 45 	
47	24/11/1877	41 27 25 66 3 	41 27 25 66 3 	83 67 45 79 88 	83 67 45 79 88 	24 84 10 71 23 	26 81 35 2 71 	34 12 30 68 66 	37 74 47 22 66 	44 21 46 11 72 	19 9 35 46 1 	19 9 35 46 1 	
46	17/11/1877	23 85 61 80 29 	23 85 61 80 29 	15 70 40 7 86 	15 70 40 7 86 	10 66 27 28 13 	4 52 78 80 76 	18 61 73 58 56 	54 28 19 35 11 	35 14 90 76 61 	3 18 58 14 89 	3 18 58 14 89 	
45	10/11/1877	31 21 52 16 24 	31 21 52 16 24 	41 15 83 36 20 	41 15 83 36 20 	46 38 8 37 57 	63 23 15 22 84 	38 61 68 85 60 	88 24 36 27 18 	14 7 37 52 80 	15 69 13 19 28 	15 69 13 19 28 	
44	03/11/1877	20 61 83 79 19 	20 61 83 79 19 	33 85 19 51 9 	33 85 19 51 9 	4 68 49 36 39 	3 86 58 55 81 	65 50 1 11 23 	6 33 53 3 72 	7 48 84 52 83 	16 21 73 44 11 	16 21 73 44 11 	
43	27/10/1877	66 21 51 50 90 	66 21 51 50 90 	39 74 41 85 69 	39 74 41 85 69 	30 74 58 57 56 	18 12 14 13 85 	56 79 33 20 3 	53 40 68 47 66 	18 11 46 14 25 	15 28 70 42 27 	15 28 70 42 27 	
42	20/10/1877	78 43 68 26 30 	78 43 68 26 30 	12 48 75 66 43 	12 48 75 66 43 	46 31 23 88 30 	5 52 27 28 70 	38 14 37 53 55 	60 11 69 44 88 	72 22 76 21 19 	8 72 68 88 46 	8 72 68 88 46 	
41	13/10/1877	51 28 74 23 41 	51 28 74 23 41 	39 67 29 61 22 	39 67 29 61 22 	35 52 34 37 73 	50 64 4 19 89 	62 8 29 65 63 	77 37 88 60 40 	69 32 79 15 35 	83 8 56 22 18 	83 8 56 22 18 	
40	06/10/1877	37 69 30 41 31 	37 69 30 41 31 	11 61 17 68 86 	11 61 17 68 86 	10 16 24 7 22 	39 8 55 30 87 	4 11 83 44 87 	56 43 26 55 41 	26 77 62 61 21 	89 86 39 29 64 	89 86 39 29 64 	
39	29/09/1877	81 35 87 31 68 	81 35 87 31 68 	50 33 57 36 73 	50 33 57 36 73 	52 67 40 63 13 	74 8 45 35 66 	15 76 63 13 70 	28 19 30 44 41 	9 80 36 55 27 	24 66 72 45 5 	24 66 72 45 5 	
38	22/09/1877	10 16 83 53 67 	10 16 83 53 67 	62 5 19 3 56 	62 5 19 3 56 	88 37 48 24 14 	61 7 51 24 4 	36 61 87 53 13 	9 34 43 13 16 	43 54 72 12 89 	64 88 54 39 76 	64 88 54 39 76 	
37	15/09/1877	4 13 54 39 12 	4 13 54 39 12 	78 48 18 65 19 	78 48 18 65 19 	56 1 25 34 85 	46 64 38 56 7 	48 50 29 19 62 	62 17 42 51 46 	36 57 80 13 82 	66 84 23 64 13 	66 84 23 64 13 	
