Lotto
Archivio estrazioni Lotto anno 1882 aggiornato al 30/12/1882
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
29	22/07/1882	11 18 78 24 9 	11 18 78 24 9 	10 59 33 52 83 	10 59 33 52 83 	46 67 27 56 11 	54 83 43 13 60 	15 43 27 76 1 	41 90 78 52 69 	10 78 67 72 3 	77 18 49 5 70 	77 18 49 5 70 	
28	15/07/1882	23 26 30 57 21 	23 26 30 57 21 	87 33 18 84 54 	87 33 18 84 54 	56 12 59 6 3 	9 84 63 7 87 	1 25 2 40 44 	58 50 87 67 15 	70 20 85 53 74 	59 15 36 47 21 	59 15 36 47 21 	
27	08/07/1882	40 1 41 21 64 	40 1 41 21 64 	73 8 69 87 23 	73 8 69 87 23 	11 33 28 61 54 	65 31 30 76 89 	33 17 82 40 87 	16 84 55 11 70 	59 26 34 82 8 	3 31 50 49 35 	3 31 50 49 35 	
26	01/07/1882	29 88 15 2 49 	29 88 15 2 49 	19 26 25 66 82 	19 26 25 66 82 	5 44 82 1 60 	86 72 28 49 61 	27 80 63 72 30 	10 25 29 27 34 	20 2 90 85 81 	83 5 40 9 1 	83 5 40 9 1 	
25	24/06/1882	56 76 67 33 43 	56 76 67 33 43 	2 10 35 15 57 	2 10 35 15 57 	59 43 12 77 63 	45 60 90 20 40 	75 55 82 48 73 	75 18 33 30 14 	64 44 67 72 33 	28 62 69 20 18 	28 62 69 20 18 	
24	17/06/1882	21 55 35 12 42 	21 55 35 12 42 	86 69 37 33 7 	86 69 37 33 7 	2 74 12 64 29 	15 48 51 90 46 	13 3 87 76 85 	37 59 67 29 9 	30 20 9 3 68 	79 61 7 19 66 	79 61 7 19 66 	
23	10/06/1882	41 48 44 3 47 	41 48 44 3 47 	39 63 48 45 55 	39 63 48 45 55 	11 58 56 39 34 	48 12 75 57 64 	76 56 46 47 65 	38 29 78 52 2 	49 47 88 68 79 	15 86 81 75 61 	15 86 81 75 61 	
22	03/06/1882	25 75 18 5 11 	25 75 18 5 11 	13 89 62 35 82 	13 89 62 35 82 	20 64 15 79 13 	11 35 66 38 52 	44 11 28 68 4 	13 80 15 43 46 	81 49 61 40 53 	6 47 43 52 5 	6 47 43 52 5 	
21	27/05/1882	56 12 6 23 41 	56 12 6 23 41 	6 86 26 64 73 	6 86 26 64 73 	72 22 85 63 26 	57 45 79 59 65 	37 1 79 39 66 	2 59 15 55 63 	51 67 20 26 27 	27 83 75 80 88 	27 83 75 80 88 	
20	20/05/1882	31 55 32 49 41 	31 55 32 49 41 	59 42 17 2 9 	59 42 17 2 9 	49 4 84 16 83 	8 73 77 32 69 	41 39 49 15 51 	35 4 56 60 75 	43 57 11 86 7 	53 30 4 3 13 	53 30 4 3 13 	
19	13/05/1882	26 69 21 86 76 	26 69 21 86 76 	71 50 75 27 86 	71 50 75 27 86 	11 5 83 77 87 	69 88 9 4 19 	41 77 36 65 56 	77 24 81 5 58 	29 79 61 13 46 	78 27 3 28 84 	78 27 3 28 84 	
