Lotto
Archivio estrazioni Lotto anno 1941 aggiornato al 27/12/1941
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	27/12/1941	27 42 53 30 35 	89 82 34 10 3 	59 87 39 29 46 	37 88 33 1 52 	13 41 33 23 86 	17 15 79 35 90 	55 29 21 15 77 	38 16 81 6 86 	31 61 14 57 9 	78 3 33 46 5 	     	
51	20/12/1941	84 20 14 24 9 	23 14 89 84 30 	9 2 7 11 1 	81 13 14 78 85 	57 56 12 65 67 	50 72 9 42 55 	31 8 28 16 75 	56 2 75 82 65 	8 85 4 9 80 	6 51 47 2 14 	6 51 47 2 14 	
50	13/12/1941	65 59 80 54 6 	74 20 25 22 76 	24 44 41 33 57 	16 1 46 10 49 	17 21 20 22 64 	7 35 58 82 67 	25 38 42 2 75 	75 78 56 24 11 	21 7 71 74 15 	46 54 18 38 33 	46 54 18 38 33 	
49	06/12/1941	24 39 53 23 49 	25 71 60 77 50 	37 12 85 34 69 	40 8 14 42 82 	19 74 30 77 71 	87 62 34 73 28 	12 71 49 89 50 	65 32 6 16 56 	72 56 45 22 39 	65 72 46 20 32 	65 72 46 20 32 	
48	29/11/1941	58 32 90 17 28 	54 14 74 90 67 	31 68 39 83 88 	5 7 2 35 30 	60 5 82 32 46 	10 46 36 23 13 	9 58 40 43 87 	49 50 88 80 51 	41 51 67 71 45 	12 60 22 39 28 	12 60 22 39 28 	
47	22/11/1941	72 63 30 50 81 	77 82 69 47 29 	23 17 89 64 82 	89 41 65 40 31 	78 44 87 47 88 	16 27 61 21 8 	58 18 21 63 37 	32 9 73 12 22 	75 76 31 81 89 	71 75 26 72 49 	71 75 26 72 49 	
46	15/11/1941	89 29 77 12 6 	89 82 10 19 42 	30 31 72 11 46 	25 47 26 56 6 	78 13 63 12 41 	76 54 30 66 90 	10 85 60 59 73 	89 9 8 57 48 	5 61 71 12 47 	25 87 49 15 39 	25 87 49 15 39 	
45	08/11/1941	26 55 62 79 42 	75 56 67 17 58 	35 84 15 14 72 	31 47 30 89 84 	11 21 22 33 70 	6 47 38 89 60 	53 46 32 28 43 	15 46 82 25 76 	51 60 34 75 77 	64 44 89 71 17 	64 44 89 71 17 	
44	01/11/1941	39 64 53 12 4 	44 62 57 68 23 	44 32 86 3 70 	14 52 27 20 59 	11 18 13 72 88 	58 30 59 31 34 	12 17 72 58 15 	16 19 31 61 32 	89 54 83 13 34 	63 32 39 70 82 	63 32 39 70 82 	
43	25/10/1941	55 19 54 60 27 	35 3 26 78 55 	44 88 45 67 27 	52 55 64 45 27 	71 22 20 32 66 	4 58 88 87 64 	63 35 83 85 69 	73 75 25 17 56 	66 36 31 84 5 	29 66 23 90 87 	29 66 23 90 87 	
42	18/10/1941	57 42 69 8 68 	87 25 5 84 41 	42 29 47 70 81 	41 10 77 32 70 	17 12 26 73 77 	71 75 86 58 82 	14 44 38 7 63 	5 52 66 62 84 	72 24 4 78 3 	25 84 54 24 1 	25 84 54 24 1 	
41	11/10/1941	32 19 37 50 60 	61 40 49 36 59 	5 34 71 60 52 	69 2 71 10 4 	28 26 84 83 33 	74 45 20 29 12 	20 45 85 63 36 	56 68 75 72 44 	67 89 58 79 57 	84 61 19 37 59 	84 61 19 37 59 	
40	04/10/1941	29 22 11 47 43 	64 15 54 22 46 	40 82 5 47 64 	42 78 59 26 66 	9 83 27 46 72 	60 38 74 29 41 	78 6 21 5 80 	39 38 57 68 51 	51 64 69 32 38 	87 65 84 9 61 	87 65 84 9 61 	
39	27/09/1941	28 33 22 2 29 	5 16 11 60 89 	69 40 52 53 44 	81 73 43 3 54 	36 12 42 48 82 	45 18 51 32 37 	75 43 61 76 66 	24 16 37 33 59 	41 68 45 78 74 	42 27 70 57 33 	42 27 70 57 33 	
38	20/09/1941	46 63 40 30 36 	35 87 42 63 54 	71 64 22 60 59 	42 14 60 57 37 	10 5 81 70 36 	19 18 42 74 53 	79 20 83 55 7 	59 71 87 9 5 	51 55 41 38 50 	86 27 56 70 81 	86 27 56 70 81 	
37	13/09/1941	49 56 31 87 79 	33 46 51 32 27 	36 71 73 77 86 	84 21 67 42 33 	28 66 13 63 72 	59 8 37 50 84 	60 6 12 55 69 	53 78 36 35 30 	71 89 10 86 75 	65 3 33 48 46 	65 3 33 48 46 	
36	06/09/1941	54 35 1 28 36 	60 85 34 14 80 	25 84 67 62 8 	69 46 26 30 32 	41 69 9 23 68 	67 15 2 59 4 	22 6 36 90 58 	87 12 3 68 89 	66 67 75 33 59 	32 43 9 20 64 	32 43 9 20 64 	
35	30/08/1941	5 80 44 77 32 	17 63 11 51 1 	67 84 76 38 11 	11 55 79 80 40 	42 51 29 41 47 	76 35 38 82 56 	35 2 17 53 67 	60 34 21 13 52 	83 81 1 47 78 	15 82 70 78 31 	15 82 70 78 31 	
34	23/08/1941	5 24 64 59 56 	70 28 39 51 6 	90 52 84 41 36 	82 78 14 67 89 	50 82 10 61 60 	7 8 78 70 48 	70 64 61 68 1 	84 8 81 82 26 	46 78 42 67 36 	21 62 10 59 89 	21 62 10 59 89 	
33	16/08/1941	85 40 18 50 31 	48 24 7 1 53 	26 53 62 18 35 	3 59 47 36 70 	62 42 19 40 44 	39 81 83 84 14 	82 54 42 55 90 	27 38 64 79 58 	40 90 64 75 41 	82 70 5 59 35 	82 70 5 59 35 	
32	09/08/1941	31 4 33 70 30 	75 17 4 68 31 	52 36 18 53 37 	73 77 27 72 37 	87 86 85 77 71 	43 30 68 90 58 	81 22 23 50 41 	69 29 11 65 34 	80 36 86 75 60 	47 53 39 60 76 	47 53 39 60 76 	
31	02/08/1941	23 9 10 55 22 	56 5 66 86 63 	18 46 44 56 74 	15 74 71 55 7 	36 61 18 16 52 	45 28 32 11 23 	48 33 30 21 75 	38 73 14 31 60 	55 54 76 13 77 	41 73 35 76 40 	41 73 35 76 40 	
30	26/07/1941	17 86 63 22 26 	59 7 74 85 65 	20 84 21 64 52 	66 83 46 65 44 	59 25 82 76 40 	50 65 87 66 53 	14 22 87 65 41 	44 65 41 50 67 	84 62 37 67 75 	68 48 19 37 81 	68 48 19 37 81 	
29	19/07/1941	46 28 30 31 18 	30 7 35 60 28 	85 68 56 1 35 	24 55 85 18 79 	83 45 72 44 23 	47 27 6 7 55 	50 72 4 8 46 	36 21 54 3 59 	20 82 37 25 16 	68 49 30 21 77 	68 49 30 21 77 	
28	12/07/1941	87 56 4 50 26 	7 5 10 9 70 	37 82 85 79 13 	31 28 5 32 66 	30 88 15 42 22 	17 82 54 23 66 	58 52 29 34 5 	85 80 49 12 88 	41 62 37 56 16 	74 3 20 58 71 	74 3 20 58 71 	
27	05/07/1941	77 63 41 76 59 	4 64 60 42 8 	30 87 76 82 21 	62 26 86 75 8 	40 78 68 12 18 	71 18 29 24 72 	29 33 45 6 26 	90 43 25 84 20 	61 56 88 41 39 	61 63 53 65 5 	61 63 53 65 5 	
26	28/06/1941	5 61 62 3 63 	77 74 23 63 65 	16 38 80 86 64 	45 56 82 79 86 	51 30 85 20 29 	40 9 10 44 75 	27 29 7 14 36 	63 38 59 11 64 	6 43 35 20 89 	26 57 39 52 43 	26 57 39 52 43 	
25	21/06/1941	30 20 40 89 12 	15 64 34 88 79 	46 38 21 48 35 	56 45 36 60 11 	89 22 23 31 54 	89 29 66 24 38 	15 31 46 29 54 	56 84 10 14 25 	3 25 82 73 39 	83 21 43 25 18 	83 21 43 25 18 	
24	14/06/1941	24 31 3 78 19 	19 35 30 40 42 	25 68 8 24 1 	14 18 73 1 13 	16 13 59 78 5 	88 77 82 62 70 	62 20 77 78 49 	5 27 76 84 2 	8 80 49 9 37 	10 83 35 85 86 	10 83 35 85 86 	
23	07/06/1941	33 55 68 40 83 	23 71 52 37 48 	2 22 65 10 56 	61 21 25 24 52 	64 69 53 11 75 	35 83 57 27 10 	25 44 70 13 67 	39 36 21 57 29 	37 78 89 72 65 	85 70 61 14 21 	85 70 61 14 21 	
22	31/05/1941	65 84 81 5 56 	27 90 20 38 33 	69 77 56 72 21 	56 41 42 72 38 	38 13 27 90 75 	21 20 79 6 42 	70 28 9 61 6 	15 61 10 75 78 	89 5 69 63 47 	3 19 61 53 83 	3 19 61 53 83 	
