Lotto
Archivio estrazioni Lotto anno 1935 aggiornato al 28/12/1935
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	28/12/1935	45 28 17 24 11 	     	3 71 35 10 70 	     	89 81 39 63 64 	63 75 35 88 65 	20 57 27 45 8 	80 67 23 71 2 	43 50 54 90 12 	52 61 60 36 31 	     	
51	21/12/1935	47 18 78 11 10 	47 18 78 11 10 	62 57 66 69 3 	62 57 66 69 3 	37 35 55 6 66 	10 46 63 20 82 	83 61 20 45 49 	25 23 24 64 67 	89 11 6 63 17 	11 66 13 16 83 	11 66 13 16 83 	
50	14/12/1935	6 55 5 71 90 	6 55 5 71 90 	71 72 84 1 47 	71 72 84 1 47 	66 14 62 43 27 	44 83 86 41 5 	5 41 8 65 83 	78 35 23 36 57 	66 73 87 46 30 	33 60 45 87 39 	33 60 45 87 39 	
49	07/12/1935	76 72 8 82 88 	76 72 8 82 88 	49 14 66 74 22 	49 14 66 74 22 	30 75 41 34 39 	81 37 38 10 65 	36 54 17 82 33 	20 86 79 46 30 	24 57 72 9 88 	30 48 27 62 13 	30 48 27 62 13 	
48	30/11/1935	82 68 27 85 73 	82 68 27 85 73 	48 70 7 59 46 	48 70 7 59 46 	75 25 62 71 44 	67 90 75 44 36 	33 68 71 11 55 	52 70 21 12 34 	37 46 4 17 89 	4 22 49 26 62 	4 22 49 26 62 	
47	23/11/1935	5 81 82 42 12 	5 81 82 42 12 	84 26 68 29 4 	84 26 68 29 4 	81 39 47 37 23 	73 56 18 87 33 	55 19 70 75 3 	23 84 83 4 75 	88 84 41 15 12 	38 56 17 46 6 	38 56 17 46 6 	
46	16/11/1935	45 86 21 40 75 	45 86 21 40 75 	53 10 70 2 76 	53 10 70 2 76 	75 88 39 1 87 	61 63 40 14 59 	72 70 30 6 43 	77 14 39 88 13 	77 36 88 41 13 	7 43 27 78 23 	7 43 27 78 23 	
45	09/11/1935	11 24 20 60 15 	11 24 20 60 15 	48 77 85 2 74 	48 77 85 2 74 	75 59 23 16 85 	7 25 53 84 9 	75 30 48 50 8 	25 30 62 36 61 	46 66 15 60 77 	53 26 42 65 78 	53 26 42 65 78 	
44	02/11/1935	60 49 50 23 18 	60 49 50 23 18 	25 70 52 5 34 	25 70 52 5 34 	26 58 31 5 36 	64 24 74 60 40 	48 78 64 22 82 	58 39 20 61 57 	26 12 44 37 25 	4 73 47 83 53 	4 73 47 83 53 	
43	26/10/1935	87 28 4 24 14 	87 28 4 24 14 	61 14 60 47 29 	61 14 60 47 29 	78 18 2 25 23 	1 10 49 86 19 	60 37 71 36 63 	7 57 84 47 85 	7 41 84 78 33 	74 34 51 40 2 	74 34 51 40 2 	
42	19/10/1935	53 90 84 46 58 	53 90 84 46 58 	66 51 44 25 57 	66 51 44 25 57 	70 16 44 77 53 	76 3 73 60 24 	13 40 6 32 4 	35 25 28 26 8 	33 18 69 37 16 	11 7 30 4 5 	11 7 30 4 5 	
41	12/10/1935	75 79 57 41 82 	75 79 57 41 82 	68 88 7 86 6 	68 88 7 86 6 	72 73 45 71 21 	61 60 87 13 21 	34 74 12 80 17 	25 12 20 30 90 	41 30 10 51 72 	24 20 48 34 82 	24 20 48 34 82 	
40	05/10/1935	41 21 90 84 71 	41 21 90 84 71 	70 81 3 34 69 	70 81 3 34 69 	57 88 34 38 58 	2 23 72 78 82 	20 55 59 85 2 	69 21 32 83 1 	30 86 72 27 70 	43 28 27 77 84 	43 28 27 77 84 	
39	28/09/1935	58 78 72 2 50 	58 78 72 2 50 	13 20 23 76 16 	13 20 23 76 16 	64 88 81 52 80 	64 78 27 3 68 	11 19 78 2 16 	54 67 40 18 58 	71 77 33 68 87 	44 81 35 87 48 	44 81 35 87 48 	
38	21/09/1935	33 24 69 77 84 	33 24 69 77 84 	50 45 3 49 17 	50 45 3 49 17 	58 64 51 34 55 	48 61 52 72 68 	15 71 88 82 87 	82 65 15 12 77 	63 55 64 65 26 	30 67 59 16 43 	30 67 59 16 43 	
37	14/09/1935	54 16 12 18 11 	54 16 12 18 11 	71 75 28 57 41 	71 75 28 57 41 	90 9 57 63 32 	12 85 15 52 39 	6 27 22 46 77 	90 78 51 20 26 	74 88 11 89 3 	47 27 58 61 45 	47 27 58 61 45 	
