Lotto
Archivio estrazioni Lotto anno 1893 aggiornato al 30/12/1893
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	30/12/1893	28 42 39 72 38 	     	69 63 56 80 15 	     	72 56 58 30 35 	24 83 17 22 68 	36 15 56 22 18 	33 19 25 84 89 	57 66 43 56 24 	42 81 38 19 8 	     	
51	23/12/1893	44 11 88 16 37 	44 11 88 16 37 	48 47 84 56 69 	48 47 84 56 69 	40 33 32 74 50 	42 54 2 37 77 	23 21 65 72 58 	52 61 65 3 66 	19 56 47 67 11 	67 59 37 54 90 	67 59 37 54 90 	
50	16/12/1893	69 21 42 26 9 	69 21 42 26 9 	7 18 44 53 71 	7 18 44 53 71 	62 3 11 49 88 	29 44 32 89 69 	59 35 33 75 10 	37 59 84 8 39 	29 82 42 53 26 	31 8 81 5 70 	31 8 81 5 70 	
49	09/12/1893	9 48 18 71 17 	9 48 18 71 17 	77 53 4 36 79 	77 53 4 36 79 	29 48 65 44 12 	62 36 37 6 41 	65 17 51 69 26 	68 27 70 82 30 	70 75 87 60 81 	44 89 7 61 52 	44 89 7 61 52 	
48	02/12/1893	66 43 29 5 71 	66 43 29 5 71 	6 18 8 43 5 	6 18 8 43 5 	44 80 2 76 67 	33 58 52 75 85 	51 65 6 22 47 	4 25 37 66 59 	69 8 74 63 60 	22 32 88 2 43 	22 32 88 2 43 	
47	25/11/1893	81 67 66 57 79 	81 67 66 57 79 	6 2 16 57 26 	6 2 16 57 26 	67 37 54 59 24 	9 3 78 62 34 	14 88 45 11 33 	29 78 63 53 90 	71 74 12 64 90 	4 57 65 38 59 	4 57 65 38 59 	
46	18/11/1893	57 43 86 65 5 	57 43 86 65 5 	38 6 23 8 72 	38 6 23 8 72 	44 32 70 6 39 	86 43 28 16 87 	80 69 21 26 47 	9 5 25 84 55 	38 71 14 16 24 	64 77 37 8 42 	64 77 37 8 42 	
45	11/11/1893	48 2 29 11 58 	48 2 29 11 58 	83 86 82 74 4 	83 86 82 74 4 	47 69 67 68 62 	58 8 1 29 6 	8 25 28 88 17 	87 3 5 75 20 	21 73 32 14 65 	21 72 39 60 42 	21 72 39 60 42 	
44	04/11/1893	41 40 5 54 78 	41 40 5 54 78 	16 82 59 57 31 	16 82 59 57 31 	74 36 34 38 26 	80 52 48 68 53 	51 14 30 49 31 	55 18 40 64 37 	54 71 70 84 9 	89 33 19 29 64 	89 33 19 29 64 	
43	28/10/1893	71 44 34 69 22 	71 44 34 69 22 	78 7 27 25 37 	78 7 27 25 37 	68 25 79 24 86 	26 30 5 52 53 	72 38 40 7 62 	20 33 74 14 67 	67 29 23 6 52 	14 19 9 51 5 	14 19 9 51 5 	
42	21/10/1893	23 36 82 20 52 	23 36 82 20 52 	85 79 22 4 33 	85 79 22 4 33 	58 41 14 32 37 	72 70 67 8 7 	90 35 56 45 8 	29 89 4 1 77 	84 51 77 58 9 	45 9 43 86 11 	45 9 43 86 11 	
41	14/10/1893	12 80 73 32 41 	12 80 73 32 41 	39 4 29 24 57 	39 4 29 24 57 	49 38 23 61 4 	48 27 35 86 40 	56 58 20 61 41 	54 76 78 16 69 	3 11 69 37 19 	86 42 85 25 38 	86 42 85 25 38 	
40	07/10/1893	8 39 10 13 55 	8 39 10 13 55 	79 4 69 76 73 	79 4 69 76 73 	11 5 55 86 26 	80 68 57 8 66 	4 43 24 63 39 	64 21 17 47 11 	19 50 16 49 41 	64 86 46 61 14 	64 86 46 61 14 	
39	30/09/1893	79 60 69 63 8 	79 60 69 63 8 	70 6 32 7 58 	70 6 32 7 58 	73 28 68 1 38 	78 1 12 28 23 	79 34 6 55 42 	49 82 19 55 52 	57 58 48 78 4 	40 59 12 51 64 	40 59 12 51 64 	
38	23/09/1893	36 6 12 47 53 	36 6 12 47 53 	31 71 37 28 3 	31 71 37 28 3 	37 21 90 58 44 	67 24 62 68 8 	27 62 38 21 42 	56 32 46 89 34 	54 69 2 4 34 	38 53 22 51 43 	38 53 22 51 43 	
37	16/09/1893	11 65 37 90 42 	11 65 37 90 42 	34 72 49 8 76 	34 72 49 8 76 	35 50 61 19 10 	18 22 89 85 26 	85 50 4 59 38 	69 2 41 63 7 	13 86 9 61 81 	12 87 27 41 21 	12 87 27 41 21 	
36	09/09/1893	42 32 45 60 44 	42 32 45 60 44 	77 45 68 76 87 	77 45 68 76 87 	76 12 84 53 8 	54 34 41 82 61 	48 83 52 20 71 	13 20 19 35 27 	58 38 54 25 67 	21 22 51 90 1 	21 22 51 90 1 	
35	02/09/1893	56 11 62 53 44 	56 11 62 53 44 	52 69 39 86 48 	52 69 39 86 48 	4 43 53 70 56 	79 1 50 10 66 	80 39 42 31 15 	61 1 23 27 47 	44 82 29 30 23 	71 27 81 24 62 	71 27 81 24 62 	
34	26/08/1893	40 41 79 66 53 	40 41 79 66 53 	6 72 19 80 20 	6 72 19 80 20 	46 31 53 30 89 	16 44 32 27 38 	40 82 25 26 6 	47 10 5 27 1 	4 6 15 75 54 	68 31 8 55 25 	68 31 8 55 25 	
33	19/08/1893	15 41 68 48 26 	15 41 68 48 26 	13 33 20 36 64 	13 33 20 36 64 	51 89 74 88 62 	15 89 19 34 67 	12 32 74 40 60 	75 28 51 85 83 	30 48 51 10 80 	89 86 31 70 64 	89 86 31 70 64 	
32	12/08/1893	83 20 19 50 26 	83 20 19 50 26 	63 87 81 71 7 	63 87 81 71 7 	68 52 75 56 84 	83 50 86 47 4 	85 71 48 50 20 	60 47 64 52 51 	19 46 52 14 32 	49 11 54 34 27 	49 11 54 34 27 	
31	05/08/1893	57 12 1 38 49 	57 12 1 38 49 	80 57 56 87 30 	80 57 56 87 30 	79 78 29 40 67 	17 38 65 72 10 	89 31 18 86 38 	46 67 2 77 53 	79 16 83 13 51 	10 85 4 86 89 	10 85 4 86 89 	
30	29/07/1893	90 1 29 75 20 	90 1 29 75 20 	44 7 56 63 32 	44 7 56 63 32 	28 77 58 67 89 	41 61 80 57 29 	70 71 34 50 12 	54 75 25 24 72 	77 39 73 75 74 	41 43 45 21 10 	41 43 45 21 10 	
29	22/07/1893	13 52 77 32 34 	13 52 77 32 34 	31 24 46 41 23 	31 24 46 41 23 	10 55 14 9 38 	76 28 78 55 80 	81 30 29 34 52 	75 23 14 86 8 	19 23 53 45 79 	56 35 63 13 7 	56 35 63 13 7 	
28	15/07/1893	50 25 55 45 12 	50 25 55 45 12 	10 37 59 82 8 	10 37 59 82 8 	84 67 63 6 56 	31 18 8 37 72 	26 22 48 30 14 	39 52 83 10 13 	60 88 67 64 58 	68 31 22 45 33 	68 31 22 45 33 	
27	08/07/1893	42 39 85 73 69 	42 39 85 73 69 	61 18 16 83 28 	61 18 16 83 28 	77 49 4 84 86 	8 7 81 14 88 	65 55 7 33 67 	59 87 7 54 4 	41 78 4 76 82 	80 23 19 89 81 	80 23 19 89 81 	
26	01/07/1893	73 10 58 30 21 	73 10 58 30 21 	24 40 80 72 17 	24 40 80 72 17 	57 42 21 12 64 	42 37 25 5 9 	61 82 2 23 19 	81 35 32 84 62 	41 49 52 57 15 	74 36 83 50 19 	74 36 83 50 19 	
25	24/06/1893	53 20 46 47 33 	53 20 46 47 33 	57 4 28 52 30 	57 4 28 52 30 	68 26 25 16 3 	48 21 39 29 85 	85 32 83 61 47 	40 30 45 7 79 	68 70 89 62 2 	32 56 70 44 49 	32 56 70 44 49 	
