Lotto
Archivio estrazioni Lotto anno 1921 aggiornato al 31/12/1921
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
52	31/12/1921	3 71 83 28 72 	     	64 70 86 79 29 	     	10 85 17 2 64 	5 30 1 61 27 	68 41 70 30 65 	44 80 87 21 71 	46 34 7 12 39 	34 51 11 68 84 	     	
51	24/12/1921	33 30 81 46 76 	33 30 81 46 76 	65 47 11 35 62 	65 47 11 35 62 	25 38 19 55 37 	61 59 10 89 74 	26 68 83 10 57 	7 2 67 60 70 	15 49 75 17 57 	41 87 2 71 33 	41 87 2 71 33 	
50	17/12/1921	46 12 1 74 90 	46 12 1 74 90 	50 89 62 7 30 	50 89 62 7 30 	76 85 45 53 51 	41 89 9 56 31 	51 82 30 14 55 	3 58 70 27 87 	87 22 17 3 52 	55 39 69 66 13 	55 39 69 66 13 	
49	10/12/1921	90 81 70 80 17 	90 81 70 80 17 	41 69 1 16 32 	41 69 1 16 32 	57 74 30 82 68 	77 78 39 81 34 	14 13 38 48 39 	49 24 80 84 32 	8 4 17 78 2 	65 24 68 51 47 	65 24 68 51 47 	
48	03/12/1921	44 7 32 52 76 	44 7 32 52 76 	42 76 5 60 83 	42 76 5 60 83 	40 12 39 47 68 	19 22 73 67 89 	10 29 57 33 50 	46 36 64 41 77 	46 1 10 77 84 	84 21 22 70 1 	84 21 22 70 1 	
47	26/11/1921	7 84 12 1 52 	7 84 12 1 52 	65 64 77 27 69 	65 64 77 27 69 	46 56 64 34 78 	89 44 13 39 7 	75 86 70 84 64 	33 53 6 62 4 	59 28 78 11 22 	55 3 61 35 57 	55 3 61 35 57 	
46	19/11/1921	46 64 41 19 10 	46 64 41 19 10 	48 10 47 61 6 	48 10 47 61 6 	25 36 12 59 11 	88 11 63 13 32 	50 13 88 66 15 	24 41 23 21 14 	30 59 77 39 56 	16 12 86 22 4 	16 12 86 22 4 	
45	12/11/1921	70 64 47 11 10 	70 64 47 11 10 	31 52 17 11 37 	31 52 17 11 37 	58 7 80 13 37 	21 85 5 90 70 	63 89 7 13 79 	2 17 63 30 38 	6 67 23 89 16 	74 5 36 51 11 	74 5 36 51 11 	
44	05/11/1921	5 3 14 83 39 	5 3 14 83 39 	4 16 40 34 2 	4 16 40 34 2 	28 31 22 52 16 	61 81 65 56 88 	24 15 21 39 23 	32 84 30 57 88 	14 81 88 7 30 	61 9 47 7 6 	61 9 47 7 6 	
43	29/10/1921	82 65 61 88 46 	82 65 61 88 46 	62 84 25 83 43 	62 84 25 83 43 	13 38 4 26 64 	58 30 53 18 11 	40 83 44 10 1 	24 58 25 86 66 	33 52 71 89 73 	27 40 2 77 65 	27 40 2 77 65 	
42	22/10/1921	63 85 8 62 54 	63 85 8 62 54 	64 27 35 10 38 	64 27 35 10 38 	49 62 12 11 57 	13 87 41 88 42 	42 30 20 88 2 	73 60 87 4 43 	42 73 56 84 25 	42 34 90 26 61 	42 34 90 26 61 	
41	15/10/1921	4 12 61 6 10 	4 12 61 6 10 	37 46 18 41 10 	37 46 18 41 10 	44 54 30 19 88 	11 44 38 81 2 	88 46 24 23 50 	75 88 50 25 11 	73 76 77 44 37 	42 72 39 43 22 	42 72 39 43 22 	
40	08/10/1921	15 78 75 3 61 	15 78 75 3 61 	4 73 17 32 21 	4 73 17 32 21 	76 80 81 90 42 	36 10 12 33 43 	72 22 1 83 29 	82 13 58 29 81 	2 54 88 59 44 	26 78 40 45 76 	26 78 40 45 76 	
39	01/10/1921	56 3 22 83 40 	56 3 22 83 40 	21 47 17 20 72 	21 47 17 20 72 	39 37 25 31 58 	86 47 37 78 88 	38 39 63 4 42 	67 11 14 65 78 	76 60 78 68 53 	72 66 24 46 44 	72 66 24 46 44 	
38	24/09/1921	34 11 37 84 23 	34 11 37 84 23 	36 70 85 87 43 	36 70 85 87 43 	35 51 37 77 3 	61 34 8 70 9 	44 52 76 1 66 	14 63 73 31 11 	1 78 10 45 72 	76 78 31 55 15 	76 78 31 55 15 	
