Lotto
Archivio estrazioni Lotto anno 2011 aggiornato al 31/12/2011
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
157	31/12/2011	44 69 27 7 82 	61 13 69 86 29 	53 68 16 7 42 	54 29 66 84 34 	1 57 15 21 89 	28 29 41 30 3 	46 27 20 44 57 	76 79 17 59 69 	1 35 58 18 44 	40 68 82 18 25 	64 89 27 26 74 	
156	29/12/2011	79 20 39 44 82 	66 73 52 84 76 	63 82 65 4 16 	66 22 81 16 82 	50 58 48 23 45 	44 60 67 58 11 	29 39 46 10 22 	45 59 74 73 69 	32 6 20 48 51 	37 19 79 58 42 	1 14 10 70 32 	
155	27/12/2011	31 46 81 82 28 	44 68 90 77 80 	2 22 58 24 79 	43 23 52 89 87 	77 70 56 78 87 	21 48 2 79 23 	89 87 5 6 86 	57 10 60 80 55 	4 76 26 82 24 	11 6 51 84 67 	20 48 76 52 29 	
154	24/12/2011	37 65 41 78 34 	35 1 90 6 67 	9 82 58 45 64 	67 74 64 65 12 	68 26 7 15 89 	82 63 40 77 9 	85 24 59 22 47 	4 62 41 2 40 	47 48 45 8 82 	17 81 35 46 55 	42 27 43 80 55 	
153	22/12/2011	72 26 13 70 14 	81 61 15 62 44 	62 52 2 5 82 	80 55 38 70 83 	82 27 7 79 71 	34 28 42 74 80 	75 15 32 46 9 	27 7 36 54 45 	14 30 37 60 24 	49 15 84 4 37 	28 57 62 90 39 	
152	20/12/2011	29 76 34 84 83 	88 26 57 51 80 	6 34 70 51 3 	58 86 38 80 70 	15 69 6 7 47 	37 22 23 8 69 	22 49 37 40 11 	44 29 7 63 74 	18 7 29 65 55 	72 30 49 11 28 	47 55 59 45 43 	
151	17/12/2011	51 86 7 73 48 	27 31 83 84 43 	60 52 6 49 40 	36 10 86 25 31 	40 82 24 84 47 	81 71 6 78 39 	1 56 18 61 80 	54 75 63 8 32 	49 26 70 78 35 	29 57 43 58 18 	33 49 12 88 80 	
150	15/12/2011	78 1 65 70 68 	25 60 32 78 20 	28 3 33 79 29 	90 80 9 64 63 	89 86 50 28 23 	37 38 54 35 28 	23 12 80 20 73 	38 29 83 47 56 	1 12 88 72 5 	84 52 15 2 82 	27 62 4 60 64 	
149	13/12/2011	50 15 42 32 62 	6 78 58 33 13 	42 35 19 38 5 	24 36 9 48 44 	49 9 80 88 35 	26 84 3 24 18 	38 8 71 9 65 	38 20 46 78 81 	20 61 25 71 3 	70 41 17 26 45 	70 54 31 37 10 	
148	10/12/2011	89 31 51 11 69 	67 53 80 75 34 	43 75 10 68 3 	81 28 86 26 31 	15 90 34 14 32 	75 12 1 9 58 	52 13 90 48 58 	48 45 16 74 60 	20 70 83 36 75 	68 22 26 74 81 	81 67 7 84 77 	
147	09/12/2011	46 12 14 50 75 	45 5 90 22 88 	28 21 8 86 80 	33 63 41 43 31 	15 67 87 90 19 	61 14 3 9 20 	15 6 63 68 58 	39 57 65 32 52 	84 3 32 41 58 	86 68 34 19 73 	82 85 64 23 29 	
146	06/12/2011	35 54 41 3 15 	2 46 9 47 7 	74 88 49 24 14 	71 89 63 11 78 	21 46 88 66 19 	12 71 14 81 19 	37 80 32 55 16 	26 31 77 71 80 	89 20 4 22 74 	84 61 87 71 50 	72 83 60 81 20 	
145	03/12/2011	56 20 41 29 27 	37 50 51 43 71 	4 35 28 75 80 	25 68 66 46 89 	60 71 80 52 89 	65 79 24 60 21 	37 41 40 28 66 	31 85 7 42 36 	19 42 70 83 32 	17 68 33 3 57 	30 37 41 47 45 	
144	01/12/2011	84 60 86 61 45 	59 38 69 65 63 	43 15 65 58 60 	14 7 2 83 17 	26 59 60 27 49 	55 5 54 3 44 	30 23 85 59 74 	75 31 23 20 15 	30 53 47 44 3 	15 89 57 1 13 	12 53 55 36 19 	
143	29/11/2011	53 56 63 26 14 	1 37 58 88 42 	61 25 64 11 33 	62 37 64 90 34 	70 87 21 90 55 	12 39 6 41 87 	51 27 55 62 23 	35 5 18 56 45 	86 6 31 4 59 	75 9 42 17 22 	35 63 58 17 57 	
142	26/11/2011	64 61 37 26 75 	28 66 17 7 44 	31 23 20 77 25 	74 44 34 84 80 	57 16 79 69 20 	20 57 22 68 29 	53 49 67 4 87 	58 71 89 44 1 	38 60 82 51 5 	77 76 61 26 36 	84 86 36 88 61 	
141	24/11/2011	23 27 69 13 31 	24 11 40 59 83 	42 26 8 79 14 	29 15 75 90 40 	5 49 28 35 2 	6 65 32 2 86 	90 37 33 69 58 	44 31 30 85 32 	68 20 66 39 89 	2 62 24 29 88 	74 50 66 48 4 	
140	22/11/2011	11 42 63 23 38 	37 54 31 3 75 	42 6 17 43 10 	81 5 63 88 29 	77 56 11 59 16 	39 31 24 66 76 	19 89 81 39 17 	79 3 64 55 51 	43 49 60 46 76 	49 76 65 53 36 	60 16 14 72 19 	
139	19/11/2011	53 31 83 43 88 	52 67 23 55 69 	53 23 27 45 66 	72 4 35 49 43 	17 3 53 9 66 	51 28 17 22 79 	89 80 82 2 47 	28 13 27 74 51 	15 9 59 31 40 	65 4 67 26 6 	4 23 84 54 89 	
138	17/11/2011	77 3 26 46 22 	15 50 16 56 62 	87 11 5 25 88 	70 44 37 17 89 	55 31 84 90 38 	70 71 88 49 58 	88 9 18 69 63 	56 49 47 38 88 	86 43 70 10 7 	47 4 63 52 39 	29 34 23 9 71 	
137	15/11/2011	57 39 22 6 65 	9 35 60 67 55 	83 75 19 22 3 	17 87 86 34 41 	68 21 80 85 64 	63 42 90 80 19 	42 18 52 3 35 	75 18 24 31 90 	30 39 3 14 56 	27 54 42 7 77 	55 2 85 43 52 	
136	12/11/2011	16 43 89 72 56 	39 25 42 80 31 	78 90 5 12 57 	78 9 37 32 2 	76 62 21 37 42 	45 69 15 2 78 	87 65 46 12 53 	88 54 39 6 81 	38 21 62 15 70 	48 28 85 84 77 	78 26 45 5 76 	
135	10/11/2011	75 52 50 27 78 	72 25 79 76 70 	11 69 41 28 62 	56 24 19 86 54 	79 63 29 57 27 	3 78 12 41 32 	85 38 26 20 41 	85 73 87 66 8 	21 62 78 1 24 	17 40 34 48 14 	15 86 69 38 8 	
134	08/11/2011	67 11 79 76 71 	20 71 21 57 42 	47 44 46 7 21 	16 18 68 78 86 	78 5 60 33 49 	61 57 4 9 31 	60 46 24 43 48 	51 85 32 52 42 	88 62 78 12 13 	58 34 32 27 87 	65 2 73 59 43 	
133	05/11/2011	5 68 32 87 11 	62 83 87 81 45 	18 22 23 86 24 	86 62 56 60 79 	72 9 42 26 88 	20 51 2 26 1 	41 61 34 85 17 	83 51 6 82 88 	2 30 33 80 85 	32 47 84 41 27 	70 53 36 80 18 	
132	03/11/2011	31 40 15 16 4 	57 30 64 4 47 	75 41 89 28 87 	31 33 25 38 82 	44 61 41 38 14 	39 10 78 26 47 	27 74 72 14 2 	66 85 48 77 52 	35 84 66 2 60 	56 66 1 35 88 	3 25 26 55 54 	
131	02/11/2011	6 34 37 71 33 	4 63 25 8 16 	73 60 47 30 43 	37 73 38 4 71 	66 74 61 26 67 	21 78 59 44 40 	73 89 20 32 88 	24 30 52 21 34 	48 86 14 24 81 	41 30 28 12 35 	58 86 13 52 24 	
130	29/10/2011	5 66 3 14 23 	73 13 90 78 23 	82 78 72 67 73 	5 14 28 71 26 	87 64 39 46 10 	21 38 81 76 74 	21 62 72 7 49 	42 80 8 19 82 	32 78 69 41 90 	51 55 74 71 79 	58 10 32 7 70 	
129	27/10/2011	2 35 82 48 21 	84 2 32 50 63 	84 21 12 5 38 	39 36 11 53 84 	57 79 16 10 44 	90 77 55 88 12 	1 49 36 71 63 	72 46 67 42 37 	83 87 40 63 52 	87 9 76 51 13 	78 75 64 43 39 	
128	25/10/2011	77 87 89 8 25 	86 46 16 56 57 	75 42 27 12 4 	55 48 78 65 87 	38 83 13 48 47 	74 11 35 12 21 	11 9 21 7 44 	47 24 38 46 25 	79 71 4 30 61 	2 17 9 23 61 	50 26 7 46 20 	
127	22/10/2011	22 28 81 87 34 	73 33 27 78 22 	63 28 58 48 7 	52 59 61 10 19 	77 52 36 81 9 	14 89 22 11 44 	41 59 89 24 8 	59 65 29 66 67 	77 46 82 66 76 	2 55 41 54 35 	29 89 27 26 44 	
126	20/10/2011	88 90 53 83 19 	3 73 25 46 28 	23 75 51 19 17 	24 15 77 56 73 	18 10 4 82 19 	67 2 37 82 42 	86 22 30 41 5 	3 15 63 2 25 	20 74 82 70 81 	88 56 81 77 44 	89 31 3 71 49 	
