Lotto
Archivio estrazioni Lotto anno 1932 aggiornato al 31/12/1932
Concorso	Data	Bari	Cagliari	Firenze	Genova	Milano	Napoli	Palermo	Roma	Torino	Venezia	Nazionale	
53	31/12/1932	9 14 32 51 36 	     	61 53 63 41 16 	     	67 32 64 15 73 	37 60 53 38 47 	1 90 54 8 55 	80 1 70 21 46 	76 50 82 44 36 	56 64 52 59 83 	     	
52	24/12/1932	48 49 23 65 50 	48 49 23 65 50 	62 46 20 74 68 	62 46 20 74 68 	66 88 83 56 24 	66 2 13 74 62 	76 2 82 42 29 	79 38 36 27 10 	77 85 72 17 80 	35 38 49 4 68 	35 38 49 4 68 	
51	17/12/1932	35 54 16 45 24 	35 54 16 45 24 	80 43 75 28 23 	80 43 75 28 23 	75 69 85 8 48 	34 69 59 67 57 	36 6 47 82 38 	61 85 90 18 70 	9 1 25 14 4 	90 82 77 6 49 	90 82 77 6 49 	
50	10/12/1932	30 37 22 45 79 	30 37 22 45 79 	14 52 32 79 71 	14 52 32 79 71 	74 21 9 6 56 	34 28 44 63 35 	17 79 16 72 46 	32 36 66 59 63 	68 33 57 76 17 	9 88 18 58 6 	9 88 18 58 6 	
49	03/12/1932	72 23 26 83 19 	72 23 26 83 19 	64 59 69 35 21 	64 59 69 35 21 	30 20 21 23 48 	53 83 86 33 59 	89 30 49 75 21 	88 81 37 17 50 	37 62 41 20 9 	17 2 41 4 49 	17 2 41 4 49 	
48	26/11/1932	88 59 19 14 82 	88 59 19 14 82 	17 85 15 12 55 	17 85 15 12 55 	86 7 12 45 27 	87 10 33 12 19 	43 86 32 17 66 	13 22 23 40 2 	90 44 1 34 3 	25 56 50 57 58 	25 56 50 57 58 	
47	19/11/1932	10 43 82 12 32 	10 43 82 12 32 	25 47 5 14 3 	25 47 5 14 3 	10 45 35 5 38 	7 30 52 3 18 	38 68 76 79 48 	59 18 17 28 62 	64 82 60 77 45 	40 85 5 79 77 	40 85 5 79 77 	
46	12/11/1932	60 51 11 20 66 	60 51 11 20 66 	23 46 75 38 16 	23 46 75 38 16 	9 65 56 18 67 	90 33 87 43 11 	15 26 43 33 9 	41 88 62 73 7 	88 33 67 55 53 	8 47 19 6 25 	8 47 19 6 25 	
45	05/11/1932	20 43 66 23 74 	20 43 66 23 74 	73 9 7 40 1 	73 9 7 40 1 	40 48 78 74 17 	86 3 55 81 6 	12 79 48 57 81 	1 19 71 14 75 	6 76 12 88 64 	10 42 76 59 81 	10 42 76 59 81 	
44	29/10/1932	35 7 20 74 21 	35 7 20 74 21 	5 49 78 42 2 	5 49 78 42 2 	34 56 58 52 78 	50 48 64 8 81 	86 42 80 3 30 	81 60 20 15 72 	33 31 28 83 55 	76 89 11 34 47 	76 89 11 34 47 	
43	22/10/1932	83 59 77 67 49 	83 59 77 67 49 	67 68 42 26 24 	67 68 42 26 24 	14 36 64 61 44 	20 52 76 66 12 	69 40 22 9 5 	1 74 57 41 59 	18 25 42 9 67 	42 43 12 70 44 	42 43 12 70 44 	
42	15/10/1932	61 64 39 83 62 	61 64 39 83 62 	55 74 41 66 49 	55 74 41 66 49 	24 23 58 76 89 	15 83 64 27 70 	24 64 83 74 17 	23 24 16 65 12 	49 6 15 3 57 	48 35 66 36 22 	48 35 66 36 22 	
41	08/10/1932	52 19 67 12 73 	52 19 67 12 73 	26 60 42 2 25 	26 60 42 2 25 	74 7 23 70 69 	80 17 15 87 41 	51 59 30 4 67 	14 81 77 68 55 	54 49 16 12 65 	88 24 64 56 23 	88 24 64 56 23 	
40	01/10/1932	55 11 88 22 63 	55 11 88 22 63 	67 24 81 4 33 	67 24 81 4 33 	78 83 47 16 5 	12 85 27 55 39 	26 59 71 66 52 	27 89 88 74 66 	80 59 8 73 22 	5 6 83 75 36 	5 6 83 75 36 	
39	24/09/1932	5 61 84 35 20 	5 61 84 35 20 	24 70 11 29 37 	24 70 11 29 37 	16 6 20 7 60 	40 80 32 64 72 	48 75 90 2 50 	5 55 87 71 53 	86 58 31 32 61 	70 22 45 29 38 	70 22 45 29 38 	
38	17/09/1932	73 27 32 11 31 	73 27 32 11 31 	57 61 9 1 56 	57 61 9 1 56 	82 57 77 46 55 	36 46 14 1 50 	70 86 15 74 11 	83 80 85 43 25 	24 61 79 83 57 	64 84 51 29 19 	64 84 51 29 19 	
